Rank,Name,Vocation,World,Level,Score,Category
31,Fanas,Elder Druid,Lobera,1468,"10,525",Drome Score
32,Lady Tafuri,Elite Knight,Nefera,1844,"10,523",Drome Score
33,Eternal Ichigo Kurosaki,Elite Knight,Astera,1691,"10,474",Drome Score
34,Jaruga,Royal Paladin,Nevia,1548,"10,471",Drome Score
35,Octuous,Elder Druid,Lobera,1764,"10,460",Drome Score
36,Almom,Elite Knight,Inabra,1894,"10,459",Drome Score
36,Velix,Elite Knight,Calmera,1656,"10,459",Drome Score
38,Dillon Duenodefirmera,Elder Druid,Firmera,1954,"10,448",Drome Score
39,Warlord Bread,Elder Druid,Belobra,2727,"10,427",Drome Score
40,Uhaacz,Elder Druid,Karmeya,2364,"10,372",Drome Score
41,Ale Devasso,Royal Paladin,Collabra,1845,"10,368",Drome Score
42,Tomoho,Royal Paladin,Thyria,1714,"10,359",Drome Score
43,Piatka,Royal Paladin,Harmonia,1769,"10,350",Drome Score
44,Alphahorcrux,Elite Knight,Havera,1646,"10,311",Drome Score
45,Szimix,Elder Druid,Celesta,2588,"10,296",Drome Score
46,Angel Pro Damage,Elder Druid,Yonabra,2013,"10,291",Drome Score
47,Szechuan Sauce,Royal Paladin,Xyla,1372,"10,286",Drome Score
48,Alpha Charly,Royal Paladin,Gentebra,2039,"10,274",Drome Score
49,Kovacsz,Master Sorcerer,Belobra,1980,"10,270",Drome Score
50,Danan the shihan,Elite Knight,Quintera,1673,"10,266",Drome Score
51,Mo rgu,Elite Knight,Monza,2256,"10,263",Drome Score
52,Shounan,Master Sorcerer,Belobra,1971,"10,259",Drome Score
53,Akkrilus,Royal Paladin,Celesta,960,"10,250",Drome Score
54,Baker Paladin,Royal Paladin,Pacera,1512,"10,248",Drome Score
55,Special Frank,Elder Druid,Serdebra,1528,"10,238",Drome Score
56,Avarr,Royal Paladin,Premia,1473,"10,217",Drome Score
57,Rudi Paladean,Royal Paladin,Peloria,1629,"10,164",Drome Score
58,Judgementdays,Elder Druid,Calmera,2055,"10,155",Drome Score
59,Chinese Fighting,Elder Druid,Lobera,1264,"10,150",Drome Score
60,Vexcraw,Elite Knight,Jadebra,1749,"10,144",Drome Score
61,Sofi Nie,Elite Knight,Havera,1014,"10,139",Drome Score
62,Padre Invierno,Elder Druid,Luminera,1813,"10,134",Drome Score
63,Aegoth Darko,Master Sorcerer,Havera,1380,"10,125",Drome Score
64,Caffeina Implacavel,Master Sorcerer,Kalibra,2365,"10,124",Drome Score
65,Nasty Kasper,Royal Paladin,Antica,1262,"10,118",Drome Score
66,Sabziro,Royal Paladin,Vunira,1605,"10,113",Drome Score
67,Kuubiq,Royal Paladin,Thyria,1981,"10,094",Drome Score
68,Mokolokinho,Elder Druid,Belobra,1891,"10,092",Drome Score
69,Kharsek,Elite Knight,Gladera,1992,"10,039",Drome Score
70,Mendanha,Master Sorcerer,Belobra,1371,"10,032",Drome Score
71,Soiji,Elite Knight,Inabra,2059,"10,017",Drome Score
72,Zezinho Eurofeer,Elite Knight,Ourobra,2028,"10,015",Drome Score
73,Hermaan,Royal Paladin,Monza,1954,"10,009",Drome Score
74,Licotur,Royal Paladin,Ombra,1452,"9,996",Drome Score
75,Skum Rayon,Royal Paladin,Luminera,1566,"9,987",Drome Score
76,Kronek,Royal Paladin,Firmera,1789,"9,966",Drome Score
77,Nozferato,Master Sorcerer,Quelibra,1544,"9,961",Drome Score
78,Lukas,Elder Druid,Inabra,1669,"9,916",Drome Score
79,Caaok,Royal Paladin,Belobra,2117,"9,907",Drome Score
80,Nimue Lanuin,Elite Knight,Gentebra,1846,"9,899",Drome Score
81,Venoox,Royal Paladin,Celesta,2294,"9,876",Drome Score
82,Paperhouse,Elite Knight,Pacera,1578,"9,839",Drome Score
83,Lady Venganza,Master Sorcerer,Calmera,1933,"9,822",Drome Score
84,Guii,Elite Knight,Celebra,2419,"9,783",Drome Score
85,Radizao,Elite Knight,Collabra,2183,"9,768",Drome Score
86,Melxaar,Royal Paladin,Bona,1822,"9,751",Drome Score
87,Thor Fin Camisadez,Master Sorcerer,Honbra,1782,"9,740",Drome Score
88,Machado Purosangue,Elite Knight,Kalibra,1907,"9,738",Drome Score
89,Magiczny,Master Sorcerer,Refugia,2221,"9,736",Drome Score
90,Bullistic,Royal Paladin,Lobera,1403,"9,717",Drome Score
91,Fastshot,Royal Paladin,Refugia,2074,"9,710",Drome Score
92,Royal Kado,Royal Paladin,Secura,1263,"9,691",Drome Score
93,Altron Lijawyn,Elite Knight,Astera,1487,"9,656",Drome Score
94,Xivana,Elder Druid,Peloria,1567,"9,645",Drome Score
95,Stugaan,Elite Knight,Monstera,1382,"9,636",Drome Score
96,Kazikk,Elder Druid,Peloria,1646,"9,633",Drome Score
96,Veyllor,Royal Paladin,Gentebra,2862,"9,633",Drome Score
98,Theron guard,Royal Paladin,Astera,1318,"9,632",Drome Score
99,Dakota,Elite Knight,Blumera,1630,"9,600",Drome Score
100,Antony Everdash,Royal Paladin,Quintera,1649,"9,599",Drome Score
101,Adomiro,Royal Paladin,Ferobra,1538,"9,595",Drome Score
102,Sinsor,Royal Paladin,Vunira,1602,"9,576",Drome Score
103,King Infinytum,Elite Knight,Yonabra,2215,"9,560",Drome Score
104,Gesiian,Elite Knight,Kalibra,1752,"9,551",Drome Score
104,Zwrot Podatku,Royal Paladin,Xyla,1136,"9,551",Drome Score
106,Lemous Arargelf,Elder Druid,Quintera,1045,"9,550",Drome Score
107,Medicaux,Elder Druid,Celesta,2290,"9,538",Drome Score
108,Gugo Of Bolt,Royal Paladin,Astera,1508,"9,527",Drome Score
109,Mirunga,Elder Druid,Antica,1704,"9,525",Drome Score
110,Myrkz,Royal Paladin,Lobera,1530,"9,517",Drome Score
111,Slayer Prowler,Royal Paladin,Menera,1180,"9,511",Drome Score
112,Daniloz Corporation,Elder Druid,Issobra,2324,"9,510",Drome Score
113,Skunerx,Elite Knight,Belobra,1948,"9,503",Drome Score
114,Hulk Tacadordebolt,Royal Paladin,Venebra,2251,"9,494",Drome Score
115,Ja co,Elite Knight,Refugia,2101,"9,493",Drome Score
116,Humble Victor,Elder Druid,Talera,1748,"9,463",Drome Score
117,Arterossy,Royal Paladin,Thyria,1508,"9,442",Drome Score
118,Admiiral Gwiezdnej Floty,Royal Paladin,Zuna,1173,"9,415",Drome Score
119,Lord Marshals,Royal Paladin,Peloria,1629,"9,406",Drome Score
120,Druidek Mok,Elder Druid,Luminera,1498,"9,394",Drome Score
121,Josipano,Elite Knight,Inabra,1061,"9,389",Drome Score
122,Radraz,Royal Paladin,Vunira,1389,"9,367",Drome Score
123,Sir All Migth,Royal Paladin,Yovera,1822,"9,356",Drome Score
124,Khilleron,Elite Knight,Refugia,1200,"9,355",Drome Score
125,Lily Doll,Elite Knight,Quintera,1086,"9,354",Drome Score
126,Gakild,Royal Paladin,Yonabra,1623,"9,346",Drome Score
127,Zmuts,Master Sorcerer,Monza,1907,"9,335",Drome Score
128,Flanbers Penn,Royal Paladin,Yonabra,1860,"9,329",Drome Score
129,Dis Seb,Master Sorcerer,Firmera,1379,"9,326",Drome Score
130,Magico Mago,Master Sorcerer,Nefera,1383,"9,302",Drome Score
131,Nawtscout,Royal Paladin,Lobera,1652,"9,269",Drome Score
132,Meexi,Royal Paladin,Dia,1792,"9,256",Drome Score
133,Sir Yertxka,Elite Knight,Yovera,1136,"9,255",Drome Score
134,Ioo,Elder Druid,Astera,1234,"9,252",Drome Score
135,Kyru,Master Sorcerer,Venebra,1848,"9,242",Drome Score
136,Sorin Inevitavel,Elder Druid,Honbra,1574,"9,239",Drome Score
137,Bambaryla Witek,Elder Druid,Thyria,1925,"9,234",Drome Score
138,Diabelski aniolek,Master Sorcerer,Harmonia,1366,"9,182",Drome Score
139,Sillnyy,Elder Druid,Bona,1806,"9,178",Drome Score
140,Alosirb Nosduh,Elder Druid,Yovera,971,"9,169",Drome Score
141,Mazzeriin,Royal Paladin,Karmeya,2399,"9,167",Drome Score
142,Alsa Himm,Elder Druid,Harmonia,1642,"9,158",Drome Score
143,Slechvalk,Royal Paladin,Menera,1299,"9,150",Drome Score
144,Fireglass,Elite Knight,Menera,1248,"9,147",Drome Score
145,Kohaminha,Elder Druid,Nevia,1660,"9,138",Drome Score
146,Cellus,Elite Knight,Menera,980,"9,123",Drome Score
147,Bobolica,Master Sorcerer,Harmonia,921,"9,115",Drome Score
148,Cabelo Bawall,Royal Paladin,Ferobra,1448,"9,113",Drome Score
149,Mah Theuzs,Elder Druid,Ombra,1172,"9,102",Drome Score
150,Orle Gniazdo,Elite Knight,Antica,1739,"9,091",Drome Score
151,Lady Caqui,Royal Paladin,Nefera,994,"9,087",Drome Score
152,Yamaanek,Elder Druid,Monza,2070,"9,081",Drome Score
153,Aritmancia,Elder Druid,Wintera,1434,"9,077",Drome Score
154,Ragha Healer,Elder Druid,Kalibra,2007,"9,055",Drome Score
155,Norbuss,Elite Knight,Eclipta,1301,"9,052",Drome Score
156,Verfix,Elder Druid,Ustebra,2043,"9,046",Drome Score
157,Alex Froggy,Royal Paladin,Vunira,1506,"9,027",Drome Score
158,Destemido Corporation,Royal Paladin,Issobra,2069,"9,009",Drome Score
159,Zyro'flame,Master Sorcerer,Secura,1432,"9,003",Drome Score
160,Grzesio rasiak,Master Sorcerer,Vunira,916,"9,001",Drome Score
161,Raul Locomia,Elite Knight,Quelibra,1585,"8,992",Drome Score
162,Maaziinha,Elder Druid,Pacera,1812,"8,988",Drome Score
163,Jazhi,Royal Paladin,Venebra,1755,"8,985",Drome Score
164,Ginowi,Royal Paladin,Monza,2026,"8,977",Drome Score
165,Boba Addon,Elite Knight,Harmonia,1169,"8,971",Drome Score
166,Jazh,Elder Druid,Venebra,2070,"8,966",Drome Score
167,Now,Royal Paladin,Epoca,2117,"8,963",Drome Score
168,Elvenor,Royal Paladin,Celesta,1348,"8,953",Drome Score
169,Hikeppo,Royal Paladin,Calmera,1528,"8,952",Drome Score
170,Dragom Ball,Master Sorcerer,Talera,1777,"8,938",Drome Score
171,Bu uzz,Elder Druid,Serdebra,1928,"8,936",Drome Score
172,Poppel the knight,Elite Knight,Peloria,1419,"8,920",Drome Score
173,Enduroman,Elite Knight,Harmonia,1240,"8,902",Drome Score
174,Andy Mustang,Royal Paladin,Belobra,1899,"8,889",Drome Score
175,Dash Deluxe,Master Sorcerer,Secura,1660,"8,884",Drome Score
176,Sir Iguela,Elite Knight,Bona,1102,"8,878",Drome Score
177,Kazuya Maszyna,Royal Paladin,Secura,1362,"8,876",Drome Score
178,Miki Greg,Royal Paladin,Descubra,1376,"8,871",Drome Score
179,Dukz Paladin,Royal Paladin,Kalibra,1515,"8,869",Drome Score
180,Lancellotz,Elite Knight,Descubra,1721,"8,866",Drome Score
181,Heller Strahl,Royal Paladin,Yovera,867,"8,858",Drome Score
182,Remek Ajan,Elite Knight,Peloria,1607,"8,854",Drome Score
183,Shidden,Royal Paladin,Gladibra,1300,"8,843",Drome Score
184,Estrelynha,Royal Paladin,Celebra,1403,"8,833",Drome Score
185,Valiant Coseran,Royal Paladin,Yovera,1405,"8,831",Drome Score
186,Shay Jomyne,Elder Druid,Celebra,1394,"8,826",Drome Score
187,Rudi True Asura,Royal Paladin,Peloria,824,"8,818",Drome Score
188,Yunski,Royal Paladin,Secura,2142,"8,804",Drome Score
189,Alko Popiool,Elite Knight,Eclipta,1312,"8,790",Drome Score
190,Catando Pata Urso,Elite Knight,Kalibra,1231,"8,789",Drome Score
191,Keruk,Elite Knight,Yonabra,1470,"8,780",Drome Score
192,Patoled,Elder Druid,Bona,1327,"8,777",Drome Score
193,Karrigaan,Elite Knight,Descubra,972,"8,753",Drome Score
194,Tommy'Bolter,Royal Paladin,Thyria,1111,"8,750",Drome Score
195,Kratoz Dragon,Elite Knight,Havera,1143,"8,747",Drome Score
196,Izzy The Beast,Elder Druid,Celebra,2626,"8,740",Drome Score
197,Belintina,Master Sorcerer,Refugia,1635,"8,719",Drome Score
198,Demn,Royal Paladin,Luminera,1913,"8,718",Drome Score
199,Pava,Elder Druid,Monza,867,"8,710",Drome Score
200,Cruzader Of The Plains,Royal Paladin,Quintera,1237,"8,709",Drome Score
201,Asmitank Friolla,Royal Paladin,Jadebra,1536,"8,707",Drome Score
202,Tiger Backwoods,Master Sorcerer,Quidera,1096,"8,698",Drome Score
203,Prepotente Vluntz,Elder Druid,Talera,1622,"8,693",Drome Score
204,Big Boss Revival,Elite Knight,Premia,1831,"8,683",Drome Score
205,Errahnte,Elite Knight,Jadebra,1209,"8,681",Drome Score
206,Kaszinho,Royal Paladin,Tornabra,1176,"8,677",Drome Score
207,Vepem,Master Sorcerer,Lobera,1201,"8,674",Drome Score
208,Huxy,Elite Knight,Secura,1257,"8,641",Drome Score
209,Tiroz,Elite Knight,Gentebra,880,"8,636",Drome Score
210,Dreams Ki,Royal Paladin,Menera,1426,"8,633",Drome Score
211,Thol Feno,Elite Knight,Harmonia,884,"8,631",Drome Score
212,Jan Zlote Serce,Royal Paladin,Refugia,1868,"8,628",Drome Score
213,Zaku Palladyn,Royal Paladin,Monza,1198,"8,622",Drome Score
214,Dudopix Worldwide,Elite Knight,Ferobra,2377,"8,621",Drome Score
215,Na gash,Royal Paladin,Monza,1861,"8,599",Drome Score
216,Rekor,Royal Paladin,Secura,1666,"8,596",Drome Score
217,Lunatic Princess,Elite Knight,Celesta,2207,"8,592",Drome Score
218,Dudu,Elder Druid,Belobra,1929,"8,590",Drome Score
219,Ano Vix,Elder Druid,Monstera,1108,"8,584",Drome Score
220,Nevropz Toxico,Elder Druid,Kalibra,2333,"8,583",Drome Score
221,Cloud Cronos,Elder Druid,Harmonia,2040,"8,577",Drome Score
221,Lady Nathii,Elite Knight,Yonabra,1383,"8,577",Drome Score
221,Markelito,Elite Knight,Celesta,1650,"8,577",Drome Score
224,Masterpali,Royal Paladin,Ferobra,1879,"8,570",Drome Score
225,Bilokasz,Elder Druid,Gladera,1764,"8,568",Drome Score
226,Dudopix Enterprise,Elder Druid,Ferobra,1977,"8,566",Drome Score
226,Trullen,Elder Druid,Celesta,2041,"8,566",Drome Score
228,Skye Rock,Master Sorcerer,Lobera,1049,"8,565",Drome Score
229,Larri,Royal Paladin,Gladera,1372,"8,561",Drome Score
230,Arknsz,Elite Knight,Venebra,2183,"8,558",Drome Score
231,Elv'en hunter,Royal Paladin,Menera,952,"8,546",Drome Score
232,Paramagnetyk,Elite Knight,Monza,1168,"8,536",Drome Score
233,Daverlito,Royal Paladin,Bona,1829,"8,535",Drome Score
233,Madjo,Elite Knight,Eclipta,1190,"8,535",Drome Score
235,Shiddenzinho,Royal Paladin,Gladibra,1228,"8,524",Drome Score
236,Atere Sillio,Royal Paladin,Secura,1049,"8,519",Drome Score
236,Exidysz,Royal Paladin,Honbra,1962,"8,519",Drome Score
238,Elder Fiera,Elder Druid,Secura,1201,"8,511",Drome Score
239,Wells Dreyar,Master Sorcerer,Calmera,1110,"8,505",Drome Score
240,Dextro Kogz,Master Sorcerer,Monza,2148,"8,491",Drome Score
241,Ares Coldhands,Royal Paladin,Inabra,1379,"8,485",Drome Score
242,Yoasobi,Master Sorcerer,Yonabra,2000,"8,483",Drome Score
243,Simus Siger,Elite Knight,Talera,1075,"8,482",Drome Score
244,Cirus Toxico,Master Sorcerer,Kalibra,2298,"8,477",Drome Score
245,Nyge,Elite Knight,Antica,1643,"8,469",Drome Score
246,Elder Pajji,Elder Druid,Thyria,1773,"8,467",Drome Score
247,Mia Moonshine,Royal Paladin,Epoca,1360,"8,460",Drome Score
248,Jackh,Elder Druid,Serdebra,1576,"8,454",Drome Score
249,Dark Blood Of Honera,Master Sorcerer,Nefera,1409,"8,451",Drome Score
250,Murilon Hardtimes,Elder Druid,Collabra,2136,"8,443",Drome Score
251,Giant the Ripper,Elder Druid,Secura,1307,"8,442",Drome Score
252,Zezinho Fallout,Royal Paladin,Ourobra,1970,"8,432",Drome Score
253,Mattwin Firma Forte,Elder Druid,Etebra,2059,"8,429",Drome Score
253,Tastdingo,Elder Druid,Solidera,1619,"8,429",Drome Score
255,Smooth Hardstyle,Master Sorcerer,Ferobra,1537,"8,426",Drome Score
256,Krazy Rootz,Royal Paladin,Celebra,1629,"8,425",Drome Score
257,Captain Gufi,Elder Druid,Refugia,2014,"8,418",Drome Score
258,Creitiin,Elder Druid,Belobra,1759,"8,407",Drome Score
259,Artur Ble,Royal Paladin,Eclipta,1257,"8,405",Drome Score
260,Reo Light,Royal Paladin,Vunira,1378,"8,404",Drome Score
261,Nemphi,Royal Paladin,Xyla,1385,"8,402",Drome Score
262,Baudao,Master Sorcerer,Serdebra,1753,"8,397",Drome Score
263,Baianera,Elite Knight,Solidera,678,"8,393",Drome Score
264,Overaw,Master Sorcerer,Ferobra,1479,"8,388",Drome Score
264,Vengelz,Elite Knight,Descubra,2335,"8,388",Drome Score
266,Nicki Nightflower,Elite Knight,Epoca,1158,"8,382",Drome Score
267,Cubbii,Royal Paladin,Celesta,1456,"8,381",Drome Score
268,Izene Asti,Elite Knight,Monza,1044,"8,377",Drome Score
269,Turion Templar,Elite Knight,Vunira,621,"8,373",Drome Score
270,Aervax,Elite Knight,Peloria,803,"8,372",Drome Score
271,Sir Zasolix,Elite Knight,Firmera,720,"8,363",Drome Score
272,Biel Schneider,Elder Druid,Inabra,2000,"8,341",Drome Score
273,Gear Five Whisp,Royal Paladin,Collabra,1719,"8,340",Drome Score
274,Joelcio,Royal Paladin,Terribra,1544,"8,334",Drome Score
275,Fernizx,Master Sorcerer,Luminera,2155,"8,333",Drome Score
276,Ostrze Gniewu Gunisoo,Royal Paladin,Secura,1051,"8,325",Drome Score
277,Mad Tobbe,Elder Druid,Quelibra,1098,"8,322",Drome Score
278,Kafkacoli,Elite Knight,Nevia,1072,"8,319",Drome Score
279,Palaz,Royal Paladin,Ourobra,1366,"8,313",Drome Score
280,Lulatz,Elite Knight,Pacera,1071,"8,312",Drome Score
281,Johny Abruzzi,Royal Paladin,Peloria,1037,"8,305",Drome Score
282,Elgam'tcha,Elite Knight,Inabra,1229,"8,300",Drome Score
283,Aurora Lily,Elite Knight,Wintera,1178,"8,287",Drome Score
284,Vepeh,Royal Paladin,Celebra,2827,"8,281",Drome Score
285,Askrates,Elite Knight,Secura,1132,"8,280",Drome Score
286,Mocarz Kamsy,Elite Knight,Antica,1048,"8,266",Drome Score
287,Mi Sioo,Royal Paladin,Harmonia,1898,"8,265",Drome Score
287,Mnihux,Royal Paladin,Premia,1369,"8,265",Drome Score
289,Maximus the King,Royal Paladin,Celebra,1602,"8,264",Drome Score
290,Caiio Acalix,Elder Druid,Gentebra,1738,"8,256",Drome Score
291,Ritax,Royal Paladin,Bona,1106,"8,255",Drome Score
292,Dowinixa,Elite Knight,Nefera,1050,"8,252",Drome Score
293,Janni,Royal Paladin,Secura,1193,"8,251",Drome Score
294,Jaokeb Demente,Master Sorcerer,Karmeya,645,"8,248",Drome Score
295,Lady Bonia,Elder Druid,Bona,1200,"8,246",Drome Score
296,Shiax Alan,Elite Knight,Harmonia,1666,"8,222",Drome Score
297,Dofazi,Royal Paladin,Premia,1074,"8,212",Drome Score
298,Rullaren,Elite Knight,Bona,1234,"8,207",Drome Score
299,Guttanas,Royal Paladin,Quidera,1412,"8,199",Drome Score
300,Mazza Nohands,Royal Paladin,Thyria,1692,"8,198",Drome Score
301,Craig the knight,Elite Knight,Lobera,934,"8,191",Drome Score
301,Drackule,Elder Druid,Refugia,2403,"8,191",Drome Score
303,Laura Hellstorm,Elite Knight,Vunira,1330,"8,187",Drome Score
303,Tankes,Elite Knight,Premia,1408,"8,187",Drome Score
305,Gwyn,Royal Paladin,Lobera,1507,"8,174",Drome Score
306,Brauba,Royal Paladin,Ustebra,2221,"8,161",Drome Score
307,Bobolocik,Master Sorcerer,Celesta,2177,"8,149",Drome Score
308,Leferty,Elite Knight,Calmera,776,"8,147",Drome Score
309,Dabam,Master Sorcerer,Refugia,1569,"8,146",Drome Score
310,Lampiao Maotank,Royal Paladin,Tornabra,1501,"8,135",Drome Score
311,Nasty Kidifang,Elite Knight,Antica,720,"8,131",Drome Score
312,Mena The Knight,Elite Knight,Harmonia,1872,"8,128",Drome Score
313,Uchiha Chris,Elder Druid,Monza,1784,"8,121",Drome Score
314,Battledroid,Elder Druid,Lobera,1641,"8,105",Drome Score
314,Dolerozs,Elder Druid,Collabra,2188,"8,105",Drome Score
316,Kimbow Thor,Elite Knight,Ombra,1821,"8,097",Drome Score
317,Zocsik,Elder Druid,Wintera,1129,"8,092",Drome Score
318,Laniboi,Royal Paladin,Nevia,1290,"8,081",Drome Score
319,Hroki,Royal Paladin,Antica,981,"8,077",Drome Score
319,Kagommia,Elder Druid,Celebra,1218,"8,077",Drome Score
321,Boleight,Royal Paladin,Descubra,2460,"8,076",Drome Score
321,Vallkadium,Elite Knight,Premia,1225,"8,076",Drome Score
321,Vardagszor,Elite Knight,Astera,1442,"8,076",Drome Score
324,Toxino,Elite Knight,Talera,1065,"8,072",Drome Score
324,Yogihyst Obidoren,Elite Knight,Solidera,659,"8,072",Drome Score
326,Shermaneitor,Royal Paladin,Luminera,1808,"8,069",Drome Score
327,Omel Randevous,Royal Paladin,Xymera,1924,"8,068",Drome Score
328,Mfap,Elite Knight,Pacera,1070,"8,066",Drome Score
329,Surskallen,Elite Knight,Secura,1184,"8,061",Drome Score
330,Knazed,Elder Druid,Secura,1138,"8,057",Drome Score
331,Robaz,Elder Druid,Secura,1377,"8,053",Drome Score
332,Vine Corporation,Elder Druid,Issobra,2045,"8,048",Drome Score
333,Be xu,Elder Druid,Monza,2073,"8,047",Drome Score
334,Kittyqueen,Elite Knight,Celesta,1126,"8,046",Drome Score
335,Senior Amera,Elder Druid,Quidera,938,"8,042",Drome Score
336,Forseek,Elite Knight,Kalibra,1187,"8,037",Drome Score
337,Cybres Jack,Master Sorcerer,Celebra,1663,"8,034",Drome Score
338,Hitman Zor,Master Sorcerer,Celebra,1940,"8,033",Drome Score
339,Tatariw,Elite Knight,Yovera,1260,"8,026",Drome Score
340,Bigodao Xulapa,Royal Paladin,Dia,1179,"7,989",Drome Score
341,Naillowzin,Elite Knight,Inabra,1713,"7,985",Drome Score
342,Ra yo Legacy,Royal Paladin,Gentebra,595,"7,982",Drome Score
343,Mighty Peral,Elder Druid,Solidera,2033,"7,974",Drome Score
344,Jonas Bandidoo,Master Sorcerer,Inabra,1328,"7,971",Drome Score
344,Modelo De Pasarela,Royal Paladin,Quintera,1289,"7,971",Drome Score
346,Pechowy Rafcio,Royal Paladin,Xyla,1265,"7,963",Drome Score
346,Sioyou Later,Elder Druid,Blumera,1723,"7,963",Drome Score
348,Guztoso,Elder Druid,Ustebra,1226,"7,960",Drome Score
349,King Roszi,Elder Druid,Harmonia,1528,"7,958",Drome Score
350,Lynuux,Elder Druid,Celebra,2247,"7,951",Drome Score
351,Pomer,Elite Knight,Secura,1001,"7,949",Drome Score
352,Edi Paladino,Royal Paladin,Honbra,2160,"7,948",Drome Score
353,Ndetarovasz,Elder Druid,Honbra,2177,"7,943",Drome Score
354,Gezafoko Geza,Royal Paladin,Terribra,1288,"7,934",Drome Score
355,Maskwuv Dragonwalt,Elite Knight,Inabra,1153,"7,932",Drome Score
356,Libarkwin,Elder Druid,Belobra,1153,"7,930",Drome Score
357,Lawdz,Master Sorcerer,Antica,1541,"7,928",Drome Score
358,Marechal Yuri,Royal Paladin,Ferobra,967,"7,917",Drome Score
359,Azyzz Trip,Elder Druid,Wintera,1280,"7,916",Drome Score
360,Small Sol,Royal Paladin,Monza,1389,"7,912",Drome Score
361,Zous Oreal,Royal Paladin,Ferobra,1479,"7,907",Drome Score
362,Magier kalinowa,Elder Druid,Bona,835,"7,904",Drome Score
363,Synyster Gaates,Master Sorcerer,Talera,1417,"7,901",Drome Score
364,Roller Coastter,Elder Druid,Talera,1627,"7,891",Drome Score
365,Dzwoni Daro,Elder Druid,Monza,2052,"7,875",Drome Score
365,Xedotto,Elder Druid,Karmeya,1426,"7,875",Drome Score
367,Pan Pietrucha,Elite Knight,Nevia,673,"7,870",Drome Score
368,Vann Zett,Elder Druid,Calmera,1945,"7,867",Drome Score
369,Rawiin Kipson,Elite Knight,Astera,671,"7,866",Drome Score
370,Fanfii,Elder Druid,Astera,1759,"7,846",Drome Score
371,Lyane,Elder Druid,Belobra,596,"7,845",Drome Score
371,Uriel Simacek,Elite Knight,Kalibra,925,"7,845",Drome Score
373,Junzaao,Master Sorcerer,Belobra,2083,"7,844",Drome Score
374,Dolaa,Elite Knight,Bona,835,"7,843",Drome Score
375,Wojt Wilkowyje,Elite Knight,Vunira,791,"7,833",Drome Score
376,Darkside the ghost,Elite Knight,Bona,1521,"7,830",Drome Score
377,Black Mirage,Master Sorcerer,Belobra,1304,"7,824",Drome Score
378,Pikkoro Junia,Elder Druid,Harmonia,715,"7,822",Drome Score
379,Typha,Elite Knight,Astera,653,"7,816",Drome Score
380,Aquro Cacox,Royal Paladin,Descubra,1014,"7,814",Drome Score
380,Tezi Pro,Royal Paladin,Pacera,1413,"7,814",Drome Score
382,Epus,Master Sorcerer,Vunira,1834,"7,813",Drome Score
382,Reticuli,Royal Paladin,Pacera,694,"7,813",Drome Score
384,Adam Malysh,Elder Druid,Celesta,1809,"7,794",Drome Score
385,Golden Face,Master Sorcerer,Quidera,1139,"7,791",Drome Score
386,Sameuly,Elite Knight,Antica,807,"7,790",Drome Score
387,Enraged Adventurer,Elder Druid,Honbra,668,"7,777",Drome Score
388,Ghost of Chimera,Royal Paladin,Solidera,1731,"7,765",Drome Score
