Rank,Name,Title,Vocation,World,Level,Points,Category
25,Lothore Lotth,Enlightened of Tibia,Master Sorcerer,Antica,20,"8,334",Loyalty Points
25,Red Wolfen,Enlightened of Tibia,Royal Paladin,Gladera,369,"8,334",Loyalty Points
27,Omarskip,Enlightened of Tibia,Elite Knight,Gladera,331,"8,312",Loyalty Points
28,Vukar,Enlightened of Tibia,Elite Knight,Antica,271,"8,284",Loyalty Points
29,Lightning Count,Enlightened of Tibia,Master Sorcerer,Premia,223,"8,273",Loyalty Points
30,Rider the Sorcerer,Enlightened of Tibia,Master Sorcerer,Antica,461,"8,265",Loyalty Points
31,Kinath,Enlightened of Tibia,Master Sorcerer,Premia,386,"8,230",Loyalty Points
32,Alix,Enlightened of Tibia,Elder Druid,Antica,213,"8,191",Loyalty Points
33,Zantyr,Enlightened of Tibia,Druid,Secura,20,"8,176",Loyalty Points
34,Pastora Samama Dacolina,Enlightened of Tibia,Sorcerer,Terribra,16,"8,163",Loyalty Points
35,Lady Lela,Enlightened of Tibia,Elder Druid,Calmera,174,"8,158",Loyalty Points
36,Aldixa,Enlightened of Tibia,Elite Knight,Premia,634,"8,155",Loyalty Points
37,Lord Mikus,Enlightened of Tibia,Master Sorcerer,Lobera,364,"8,150",Loyalty Points
38,Methistos,Enlightened of Tibia,Master Sorcerer,Lobera,164,"8,143",Loyalty Points
39,Cliany,Enlightened of Tibia,Elite Knight,Secura,580,"8,141",Loyalty Points
39,Tida Shystwi,Enlightened of Tibia,Knight,Gladera,2,"8,141",Loyalty Points
41,Lighthouse Larry,Enlightened of Tibia,Knight,Antica,17,"8,134",Loyalty Points
42,Deludoo,Enlightened of Tibia,Elite Knight,Harmonia,210,"8,133",Loyalty Points
43,Raainhha,Enlightened of Tibia,Elder Druid,Quelibra,130,"8,118",Loyalty Points
44,Feymain,Enlightened of Tibia,Elder Druid,Luminera,505,"8,117",Loyalty Points
45,Tom Bones,Enlightened of Tibia,Knight,Peloria,14,"8,112",Loyalty Points
46,Exequter,Enlightened of Tibia,Master Sorcerer,Peloria,693,"8,106",Loyalty Points
47,Leferty,Enlightened of Tibia,Elite Knight,Calmera,776,"8,092",Loyalty Points
48,Big Time,Enlightened of Tibia,Elite Knight,Quidera,1048,"8,089",Loyalty Points
49,Daliscar,Enlightened of Tibia,Elder Druid,Secura,307,"8,088",Loyalty Points
50,Luthientinuviel,Enlightened of Tibia,Master Sorcerer,Antica,116,"8,068",Loyalty Points
51,Theoul Jenhio,Enlightened of Tibia,Royal Paladin,Antica,20,"8,064",Loyalty Points
52,Aura,Enlightened of Tibia,Elite Knight,Secura,128,"8,063",Loyalty Points
52,Corym Charletan,Enlightened of Tibia,Sorcerer,Eclipta,134,"8,063",Loyalty Points
54,Dragon-Tail,Enlightened of Tibia,Elite Knight,Secura,769,"8,062",Loyalty Points
55,Figue,Enlightened of Tibia,Elite Knight,Antica,360,"8,061",Loyalty Points
56,Pyranha,Enlightened of Tibia,Elite Knight,Calmera,255,"8,056",Loyalty Points
57,Lady Wolfen,Enlightened of Tibia,Elder Druid,Gladera,154,"8,055",Loyalty Points
58,Janda,Enlightened of Tibia,Royal Paladin,Secura,535,"8,052",Loyalty Points
59,Kiniron Fyna,Enlightened of Tibia,Sorcerer,Thyria,2,"8,032",Loyalty Points
60,Haraster,Enlightened of Tibia,Elite Knight,Refugia,951,"8,015",Loyalty Points
61,Shamhala,Enlightened of Tibia,Elder Druid,Monza,487,"7,998",Loyalty Points
62,Salox De'Sade,Enlightened of Tibia,Elite Knight,Menera,364,"7,990",Loyalty Points
63,Odd Henceforth,Enlightened of Tibia,Elite Knight,Lobera,231,"7,960",Loyalty Points
64,Achilles Tiger,Enlightened of Tibia,Royal Paladin,Astera,286,"7,952",Loyalty Points
65,Lord Ratt,Enlightened of Tibia,Royal Paladin,Gladera,577,"7,951",Loyalty Points
66,Soul of Mastro on Harmonia,Enlightened of Tibia,Master Sorcerer,Harmonia,34,"7,948",Loyalty Points
67,Sir Dragsalot,Enlightened of Tibia,Elite Knight,Lobera,359,"7,947",Loyalty Points
68,Marie-Jane,Enlightened of Tibia,Elite Knight,Peloria,226,"7,933",Loyalty Points
69,Hermelino,Enlightened of Tibia,None,Zuna,1,"7,932",Loyalty Points
70,Belgareth,Enlightened of Tibia,Master Sorcerer,Antica,236,"7,927",Loyalty Points
71,Timvix,Enlightened of Tibia,Elite Knight,Peloria,265,"7,917",Loyalty Points
72,Zephergal,Enlightened of Tibia,Royal Paladin,Pacera,228,"7,905",Loyalty Points
73,Platonn,Enlightened of Tibia,Elite Knight,Vunira,157,"7,903",Loyalty Points
74,Tarmon Gai Don,Enlightened of Tibia,Elder Druid,Peloria,1300,"7,902",Loyalty Points
75,Mendanha,Enlightened of Tibia,Master Sorcerer,Belobra,1371,"7,896",Loyalty Points
76,Sun Henceforth,Enlightened of Tibia,Elder Druid,Lobera,124,"7,894",Loyalty Points
77,Cieniaseq,Enlightened of Tibia,Elder Druid,Refugia,930,"7,881",Loyalty Points
78,Bloody Dragon,Enlightened of Tibia,Master Sorcerer,Antica,286,"7,876",Loyalty Points
79,Takkuri,Enlightened of Tibia,Master Sorcerer,Calmera,435,"7,875",Loyalty Points
80,Amijo,Enlightened of Tibia,Elder Druid,Retalia,357,"7,871",Loyalty Points
81,Ritito,Enlightened of Tibia,Elite Knight,Vunira,475,"7,858",Loyalty Points
82,Talisis,Enlightened of Tibia,Royal Paladin,Refugia,824,"7,857",Loyalty Points
83,Inter Rutra,Enlightened of Tibia,Elite Knight,Gentebra,432,"7,856",Loyalty Points
84,Mustane,Enlightened of Tibia,Master Sorcerer,Antica,214,"7,843",Loyalty Points
85,Varmendrion,Enlightened of Tibia,Elite Knight,Peloria,473,"7,840",Loyalty Points
86,Rudi the rednoses,Enlightened of Tibia,None,Antica,4,"7,835",Loyalty Points
87,Draken Fang,Enlightened of Tibia,Elite Knight,Antica,261,"7,832",Loyalty Points
88,Inach,Enlightened of Tibia,Elite Knight,Harmonia,1083,"7,817",Loyalty Points
89,Vozuk,Enlightened of Tibia,Master Sorcerer,Lobera,376,"7,812",Loyalty Points
90,Styxo,Enlightened of Tibia,Elite Knight,Bona,346,"7,804",Loyalty Points
91,Sibon Faur,Enlightened of Tibia,Elite Knight,Vunira,1190,"7,798",Loyalty Points
92,Hugh Black,Enlightened of Tibia,Master Sorcerer,Antica,167,"7,789",Loyalty Points
92,Navi Charola,Enlightened of Tibia,Master Sorcerer,Wintera,1076,"7,789",Loyalty Points
94,Abraxorix,Enlightened of Tibia,Royal Paladin,Premia,332,"7,788",Loyalty Points
95,Tiddox,Enlightened of Tibia,Royal Paladin,Serdebra,1002,"7,783",Loyalty Points
96,Demonica,Enlightened of Tibia,Elite Knight,Refugia,399,"7,776",Loyalty Points
97,Duduzebah,Enlightened of Tibia,Elite Knight,Vunira,124,"7,775",Loyalty Points
98,Knight Sunblade,Enlightened of Tibia,Elite Knight,Pacera,510,"7,774",Loyalty Points
99,Joao de calmera,Enlightened of Tibia,Royal Paladin,Calmera,515,"7,771",Loyalty Points
100,Zydor,Enlightened of Tibia,Elder Druid,Harmonia,150,"7,769",Loyalty Points
101,Dew Boyo,Enlightened of Tibia,Elite Knight,Secura,405,"7,765",Loyalty Points
102,Bah Tutah,Enlightened of Tibia,Royal Paladin,Vunira,130,"7,764",Loyalty Points
103,Shinzon,Enlightened of Tibia,Elite Knight,Secura,155,"7,760",Loyalty Points
104,Hunkie,Enlightened of Tibia,Master Sorcerer,Secura,355,"7,759",Loyalty Points
105,Kooky,Enlightened of Tibia,Elder Druid,Secura,351,"7,756",Loyalty Points
106,Lady Saphina,Enlightened of Tibia,Elder Druid,Pacera,925,"7,737",Loyalty Points
107,Royal Cyk,Enlightened of Tibia,Royal Paladin,Ourobra,1106,"7,734",Loyalty Points
107,Wnuk Kenny Laya,Enlightened of Tibia,Royal Paladin,Refugia,220,"7,734",Loyalty Points
109,Werveroy Lybria,Enlightened of Tibia,None,Zuna,0,"7,732",Loyalty Points
110,Kelisy,Enlightened of Tibia,Royal Paladin,Antica,320,"7,730",Loyalty Points
111,Aphrodithe,Enlightened of Tibia,Elite Knight,Astera,872,"7,728",Loyalty Points
112,Poseidon Beoni,Enlightened of Tibia,Elite Knight,Belobra,186,"7,727",Loyalty Points
113,Hawkwax,Enlightened of Tibia,Master Sorcerer,Harmonia,80,"7,724",Loyalty Points
113,Maezona,Enlightened of Tibia,Elite Knight,Calmera,422,"7,724",Loyalty Points
113,Zinina,Enlightened of Tibia,Elder Druid,Harmonia,573,"7,724",Loyalty Points
116,Sorceror King,Enlightened of Tibia,Master Sorcerer,Antica,553,"7,723",Loyalty Points
117,Lord Maseda,Enlightened of Tibia,Elite Knight,Antica,1444,"7,719",Loyalty Points
118,Fulgore Blood,Enlightened of Tibia,Master Sorcerer,Wintera,609,"7,717",Loyalty Points
119,Jercito,Enlightened of Tibia,Elder Druid,Gladera,618,"7,714",Loyalty Points
120,Monhangaruera,Enlightened of Tibia,None,Menera,22,"7,708",Loyalty Points
120,Zbyszko Wojownik,Enlightened of Tibia,Elite Knight,Secura,732,"7,708",Loyalty Points
122,Funky Marc,Enlightened of Tibia,Elite Knight,Lobera,1082,"7,704",Loyalty Points
122,Rosa Well Fireangels,Enlightened of Tibia,Elite Knight,Gladera,330,"7,704",Loyalty Points
124,Gontran,Enlightened of Tibia,Elite Knight,Lobera,159,"7,691",Loyalty Points
125,Ingolf Gloria,Enlightened of Tibia,Elite Knight,Secura,555,"7,686",Loyalty Points
126,Bicoir,Enlightened of Tibia,Elder Druid,Pacera,519,"7,681",Loyalty Points
126,Lady Yakassi,Enlightened of Tibia,Elder Druid,Peloria,663,"7,681",Loyalty Points
126,Verseus,Enlightened of Tibia,Elite Knight,Bona,703,"7,681",Loyalty Points
129,Tapherus Leon,Enlightened of Tibia,Royal Paladin,Harmonia,225,"7,678",Loyalty Points
130,Astronis,Enlightened of Tibia,Elite Knight,Astera,760,"7,666",Loyalty Points
131,Bowden,Enlightened of Tibia,Royal Paladin,Secura,234,"7,659",Loyalty Points
132,Pyramus,Enlightened of Tibia,Elite Knight,Secura,171,"7,656",Loyalty Points
133,Knight of the White Wolf,Enlightened of Tibia,Elite Knight,Harmonia,200,"7,652",Loyalty Points
134,Lord Serioth,Enlightened of Tibia,Royal Paladin,Secura,382,"7,645",Loyalty Points
134,Queen,Enlightened of Tibia,Elder Druid,Peloria,898,"7,645",Loyalty Points
136,Moltov,Enlightened of Tibia,Royal Paladin,Premia,252,"7,643",Loyalty Points
137,Alijanan Etalkied,Enlightened of Tibia,Paladin,Gladera,4,"7,641",Loyalty Points
138,Feki ku,Enlightened of Tibia,Elite Knight,Secura,451,"7,635",Loyalty Points
139,Arieru,Enlightened of Tibia,Master Sorcerer,Wintera,1084,"7,634",Loyalty Points
140,Leona Tineb,Enlightened of Tibia,Royal Paladin,Antica,81,"7,631",Loyalty Points
141,Amegry,Enlightened of Tibia,Elder Druid,Secura,541,"7,629",Loyalty Points
142,Malutka Aneczka,Enlightened of Tibia,Elite Knight,Bona,697,"7,622",Loyalty Points
143,Anardy,Enlightened of Tibia,Knight,Lobera,334,"7,621",Loyalty Points
144,Immortal Tiger,Enlightened of Tibia,Elite Knight,Astera,102,"7,619",Loyalty Points
144,Roc Solid,Enlightened of Tibia,Royal Paladin,Pacera,537,"7,619",Loyalty Points
146,Hunter Cent,Enlightened of Tibia,Royal Paladin,Pacera,694,"7,617",Loyalty Points
146,Tazise,Enlightened of Tibia,Royal Paladin,Calmera,136,"7,617",Loyalty Points
148,Zitob,Enlightened of Tibia,Elite Knight,Monza,1153,"7,612",Loyalty Points
149,Zerbras,Enlightened of Tibia,Master Sorcerer,Monza,459,"7,611",Loyalty Points
150,Shadow'Raider,Enlightened of Tibia,Elite Knight,Pacera,360,"7,607",Loyalty Points
151,Kamrawr,Enlightened of Tibia,Elite Knight,Gladera,922,"7,605",Loyalty Points
152,Rangel Lestat,Enlightened of Tibia,Elite Knight,Gentebra,1614,"7,604",Loyalty Points
153,Lord Executer,Enlightened of Tibia,Elite Knight,Premia,1253,"7,600",Loyalty Points
154,Maziajka,Enlightened of Tibia,Royal Paladin,Secura,955,"7,597",Loyalty Points
155,Halconn,Enlightened of Tibia,None,Havera,28,"7,596",Loyalty Points
155,Marfet,Enlightened of Tibia,Elite Knight,Premia,637,"7,596",Loyalty Points
157,Loggins of Dangerzone,Enlightened of Tibia,Elite Knight,Blumera,587,"7,589",Loyalty Points
158,Chumbin lel,Enlightened of Tibia,Elder Druid,Yubra,935,"7,588",Loyalty Points
158,Magical Kitten,Enlightened of Tibia,Elder Druid,Calmera,175,"7,588",Loyalty Points
160,Kerosseno,Enlightened of Tibia,Royal Paladin,Antica,99,"7,586",Loyalty Points
161,Araluxie,Enlightened of Tibia,Master Sorcerer,Wintera,136,"7,580",Loyalty Points
162,Valdenilson The Second,Enlightened of Tibia,Elite Knight,Ferobra,1083,"7,579",Loyalty Points
163,Ayla Paladina,Enlightened of Tibia,Royal Paladin,Premia,259,"7,577",Loyalty Points
164,Guttanas,Enlightened of Tibia,Royal Paladin,Quidera,1412,"7,573",Loyalty Points
165,Tandron,Enlightened of Tibia,Master Sorcerer,Secura,350,"7,565",Loyalty Points
166,Lord Vikin gold,Enlightened of Tibia,Elite Knight,Thyria,897,"7,563",Loyalty Points
167,Knight'Kamos,Enlightened of Tibia,Elite Knight,Peloria,1013,"7,558",Loyalty Points
168,Tiinu,Enlightened of Tibia,Royal Paladin,Refugia,163,"7,555",Loyalty Points
169,Excitable,Enlightened of Tibia,Master Sorcerer,Lobera,545,"7,552",Loyalty Points
170,Goblinx Klai,Enlightened of Tibia,Master Sorcerer,Celebra,174,"7,550",Loyalty Points
171,Daso II,Enlightened of Tibia,Royal Paladin,Antica,1618,"7,549",Loyalty Points
172,Arleton,Enlightened of Tibia,Elder Druid,Zunera,1084,"7,547",Loyalty Points
173,Steffi Millano,Enlightened of Tibia,Elder Druid,Monza,275,"7,546",Loyalty Points
174,Lady Pulguinha,Enlightened of Tibia,Elite Knight,Calmera,508,"7,544",Loyalty Points
175,Tia Delinha,Enlightened of Tibia,Elder Druid,Calmera,463,"7,543",Loyalty Points
176,Deadly Kizzer,Enlightened of Tibia,Royal Paladin,Premia,209,"7,540",Loyalty Points
177,Aragorn of Elfhome,Enlightened of Tibia,Elite Knight,Secura,211,"7,538",Loyalty Points
178,Lythariss,Enlightened of Tibia,Elder Druid,Gladera,586,"7,537",Loyalty Points
179,Patricinha druidinha,Enlightened of Tibia,Elite Knight,Secura,590,"7,526",Loyalty Points
180,Yuriih,Enlightened of Tibia,Royal Paladin,Terribra,1886,"7,525",Loyalty Points
181,Tokii Wartooth,Enlightened of Tibia,Royal Paladin,Lobera,803,"7,522",Loyalty Points
182,Macgyver,Enlightened of Tibia,Elite Knight,Antica,425,"7,519",Loyalty Points
183,Chicken summoner,Enlightened of Tibia,Elder Druid,Solidera,218,"7,515",Loyalty Points
184,Alunir,Enlightened of Tibia,Royal Paladin,Peloria,441,"7,514",Loyalty Points
185,Etien,Enlightened of Tibia,Elite Knight,Pacera,200,"7,511",Loyalty Points
185,Melmag,Enlightened of Tibia,Master Sorcerer,Secura,958,"7,511",Loyalty Points
187,Canisso,Enlightened of Tibia,Knight,Astera,344,"7,510",Loyalty Points
187,Khamar,Enlightened of Tibia,Elite Knight,Harmonia,942,"7,510",Loyalty Points
187,Nena ybel,Enlightened of Tibia,Druid,Talera,693,"7,510",Loyalty Points
190,Waknir,Enlightened of Tibia,Monk,Kalibra,9,"7,509",Loyalty Points
191,Miliardo Peace-craft,Enlightened of Tibia,Elite Knight,Premia,303,"7,504",Loyalty Points
192,Duria Larra,Enlightened of Tibia,Sorcerer,Gladera,6,"7,502",Loyalty Points
192,Stev on Olympa,Enlightened of Tibia,Elite Knight,Monza,91,"7,502",Loyalty Points
194,Tialys,Enlightened of Tibia,Elite Knight,Monza,182,"7,500",Loyalty Points
195,Anna Sinixa,Enlightened of Tibia,Elder Druid,Luminera,804,"7,496",Loyalty Points
195,Ulier Kalfon,Enlightened of Tibia,None,Havera,2,"7,496",Loyalty Points
197,Villarcita,Enlightened of Tibia,Sorcerer,Astera,41,"7,493",Loyalty Points
198,Majty ma,Enlightened of Tibia,Elder Druid,Lobera,120,"7,487",Loyalty Points
199,Guerrero De Las Sombras,Enlightened of Tibia,Elite Knight,Antica,1219,"7,484",Loyalty Points
200,Trenzinho Piui,Enlightened of Tibia,None,Solidera,8,"7,482",Loyalty Points
201,Magicice,Enlightened of Tibia,Royal Paladin,Antica,481,"7,479",Loyalty Points
202,Iskizytu,Enlightened of Tibia,Elite Knight,Pacera,1212,"7,478",Loyalty Points
203,Alkmewa,Enlightened of Tibia,Elite Knight,Menera,534,"7,473",Loyalty Points
204,Keppi,Enlightened of Tibia,Master Sorcerer,Secura,1313,"7,470",Loyalty Points
205,Magnifik Danyshiny,Enlightened of Tibia,Royal Paladin,Inabra,1602,"7,469",Loyalty Points
206,Pappie,Enlightened of Tibia,Elite Knight,Secura,1134,"7,459",Loyalty Points
207,Anne Lena,Enlightened of Tibia,Royal Paladin,Astera,910,"7,453",Loyalty Points
207,Brown Jantar,Enlightened of Tibia,Elite Knight,Celesta,1031,"7,453",Loyalty Points
207,Knight Zudano,Enlightened of Tibia,Elite Knight,Monza,561,"7,453",Loyalty Points
207,Xarkost Eilia,Enlightened of Tibia,Royal Paladin,Secura,563,"7,453",Loyalty Points
211,Lee Ticia,Enlightened of Tibia,Knight,Celebra,364,"7,450",Loyalty Points
211,Mixlalilxy,Enlightened of Tibia,Master Sorcerer,Wintera,292,"7,450",Loyalty Points
211,Ratilt,Enlightened of Tibia,Master Sorcerer,Thyria,808,"7,450",Loyalty Points
214,Fraggle,Enlightened of Tibia,Master Sorcerer,Antica,54,"7,446",Loyalty Points
215,Deadmani,Enlightened of Tibia,Elite Knight,Thyria,1979,"7,439",Loyalty Points
216,Semiramida,Enlightened of Tibia,Elite Knight,Secura,781,"7,432",Loyalty Points
217,Rii car do,Enlightened of Tibia,Elder Druid,Luminera,1719,"7,428",Loyalty Points
218,Trigunx,Enlightened of Tibia,Elite Knight,Astera,663,"7,424",Loyalty Points
218,Walentyna,Enlightened of Tibia,Elite Knight,Celesta,544,"7,424",Loyalty Points
220,Nobre Warrior,Enlightened of Tibia,Elite Knight,Yonabra,482,"7,423",Loyalty Points
220,Storm Lord,Enlightened of Tibia,Royal Paladin,Antica,354,"7,423",Loyalty Points
222,Harv Heimdallsson,Enlightened of Tibia,Elite Knight,Peloria,345,"7,422",Loyalty Points
223,Yuri Jammy,Enlightened of Tibia,Elite Knight,Havera,781,"7,418",Loyalty Points
224,Paulo The Sorcerer,Enlightened of Tibia,Master Sorcerer,Bona,182,"7,413",Loyalty Points
225,Flippendo,Enlightened of Tibia,Elite Knight,Secura,449,"7,409",Loyalty Points
226,Dankiver,Enlightened of Tibia,Royal Paladin,Quintera,963,"7,408",Loyalty Points
227,Icehearted Ranger,Enlightened of Tibia,Royal Paladin,Luminera,167,"7,402",Loyalty Points
228,Bullistic,Enlightened of Tibia,Royal Paladin,Lobera,1403,"7,395",Loyalty Points
229,Sky Hardysz,Enlightened of Tibia,Royal Paladin,Talera,1168,"7,388",Loyalty Points
230,Eudoros,Enlightened of Tibia,Elite Knight,Peloria,271,"7,386",Loyalty Points
231,Executer Mage,Enlightened of Tibia,Master Sorcerer,Premia,1000,"7,378",Loyalty Points
232,Myhuka,Enlightened of Tibia,Master Sorcerer,Astera,124,"7,376",Loyalty Points
233,Zigfrida,Enlightened of Tibia,Elder Druid,Calmera,338,"7,366",Loyalty Points
234,Lady Rachael,Enlightened of Tibia,Master Sorcerer,Astera,317,"7,365",Loyalty Points
235,Madam Dan,Enlightened of Tibia,Knight,Celesta,628,"7,360",Loyalty Points
235,Magic Xarfai,Enlightened of Tibia,Sorcerer,Lobera,748,"7,360",Loyalty Points
237,Orcluu Obscubra Pune,Enlightened of Tibia,Druid,Gladibra,391,"7,356",Loyalty Points
237,Sokkz The Bruto,Enlightened of Tibia,Elite Knight,Descubra,1092,"7,356",Loyalty Points
239,Merisquendi,Enlightened of Tibia,Master Sorcerer,Secura,133,"7,348",Loyalty Points
240,Aevin,Enlightened of Tibia,Elder Druid,Gentebra,1295,"7,347",Loyalty Points
240,Zos Io Pan,Enlightened of Tibia,Elite Knight,Serdebra,1095,"7,347",Loyalty Points
242,Nina Ragen,Enlightened of Tibia,Elite Knight,Talera,511,"7,344",Loyalty Points
243,Angel Moon,Enlightened of Tibia,Elder Druid,Menera,333,"7,343",Loyalty Points
244,Averthith Solifitrotus,Enlightened of Tibia,Master Sorcerer,Astera,313,"7,339",Loyalty Points
245,Bloodmoon,Enlightened of Tibia,Elite Knight,Lobera,422,"7,335",Loyalty Points
246,Malariamyggan,Enlightened of Tibia,Elder Druid,Kalanta,537,"7,332",Loyalty Points
247,Claudits,Enlightened of Tibia,Elder Druid,Astera,614,"7,330",Loyalty Points
248,Womolu,Enlightened of Tibia,Elite Knight,Celebra,1788,"7,326",Loyalty Points
249,Siberion,Enlightened of Tibia,Elite Knight,Premia,1529,"7,324",Loyalty Points
250,Pug wholikes wuuf,Enlightened of Tibia,Elder Druid,Secura,223,"7,323",Loyalty Points
251,Trapezoid,Enlightened of Tibia,Royal Paladin,Quintera,704,"7,318",Loyalty Points
252,Energy Source,Enlightened of Tibia,Master Sorcerer,Secura,535,"7,314",Loyalty Points
252,Shar Raftin,Enlightened of Tibia,Elder Druid,Wintera,44,"7,314",Loyalty Points
254,Xahifenix,Enlightened of Tibia,Elite Knight,Lutabra,298,"7,310",Loyalty Points
255,Animus Necandi,Enlightened of Tibia,Elite Knight,Quelibra,747,"7,309",Loyalty Points
255,Jane boom,Enlightened of Tibia,Elder Druid,Astera,409,"7,309",Loyalty Points
257,Busa,Enlightened of Tibia,Elite Knight,Secura,133,"7,308",Loyalty Points
258,Maralona,Enlightened of Tibia,Elder Druid,Harmonia,499,"7,302",Loyalty Points
259,Aestyn,Enlightened of Tibia,Elder Druid,Gladera,105,"7,300",Loyalty Points
259,Lord Dustcounter,Enlightened of Tibia,Elder Druid,Monza,332,"7,300",Loyalty Points
261,General Bach,Enlightened of Tibia,Elite Knight,Yonabra,1099,"7,299",Loyalty Points
261,Wolf Viper,Enlightened of Tibia,Elite Knight,Luminera,285,"7,299",Loyalty Points
263,Kingzie,Enlightened of Tibia,Master Sorcerer,Xyla,774,"7,296",Loyalty Points
264,Flor do rioo,Enlightened of Tibia,Elite Knight,Havera,61,"7,295",Loyalty Points
265,Hitogedgy,Enlightened of Tibia,Elite Knight,Luminera,520,"7,294",Loyalty Points
266,Crillan,Enlightened of Tibia,Sorcerer,Bona,92,"7,290",Loyalty Points
267,Hayashiro,Enlightened of Tibia,Master Sorcerer,Belobra,1833,"7,287",Loyalty Points
268,Auron Saint,Enlightened of Tibia,Royal Paladin,Vunira,928,"7,286",Loyalty Points
269,Pangarezinho,Enlightened of Tibia,Elite Knight,Celesta,371,"7,282",Loyalty Points
270,Chris Rancid,Enlightened of Tibia,Elder Druid,Refugia,552,"7,279",Loyalty Points
270,Mal Legendary,Enlightened of Tibia,Elite Knight,Gladera,857,"7,279",Loyalty Points
272,Haarin,Enlightened of Tibia,Elder Druid,Monza,1720,"7,276",Loyalty Points
272,Rethares Loka,Enlightened of Tibia,Elder Druid,Calmera,411,"7,276",Loyalty Points
274,Fihesute,Enlightened of Tibia,Elite Knight,Antica,789,"7,275",Loyalty Points
275,Dgod,Enlightened of Tibia,Elite Knight,Harmonia,526,"7,273",Loyalty Points
275,Othinows,Enlightened of Tibia,Master Sorcerer,Venebra,1551,"7,273",Loyalty Points
277,Anna Elan,Enlightened of Tibia,Master Sorcerer,Astera,461,"7,268",Loyalty Points
278,Marcelo Bicentenario,Enlightened of Tibia,Royal Paladin,Luminera,415,"7,264",Loyalty Points
279,Erogan,Enlightened of Tibia,Royal Paladin,Solidera,365,"7,262",Loyalty Points
280,Ekstrem,Enlightened of Tibia,Elder Druid,Secura,165,"7,261",Loyalty Points
280,Sir Chikki,Enlightened of Tibia,Knight,Monza,18,"7,261",Loyalty Points
282,Lokirj,Enlightened of Tibia,Knight,Calmera,53,"7,257",Loyalty Points
283,Knis Sudarit,Enlightened of Tibia,None,Gentebra,2,"7,250",Loyalty Points
284,Zena Daro,Enlightened of Tibia,Master Sorcerer,Gladera,225,"7,248",Loyalty Points
285,Haldo Severus,Enlightened of Tibia,Royal Paladin,Collabra,396,"7,245",Loyalty Points
286,Akry Suela,Enlightened of Tibia,Elite Knight,Secura,329,"7,242",Loyalty Points
287,Jim Hanson,Enlightened of Tibia,Master Sorcerer,Yovera,149,"7,241",Loyalty Points
288,Kearell Goldenstone,Enlightened of Tibia,Elder Druid,Secura,156,"7,231",Loyalty Points
289,Thay El Patron,Enlightened of Tibia,Elite Knight,Solidera,1722,"7,230",Loyalty Points
290,Kliuna Ai,Enlightened of Tibia,Royal Paladin,Peloria,568,"7,227",Loyalty Points
290,Master Player,Enlightened of Tibia,Master Sorcerer,Secura,265,"7,227",Loyalty Points
290,Orzack,Enlightened of Tibia,Elite Knight,Quelibra,1792,"7,227",Loyalty Points
293,Meroq Sana,Enlightened of Tibia,Knight,Yovera,8,"7,221",Loyalty Points
294,Aricy,Enlightened of Tibia,Elite Knight,Calmera,261,"7,219",Loyalty Points
