Rank,Name,Vocation,World,Level,Points,Category
80,Wingboy,Master Sorcerer,Rasteibra,1358,"2,264",Goshnar's Taint
81,Chaponga Modotankk,Elite Knight,Venebra,1730,"2,253",Goshnar's Taint
82,Natasyoss,Master Sorcerer,Nefera,1542,"2,244",Goshnar's Taint
83,Medicaux,Elder Druid,Celesta,2290,"2,240",Goshnar's Taint
84,Likwidatorr,Elder Druid,Monza,1727,"2,228",Goshnar's Taint
85,Mustzinho,Elder Druid,Venebra,1789,"2,227",Goshnar's Taint
86,Capetao Tipster,Royal Paladin,Inabra,1985,"2,222",Goshnar's Taint
87,Winy Roven,Elder Druid,Collabra,1725,"2,196",Goshnar's Taint
88,Rii car do,Elder Druid,Luminera,1719,"2,191",Goshnar's Taint
89,Kyru,Master Sorcerer,Venebra,1848,"2,173",Goshnar's Taint
90,Luszckyn,Master Sorcerer,Celebra,1418,"2,171",Goshnar's Taint
91,Epus,Master Sorcerer,Vunira,1834,"2,169",Goshnar's Taint
92,Luke no San,Royal Paladin,Collabra,1995,"2,168",Goshnar's Taint
93,Guczman,Royal Paladin,Monza,2122,"2,164",Goshnar's Taint
94,Katzwinckel,Elder Druid,Yonabra,1636,"2,157",Goshnar's Taint
94,Ultima Tentativa,Elder Druid,Venebra,1798,"2,157",Goshnar's Taint
96,Valkann,Master Sorcerer,Venebra,1834,"2,151",Goshnar's Taint
97,Smoothyz,Royal Paladin,Kalibra,2294,"2,144",Goshnar's Taint
98,Topteam Relaxado,Royal Paladin,Ustebra,1512,"2,133",Goshnar's Taint
99,Magnifik Danybruxo,Elder Druid,Inabra,2161,"2,131",Goshnar's Taint
100,Stefan Smakolysz,Elite Knight,Bona,2072,"2,126",Goshnar's Taint
101,Ewald,Elite Knight,Gentebra,1608,"2,111",Goshnar's Taint
102,Teko Brand,Royal Paladin,Kalibra,1562,"2,109",Goshnar's Taint
103,Lann Relaxado,Royal Paladin,Ustebra,1608,"2,101",Goshnar's Taint
104,Lynuux,Elder Druid,Celebra,2247,"2,096",Goshnar's Taint
105,Skabp Intolerante,Master Sorcerer,Ferobra,1672,"2,094",Goshnar's Taint
106,Anakurawk Dafalasu,Elite Knight,Gentebra,2202,"2,084",Goshnar's Taint
107,Ferva Boy,Royal Paladin,Gentebra,1574,"2,083",Goshnar's Taint
108,Dru cha,Master Sorcerer,Secura,1580,"2,080",Goshnar's Taint
109,Guizz Nettdown,Elder Druid,Collabra,1142,"2,074",Goshnar's Taint
110,Jazhi,Royal Paladin,Venebra,1755,"2,073",Goshnar's Taint
111,Sonyuzin Relaxado,Elite Knight,Ustebra,1561,"2,045",Goshnar's Taint
112,Jack Black Sabbath,Elder Druid,Gentebra,1995,"2,044",Goshnar's Taint
113,Baraokiller,Elder Druid,Gentebra,1398,"2,040",Goshnar's Taint
114,Rhooo,Elder Druid,Lobera,1723,"2,037",Goshnar's Taint
115,Dany Ellmagnifico,Master Sorcerer,Inabra,2176,"2,035",Goshnar's Taint
116,Dracon Endividado,Royal Paladin,Issobra,1409,"2,025",Goshnar's Taint
117,Brave,Elder Druid,Lobera,1133,"2,022",Goshnar's Taint
118,Doougz,Elite Knight,Yonabra,1672,"2,020",Goshnar's Taint
119,Amanda Relaxada,Master Sorcerer,Ustebra,1507,"2,018",Goshnar's Taint
120,Nezuko Kirishima,Elder Druid,Gentebra,1100,"2,012",Goshnar's Taint
121,Soiji,Elite Knight,Inabra,2059,"2,011",Goshnar's Taint
122,Dash Deluxe,Master Sorcerer,Secura,1660,"2,009",Goshnar's Taint
122,Eiitah,Elder Druid,Yonabra,1385,"2,009",Goshnar's Taint
124,Showks,Master Sorcerer,Gentebra,1839,"2,007",Goshnar's Taint
125,Yamaanek,Elder Druid,Monza,2070,"2,003",Goshnar's Taint
126,Gabe Um,Master Sorcerer,Yonabra,1858,"2,001",Goshnar's Taint
127,Mienye,Elder Druid,Venebra,1377,"1,999",Goshnar's Taint
128,Marin Downgraded,Elite Knight,Ustebra,1650,"1,996",Goshnar's Taint
129,Pesado Theuz,Elite Knight,Ustebra,1536,"1,991",Goshnar's Taint
130,Doctor Bruxxo,Master Sorcerer,Collabra,1623,"1,985",Goshnar's Taint
131,Bomba Chapeleiro,Elite Knight,Honbra,2324,"1,983",Goshnar's Taint
132,Pollemiicoo,Elder Druid,Issobra,1787,"1,979",Goshnar's Taint
133,Dado da Jana,Elder Druid,Kalibra,1690,"1,976",Goshnar's Taint
134,Leoon The Bloker,Elite Knight,Lobera,1227,"1,969",Goshnar's Taint
135,Ano Vix,Elder Druid,Monstera,1108,"1,966",Goshnar's Taint
136,Be Lovexp,Royal Paladin,Ombra,1357,"1,957",Goshnar's Taint
137,Akuma etterno,Master Sorcerer,Ferobra,1537,"1,956",Goshnar's Taint
138,Dillon Duenodefirmera,Elder Druid,Firmera,1954,"1,948",Goshnar's Taint
139,Szmuggy,Royal Paladin,Thyria,2086,"1,947",Goshnar's Taint
140,Taldo Gordo,Elite Knight,Ombra,1500,"1,945",Goshnar's Taint
141,Daruszin,Royal Paladin,Ustebra,1433,"1,939",Goshnar's Taint
142,Kevash,Master Sorcerer,Collabra,1753,"1,936",Goshnar's Taint
143,Deejay Giordano,Elder Druid,Kalibra,1316,"1,930",Goshnar's Taint
144,Rami rainha,Elite Knight,Belobra,1481,"1,929",Goshnar's Taint
145,Snow Gestao Inteligente,Elder Druid,Ustebra,1503,"1,924",Goshnar's Taint
146,Rilai,Royal Paladin,Ferobra,1334,"1,918",Goshnar's Taint
147,Si Am,Druid,Astera,1276,"1,915",Goshnar's Taint
148,Brauba,Royal Paladin,Ustebra,2221,"1,914",Goshnar's Taint
149,Gear Five Whisp,Royal Paladin,Collabra,1719,"1,910",Goshnar's Taint
150,Nonstop Bruno,Royal Paladin,Inabra,1978,"1,908",Goshnar's Taint
151,Master'tere,Royal Paladin,Gentebra,1387,"1,902",Goshnar's Taint
152,Crii Tic,Master Sorcerer,Monza,1900,"1,900",Goshnar's Taint
153,Knight of Rafael,Elite Knight,Quelibra,1678,"1,898",Goshnar's Taint
154,Ianzerah,Elder Druid,Ustebra,1485,"1,892",Goshnar's Taint
155,Shermaneitor,Royal Paladin,Luminera,1808,"1,889",Goshnar's Taint
156,Re nanzeraxd,Elder Druid,Serdebra,1919,"1,888",Goshnar's Taint
157,Vepe Ohz,Master Sorcerer,Quelibra,1685,"1,887",Goshnar's Taint
158,Nosio poderoso,Elder Druid,Rasteibra,1400,"1,882",Goshnar's Taint
159,Cybres Jack,Master Sorcerer,Celebra,1663,"1,881",Goshnar's Taint
160,Caio Sama,Elite Knight,Nefera,1194,"1,875",Goshnar's Taint
161,Izzy The Beast,Elder Druid,Celebra,2626,"1,859",Goshnar's Taint
162,Thor Fin Camisadez,Master Sorcerer,Honbra,1782,"1,857",Goshnar's Taint
163,Jhonnyxz,Elite Knight,Quintera,1526,"1,854",Goshnar's Taint
164,Blackout Pune,Elder Druid,Luminera,1452,"1,851",Goshnar's Taint
165,Fabrih,Elder Druid,Ferobra,1570,"1,850",Goshnar's Taint
166,Guii,Elite Knight,Celebra,2419,"1,836",Goshnar's Taint
167,Thiago Camisadez,Elder Druid,Honbra,1666,"1,835",Goshnar's Taint
168,Kallashy,Elite Knight,Honbra,2051,"1,831",Goshnar's Taint
169,Jumbras Punkrocker,Elder Druid,Yonabra,1578,"1,823",Goshnar's Taint
170,Valkyros,Elder Druid,Secura,1318,"1,816",Goshnar's Taint
171,Bu uzz,Elder Druid,Serdebra,1928,"1,807",Goshnar's Taint
172,Sacros Arturt,Royal Paladin,Quintera,1047,"1,800",Goshnar's Taint
173,Juan Peloneitor,Elder Druid,Quintera,1344,"1,798",Goshnar's Taint
174,Twiu,Master Sorcerer,Collabra,1612,"1,790",Goshnar's Taint
175,Fir ion,Royal Paladin,Secura,1358,"1,789",Goshnar's Taint
176,Ndetarovasz,Elder Druid,Honbra,2177,"1,787",Goshnar's Taint
177,Dolerozs,Elder Druid,Collabra,2188,"1,781",Goshnar's Taint
178,Amzt,Royal Paladin,Kalibra,1407,"1,779",Goshnar's Taint
179,Sihid Drakell,Elite Knight,Kalibra,1671,"1,777",Goshnar's Taint
179,Sorserer,Elder Druid,Yonabra,1455,"1,777",Goshnar's Taint
181,Nyasz,Elder Druid,Astera,1367,"1,766",Goshnar's Taint
182,Jeaan Kee,Elite Knight,Luminera,1808,"1,751",Goshnar's Taint
183,Bamandua,Elite Knight,Issobra,1804,"1,749",Goshnar's Taint
184,Ditrikz,Elite Knight,Kalibra,1237,"1,746",Goshnar's Taint
185,Zen Keeper,Master Sorcerer,Secura,1382,"1,745",Goshnar's Taint
186,Stugaan,Elite Knight,Monstera,1382,"1,744",Goshnar's Taint
187,Polemiico,Elder Druid,Issobra,1310,"1,741",Goshnar's Taint
188,Royal Xildz,Royal Paladin,Yonabra,1075,"1,740",Goshnar's Taint
189,Angel Pro Damage,Elder Druid,Yonabra,2013,"1,722",Goshnar's Taint
190,Cintage Vulture,Master Sorcerer,Yonabra,957,"1,702",Goshnar's Taint
190,Dorivall,Elder Druid,Ombra,1874,"1,702",Goshnar's Taint
190,Hiro Teensina,Elder Druid,Gentebra,2128,"1,702",Goshnar's Taint
190,Zwkidek,Elite Knight,Gentebra,2045,"1,702",Goshnar's Taint
194,Tchaaa,Elder Druid,Gentebra,1933,"1,699",Goshnar's Taint
195,Fa diinha,Elder Druid,Kalibra,1607,"1,698",Goshnar's Taint
196,Aluxi,Master Sorcerer,Kalibra,1779,"1,697",Goshnar's Taint
197,Iceprime,Elder Druid,Antica,1579,"1,696",Goshnar's Taint
198,Naclara,Elite Knight,Gentebra,1236,"1,694",Goshnar's Taint
199,Hezzorsz,Royal Paladin,Kalibra,1788,"1,690",Goshnar's Taint
200,Pamellax,Elder Druid,Kalibra,1340,"1,686",Goshnar's Taint
201,Rampage Renato,Elite Knight,Quintera,1141,"1,684",Goshnar's Taint
202,Shhilfner Bombinha,Elder Druid,Inabra,937,"1,680",Goshnar's Taint
202,Verfix,Elder Druid,Ustebra,2043,"1,680",Goshnar's Taint
204,Furial,Elder Druid,Yonabra,1159,"1,678",Goshnar's Taint
204,Im Leton,Elder Druid,Celebra,1344,"1,678",Goshnar's Taint
206,Doug Devasso,Elite Knight,Collabra,1852,"1,673",Goshnar's Taint
206,Feern,Elite Knight,Quintera,819,"1,673",Goshnar's Taint
206,Tonimm,Elder Druid,Jadebra,2205,"1,673",Goshnar's Taint
209,Abel Shaene,Elder Druid,Ustebra,1796,"1,669",Goshnar's Taint
209,Skunerx,Elite Knight,Belobra,1948,"1,669",Goshnar's Taint
211,Pal Capone,Royal Paladin,Secura,1954,"1,667",Goshnar's Taint
212,Diones Machine,Elite Knight,Descubra,2142,"1,665",Goshnar's Taint
212,Tonim Sniper,Royal Paladin,Jadebra,2096,"1,665",Goshnar's Taint
214,Gera,Master Sorcerer,Quintera,1187,"1,664",Goshnar's Taint
215,Rav Ven,Elder Druid,Refugia,1547,"1,662",Goshnar's Taint
216,Reverend Matt,Elder Druid,Yovera,1781,"1,661",Goshnar's Taint
217,Hermaan,Royal Paladin,Monza,1954,"1,660",Goshnar's Taint
218,Mattwin Firma Forte,Elder Druid,Etebra,2059,"1,650",Goshnar's Taint
219,Suguimoto,Elder Druid,Descubra,1543,"1,647",Goshnar's Taint
220,Jahadsito,Elite Knight,Quintera,1535,"1,642",Goshnar's Taint
221,Qebehut,Elite Knight,Luminera,1151,"1,638",Goshnar's Taint
222,Edbu,Royal Paladin,Quintera,1426,"1,633",Goshnar's Taint
222,Salva Cotoco,Elder Druid,Descubra,1317,"1,633",Goshnar's Taint
224,Markin Neutrin,Elder Druid,Venebra,1518,"1,627",Goshnar's Taint
225,Kommander,Royal Paladin,Celebra,2750,"1,620",Goshnar's Taint
226,Hexed,Royal Paladin,Kalibra,1309,"1,618",Goshnar's Taint
226,Ke vinho,Elder Druid,Gentebra,2732,"1,618",Goshnar's Taint
226,Lancellotz,Elite Knight,Descubra,1721,"1,618",Goshnar's Taint
229,Khro Ny,Royal Paladin,Venebra,1786,"1,617",Goshnar's Taint
230,Soztaken,Elder Druid,Nefera,1453,"1,606",Goshnar's Taint
231,Cael Goat,Elite Knight,Collabra,1775,"1,599",Goshnar's Taint
232,Foxzorr,Elder Druid,Venebra,1741,"1,596",Goshnar's Taint
233,Saiudinho,Elder Druid,Gentebra,1212,"1,594",Goshnar's Taint
234,Treko,Royal Paladin,Gentebra,2271,"1,586",Goshnar's Taint
235,Black Berett,Royal Paladin,Kalibra,1418,"1,584",Goshnar's Taint
236,Nxte,Elder Druid,Gentebra,1652,"1,583",Goshnar's Taint
237,Maza lov,Master Sorcerer,Rasteibra,2024,"1,582",Goshnar's Taint
238,Kbralz,Master Sorcerer,Descubra,1551,"1,580",Goshnar's Taint
239,Annie Starshine,Elite Knight,Gentebra,1392,"1,576",Goshnar's Taint
239,Aritmancia,Elder Druid,Wintera,1434,"1,576",Goshnar's Taint
239,Mistic Vini,Master Sorcerer,Gentebra,1236,"1,576",Goshnar's Taint
242,Sal Sa,Royal Paladin,Celesta,1468,"1,575",Goshnar's Taint
243,Hakaii Sheik,Master Sorcerer,Ourobra,1542,"1,572",Goshnar's Taint
243,Vastares,Royal Paladin,Descubra,1838,"1,572",Goshnar's Taint
245,Lynksen,Elite Knight,Antica,903,"1,569",Goshnar's Taint
246,Greamir,Master Sorcerer,Celesta,2181,"1,564",Goshnar's Taint
247,Galatrion,Elite Knight,Descubra,1105,"1,560",Goshnar's Taint
248,King Danter,Elite Knight,Celesta,2411,"1,559",Goshnar's Taint
249,Fitoky,Elder Druid,Quintera,1434,"1,556",Goshnar's Taint
250,Flowing Rain,Elite Knight,Yonabra,1249,"1,555",Goshnar's Taint
250,Lightbinder,Royal Paladin,Secura,2034,"1,555",Goshnar's Taint
252,Innk Muller,Master Sorcerer,Yonabra,1621,"1,554",Goshnar's Taint
253,Guel Baguncinha,Elder Druid,Serdebra,1419,"1,548",Goshnar's Taint
254,Edi Paladino,Royal Paladin,Honbra,2160,"1,547",Goshnar's Taint
255,Bezkarny Misiak,Elder Druid,Thyria,718,"1,546",Goshnar's Taint
256,Elder Reno,Elder Druid,Celesta,2475,"1,545",Goshnar's Taint
257,Pavaks,Elder Druid,Monza,1988,"1,543",Goshnar's Taint
258,Ploft Pluft,Elder Druid,Celebra,1428,"1,542",Goshnar's Taint
259,Gui Fergus,Elder Druid,Issobra,1107,"1,539",Goshnar's Taint
259,Hoopo Always Win,Elder Druid,Quintera,995,"1,539",Goshnar's Taint
261,Shay Jomyne,Elder Druid,Celebra,1394,"1,538",Goshnar's Taint
262,Gutierrezs,Elder Druid,Gentebra,2404,"1,536",Goshnar's Taint
263,Captain Gufi,Elder Druid,Refugia,2014,"1,534",Goshnar's Taint
264,Jefe Federman,Elder Druid,Wintera,1519,"1,532",Goshnar's Taint
265,Grimjoey,Elder Druid,Luminera,1217,"1,530",Goshnar's Taint
265,Jonzor Fumega Fumega,Elder Druid,Celebra,1742,"1,530",Goshnar's Taint
265,Mighty Peral,Elder Druid,Solidera,2033,"1,530",Goshnar's Taint
268,Flaashzinho,Elite Knight,Celebra,1901,"1,527",Goshnar's Taint
269,Czar Eduuktz,Elite Knight,Venebra,1684,"1,525",Goshnar's Taint
270,Attalahs The Invoker,Master Sorcerer,Secura,1788,"1,513",Goshnar's Taint
271,Moonryell,Master Sorcerer,Kalibra,1911,"1,510",Goshnar's Taint
271,Teteuzika,Master Sorcerer,Gentebra,1552,"1,510",Goshnar's Taint
273,Ronda Rush,Royal Paladin,Nefera,1481,"1,505",Goshnar's Taint
274,Duzy Brzuszek,Master Sorcerer,Nevia,2040,"1,498",Goshnar's Taint
274,Malukiller,Elite Knight,Gentebra,2009,"1,498",Goshnar's Taint
276,Tintin Hulk,Elite Knight,Rasteibra,1818,"1,497",Goshnar's Taint
277,Ahoky,Master Sorcerer,Solidera,1717,"1,496",Goshnar's Taint
278,Stabick,Master Sorcerer,Blumera,1810,"1,494",Goshnar's Taint
279,Starcall,Elder Druid,Ustebra,1396,"1,491",Goshnar's Taint
280,Gudrak,Royal Paladin,Rasteibra,1600,"1,490",Goshnar's Taint
280,Judge,Royal Paladin,Celebra,1896,"1,490",Goshnar's Taint
282,Alchemistzin,Elite Knight,Quelibra,2277,"1,487",Goshnar's Taint
283,Shotterzito,Elder Druid,Yonabra,1755,"1,484",Goshnar's Taint
284,Sparkr,Elder Druid,Gentebra,1629,"1,478",Goshnar's Taint
285,Ciemnyez,Elite Knight,Venebra,1822,"1,475",Goshnar's Taint
285,Rpet,Royal Paladin,Karmeya,1537,"1,475",Goshnar's Taint
287,Magiczny,Master Sorcerer,Refugia,2221,"1,473",Goshnar's Taint
288,Nandoxdd,Master Sorcerer,Venebra,1519,"1,469",Goshnar's Taint
289,Luhead Black Sabbath,Elite Knight,Gentebra,1588,"1,462",Goshnar's Taint
290,Macaense,Elder Druid,Belobra,1470,"1,461",Goshnar's Taint
291,Dao Diferenciado,Royal Paladin,Rasteibra,1656,"1,456",Goshnar's Taint
291,Pereirado,Elder Druid,Antica,1084,"1,456",Goshnar's Taint
293,Kenna Hades,Master Sorcerer,Belobra,1713,"1,454",Goshnar's Taint
294,Voljin Doctor,Master Sorcerer,Gentebra,1793,"1,443",Goshnar's Taint
295,Sen tinela,Elite Knight,Gentebra,1757,"1,436",Goshnar's Taint
296,Caink Blob,Elder Druid,Inabra,1799,"1,430",Goshnar's Taint
297,Nyghtz,Royal Paladin,Yonabra,2003,"1,428",Goshnar's Taint
298,Mantessa,Master Sorcerer,Refugia,2008,"1,425",Goshnar's Taint
299,Slug Princess Tsunade,Elder Druid,Monza,1740,"1,419",Goshnar's Taint
300,Goa Santiago,Master Sorcerer,Ourobra,2088,"1,417",Goshnar's Taint
301,Magnifik Danytank,Elite Knight,Quelibra,2021,"1,413",Goshnar's Taint
302,Caxxxx,Elder Druid,Ombra,1281,"1,412",Goshnar's Taint
303,Dextro Kogz,Master Sorcerer,Monza,2148,"1,409",Goshnar's Taint
303,Pai Do Meufilhu,Royal Paladin,Honbra,1310,"1,409",Goshnar's Taint
305,Lucaaszin,Royal Paladin,Serdebra,1870,"1,401",Goshnar's Taint
306,Khriszztoph,Master Sorcerer,Ombra,1634,"1,400",Goshnar's Taint
306,Womolu,Elite Knight,Celebra,1788,"1,400",Goshnar's Taint
308,Nerigudo,Elite Knight,Ustebra,1608,"1,399",Goshnar's Taint
309,Paapps,Elder Druid,Quintera,885,"1,398",Goshnar's Taint
309,Roshoot,Royal Paladin,Belobra,1769,"1,398",Goshnar's Taint
311,Alpha Charly,Royal Paladin,Gentebra,2039,"1,396",Goshnar's Taint
312,Rzeznik Wedliniarz,Elite Knight,Secura,1430,"1,395",Goshnar's Taint
313,Sariinhasz,Royal Paladin,Ferobra,1539,"1,393",Goshnar's Taint
314,Vomolu,Elite Knight,Celebra,2087,"1,390",Goshnar's Taint
315,Pigux,Royal Paladin,Refugia,1361,"1,387",Goshnar's Taint
316,Sebastiao Cachorro Loko,Master Sorcerer,Yonabra,1216,"1,386",Goshnar's Taint
317,Doctorr Aurelio,Elder Druid,Issobra,1637,"1,384",Goshnar's Taint
318,Miojo Doido,Master Sorcerer,Gentebra,1670,"1,382",Goshnar's Taint
319,Highmage Hidden,Master Sorcerer,Yonabra,1857,"1,378",Goshnar's Taint
319,Wandinzz,Royal Paladin,Karmeya,1457,"1,378",Goshnar's Taint
321,Der Eda,Royal Paladin,Belobra,1855,"1,373",Goshnar's Taint
322,Itz Archer,Royal Paladin,Yonabra,1820,"1,372",Goshnar's Taint
323,Lekisno,Royal Paladin,Gentebra,1791,"1,365",Goshnar's Taint
323,Will Lutabra Guardian,Elite Knight,Lutabra,862,"1,365",Goshnar's Taint
325,Heldis,Knight,Lutabra,885,"1,363",Goshnar's Taint
326,David in Panic,Elder Druid,Inabra,1257,"1,362",Goshnar's Taint
327,Sorrizzos,Elite Knight,Venebra,1703,"1,358",Goshnar's Taint
328,Brossaud,Elder Druid,Venebra,1553,"1,357",Goshnar's Taint
328,Ze Cueei,Elder Druid,Honbra,2233,"1,357",Goshnar's Taint
330,Ja co,Elite Knight,Refugia,2101,"1,355",Goshnar's Taint
331,Arraya Hardtimes,Master Sorcerer,Collabra,2101,"1,352",Goshnar's Taint
332,Reo Light,Royal Paladin,Vunira,1378,"1,351",Goshnar's Taint
333,Valek Phor,Elder Druid,Celesta,1641,"1,349",Goshnar's Taint
334,Kabulosoz,Elder Druid,Ferobra,1511,"1,348",Goshnar's Taint
334,Tonim Mage,Master Sorcerer,Jadebra,1952,"1,348",Goshnar's Taint
336,Jhoan Livre,Elite Knight,Astera,1312,"1,347",Goshnar's Taint
337,Mokolokinho,Elder Druid,Belobra,1891,"1,345",Goshnar's Taint
338,Fabinki,Elder Druid,Terribra,814,"1,344",Goshnar's Taint
338,Ma rkin,Elder Druid,Descubra,2445,"1,344",Goshnar's Taint
340,Haarin,Elder Druid,Monza,1720,"1,343",Goshnar's Taint
340,Melinxd,Master Sorcerer,Rasteibra,1585,"1,343",Goshnar's Taint
340,Sheng,Elder Druid,Yonabra,2155,"1,343",Goshnar's Taint
343,Rodrigaaum,Royal Paladin,Inabra,2039,"1,339",Goshnar's Taint
344,Mazoskt,Master Sorcerer,Descubra,1561,"1,336",Goshnar's Taint
