Rank,Name,Vocation,World,Level,Points,category,vocation_id
40,Burk,Elder Druid,Celebra,1917,"2,631",Goshnar's Taint,0
41,Alaiz,Elite Knight,Serdebra,1393,"2,578",Goshnar's Taint,0
42,True Hayder,Elder Druid,Vunira,1411,"2,574",Goshnar's Taint,0
43,Sorin Amarelou,Master Sorcerer,Inabra,1888,"2,532",Goshnar's Taint,0
44,Spykon,Elite Knight,Serdebra,1573,"2,524",Goshnar's Taint,0
45,Tenoorioxd,Elder Druid,Wintera,876,"2,492",Goshnar's Taint,0
46,Toxic Pups,Elder Druid,Thyria,1622,"2,484",Goshnar's Taint,0
47,Donzs,Elder Druid,Kalibra,1766,"2,453",Goshnar's Taint,0
48,Gutavo Endividado,Elder Druid,Collabra,1895,"2,442",Goshnar's Taint,0
49,Ya Adik,Elite Knight,Collabra,1772,"2,434",Goshnar's Taint,0
50,Sage Baw,Elder Druid,Belobra,2141,"2,422",Goshnar's Taint,0
51,Dimsterz,Royal Paladin,Collabra,1894,"2,413",Goshnar's Taint,0
52,The Chef Pune,Elder Druid,Astera,1690,"2,410",Goshnar's Taint,0
53,Bon de,Elder Druid,Ferobra,1507,"2,391",Goshnar's Taint,0
54,John Sentinels,Master Sorcerer,Gentebra,1695,"2,378",Goshnar's Taint,0
55,The Chef,Royal Paladin,Astera,1790,"2,374",Goshnar's Taint,0
56,Perfekt Bomb,Elder Druid,Talera,989,"2,362",Goshnar's Taint,0
57,Mighty Shear,Elder Druid,Ombra,1487,"2,354",Goshnar's Taint,0
58,Nimue Lanuin,Elite Knight,Gentebra,1827,"2,345",Goshnar's Taint,0
59,Max Namikaze,Elder Druid,Collabra,2043,"2,333",Goshnar's Taint,0
60,Caiio Acalix,Elder Druid,Gentebra,1723,"2,332",Goshnar's Taint,0
61,Wtsthischar,Elder Druid,Issobra,1833,"2,326",Goshnar's Taint,0
62,Ian Phage,Knight,Yonabra,1305,"2,320",Goshnar's Taint,0
63,Ma ri,Elder Druid,Gentebra,1442,"2,312",Goshnar's Taint,0
64,Raiden Makoto,Master Sorcerer,Nefera,1488,"2,298",Goshnar's Taint,0
65,Toddzera,Master Sorcerer,Collabra,1820,"2,292",Goshnar's Taint,0
66,La ra,Elder Druid,Yonabra,1193,"2,291",Goshnar's Taint,0
67,Thor Zynz,Royal Paladin,Collabra,2016,"2,286",Goshnar's Taint,0
68,Chiicleat,Elder Druid,Venebra,1622,"2,276",Goshnar's Taint,0
69,Ale Devasso,Royal Paladin,Collabra,1830,"2,275",Goshnar's Taint,0
69,Koe Psciko,Elite Knight,Collabra,1627,"2,275",Goshnar's Taint,0
71,Gilby,Elder Druid,Gentebra,1429,"2,274",Goshnar's Taint,0
72,Zezinho Enterprise,Elite Knight,Ourobra,1785,"2,272",Goshnar's Taint,0
73,Higzao,Royal Paladin,Gentebra,1454,"2,270",Goshnar's Taint,0
74,Shidrex,Elite Knight,Refugia,1757,"2,242",Goshnar's Taint,0
75,Junkz,Master Sorcerer,Kalibra,1941,"2,236",Goshnar's Taint,0
76,Bruxovinsk,Elder Druid,Collabra,1470,"2,222",Goshnar's Taint,0
77,Neo Padrasto,Royal Paladin,Collabra,1809,"2,220",Goshnar's Taint,0
78,Likwidatorr,Elder Druid,Monza,1721,"2,215",Goshnar's Taint,0
79,Medicaux,Elder Druid,Celesta,2290,"2,213",Goshnar's Taint,0
80,Chaponga Modotankk,Elite Knight,Venebra,1713,"2,195",Goshnar's Taint,0
81,Xigix,Master Sorcerer,Luminera,1771,"2,191",Goshnar's Taint,0
82,Capetao Tipster,Royal Paladin,Inabra,1968,"2,181",Goshnar's Taint,0
83,Natasyoss,Master Sorcerer,Nefera,1534,"2,143",Goshnar's Taint,0
84,Guczman,Royal Paladin,Monza,2093,"2,137",Goshnar's Taint,0
85,Epus,Master Sorcerer,Vunira,1831,"2,131",Goshnar's Taint,0
86,Stefan Smakolysz,Elite Knight,Bona,2050,"2,126",Goshnar's Taint,0
87,Mustzinho,Elder Druid,Venebra,1771,"2,122",Goshnar's Taint,0
87,Wingboy,Master Sorcerer,Rasteibra,1334,"2,122",Goshnar's Taint,0
89,Unnamed Shadow,Royal Paladin,Venebra,1918,"2,121",Goshnar's Taint,0
90,Kyru,Master Sorcerer,Venebra,1834,"2,115",Goshnar's Taint,0
91,Ewald,Elite Knight,Gentebra,1591,"2,111",Goshnar's Taint,0
92,Teko Brand,Royal Paladin,Kalibra,1538,"2,109",Goshnar's Taint,0
93,Ultima Tentativa,Elder Druid,Venebra,1789,"2,099",Goshnar's Taint,0
94,Smoothyz,Royal Paladin,Kalibra,2284,"2,096",Goshnar's Taint,0
95,Dru cha,Master Sorcerer,Secura,1580,"2,080",Goshnar's Taint,0
96,Luke no San,Royal Paladin,Collabra,1972,"2,079",Goshnar's Taint,0
97,Winy Roven,Elder Druid,Collabra,1716,"2,075",Goshnar's Taint,0
98,Lynuux,Elder Druid,Celebra,2226,"2,070",Goshnar's Taint,0
99,Magnifik Danybruxo,Elder Druid,Inabra,2147,"2,068",Goshnar's Taint,0
100,Katzwinckel,Elder Druid,Yonabra,1622,"2,050",Goshnar's Taint,0
101,Valkann,Master Sorcerer,Venebra,1820,"2,046",Goshnar's Taint,0
102,Skabp Intolerante,Master Sorcerer,Ferobra,1656,"2,044",Goshnar's Taint,0
103,Rhooo,Elder Druid,Lobera,1723,"2,037",Goshnar's Taint,0
104,Luszckyn,Master Sorcerer,Celebra,1401,"2,024",Goshnar's Taint,0
105,Rii car do,Elder Druid,Luminera,1699,"2,022",Goshnar's Taint,0
106,Jazhi,Royal Paladin,Venebra,1752,"2,015",Goshnar's Taint,0
107,Soiji,Elite Knight,Inabra,2029,"2,011",Goshnar's Taint,0
108,Gabe Um,Master Sorcerer,Belobra,1849,"2,000",Goshnar's Taint,0
109,Brave,Elder Druid,Lobera,1128,"1,991",Goshnar's Taint,0
110,Topteam Relaxado,Royal Paladin,Ustebra,1491,"1,988",Goshnar's Taint,0
111,Showks,Master Sorcerer,Gentebra,1823,"1,987",Goshnar's Taint,0
112,Guizz Nettdown,Elder Druid,Collabra,1129,"1,984",Goshnar's Taint,0
113,Yamaanek,Elder Druid,Monza,2039,"1,976",Goshnar's Taint,0
114,Dado da Jana,Elder Druid,Kalibra,1673,"1,975",Goshnar's Taint,0
115,Dany Ellmagnifico,Master Sorcerer,Inabra,2165,"1,972",Goshnar's Taint,0
116,Anakurawk Dafalasu,Elite Knight,Gentebra,2183,"1,964",Goshnar's Taint,0
117,Ferva Boy,Royal Paladin,Gentebra,1569,"1,963",Goshnar's Taint,0
118,Jack Black Sabbath,Elder Druid,Gentebra,1982,"1,957",Goshnar's Taint,0
119,Lann Relaxado,Royal Paladin,Ustebra,1594,"1,956",Goshnar's Taint,0
120,Mienye,Elder Druid,Venebra,1366,"1,954",Goshnar's Taint,0
121,Baraokiller,Elder Druid,Gentebra,1395,"1,950",Goshnar's Taint,0
121,Dash Deluxe,Master Sorcerer,Secura,1658,"1,950",Goshnar's Taint,0
123,Dillon Duenodefirmera,Elder Druid,Firmera,1949,"1,947",Goshnar's Taint,0
124,Doougz,Elite Knight,Yonabra,1670,"1,943",Goshnar's Taint,0
125,Bomba Chapeleiro,Elite Knight,Honbra,2299,"1,940",Goshnar's Taint,0
126,Rami rainha,Elite Knight,Belobra,1468,"1,929",Goshnar's Taint,0
127,Leoon The Bloker,Elite Knight,Lobera,1214,"1,922",Goshnar's Taint,0
128,Eiitah,Elder Druid,Yonabra,1364,"1,920",Goshnar's Taint,0
129,Rilai,Royal Paladin,Ferobra,1327,"1,916",Goshnar's Taint,0
130,Si Am,Elder Druid,Astera,1275,"1,915",Goshnar's Taint,0
131,Ano Vix,Elder Druid,Gravitera,1103,"1,910",Goshnar's Taint,0
132,Nonstop Bruno,Royal Paladin,Inabra,1963,"1,908",Goshnar's Taint,0
133,Szmuggy,Royal Paladin,Thyria,2066,"1,902",Goshnar's Taint,0
134,Sonyuzin Relaxado,Elite Knight,Ustebra,1540,"1,900",Goshnar's Taint,0
135,Akuma etterno,Master Sorcerer,Ferobra,1522,"1,893",Goshnar's Taint,0
136,Nezuko Kirishima,Elder Druid,Gentebra,1100,"1,892",Goshnar's Taint,0
137,Crii Tic,Master Sorcerer,Monza,1885,"1,885",Goshnar's Taint,0
138,Nosio poderoso,Elder Druid,Rasteibra,1383,"1,877",Goshnar's Taint,0
139,Marin Downgraded,Elite Knight,Ustebra,1640,"1,876",Goshnar's Taint,0
140,Caio Sama,Elite Knight,Nefera,1190,"1,875",Goshnar's Taint,0
141,Amanda Relaxada,Master Sorcerer,Ustebra,1498,"1,874",Goshnar's Taint,0
142,Dracon Endividado,Royal Paladin,Issobra,1405,"1,859",Goshnar's Taint,0
143,Deejay Giordano,Elder Druid,Kalibra,1314,"1,855",Goshnar's Taint,0
144,Criizz,Elder Druid,Yonabra,1451,"1,851",Goshnar's Taint,0
145,Doctor Bruxxo,Master Sorcerer,Collabra,1602,"1,847",Goshnar's Taint,0
146,Gear Five Whisp,Royal Paladin,Collabra,1713,"1,846",Goshnar's Taint,0
147,Kevash,Master Sorcerer,Collabra,1731,"1,845",Goshnar's Taint,0
148,Be Lovexp,Royal Paladin,Ombra,1337,"1,837",Goshnar's Taint,0
149,Thor Fin Camisadez,Master Sorcerer,Honbra,1765,"1,836",Goshnar's Taint,0
150,Izzy The Beast,Elder Druid,Celebra,2604,"1,835",Goshnar's Taint,0
151,Re nanzeraxd,Elder Druid,Serdebra,1899,"1,829",Goshnar's Taint,0
152,Knight of Rafael,Elite Knight,Quelibra,1658,"1,828",Goshnar's Taint,0
153,Master'tere,Royal Paladin,Gentebra,1387,"1,827",Goshnar's Taint,0
154,Taldo Gordo,Elite Knight,Ombra,1483,"1,825",Goshnar's Taint,0
155,Pesado Theuz,Elite Knight,Ustebra,1519,"1,821",Goshnar's Taint,0
156,Thiago Camisadez,Elder Druid,Honbra,1643,"1,815",Goshnar's Taint,0
157,Brauba,Royal Paladin,Ustebra,2198,"1,809",Goshnar's Taint,0
157,Pollemiicoo,Elder Druid,Issobra,1780,"1,809",Goshnar's Taint,0
159,Vepe Ohz,Master Sorcerer,Quelibra,1668,"1,807",Goshnar's Taint,0
160,Valkyros,Elder Druid,Secura,1314,"1,801",Goshnar's Taint,0
161,Guii,Elite Knight,Celebra,2403,"1,796",Goshnar's Taint,0
162,Fir ion,Royal Paladin,Secura,1357,"1,789",Goshnar's Taint,0
163,Fabrih,Elder Druid,Ferobra,1557,"1,787",Goshnar's Taint,0
164,Ianzerah,Elder Druid,Ustebra,1467,"1,784",Goshnar's Taint,0
165,Bu uzz,Elder Druid,Serdebra,1905,"1,783",Goshnar's Taint,0
166,Sacros Arturt,Royal Paladin,Quintera,1044,"1,773",Goshnar's Taint,0
167,Daruszin,Royal Paladin,Ustebra,1413,"1,769",Goshnar's Taint,0
168,Sihid Drakell,Elite Knight,Kalibra,1654,"1,762",Goshnar's Taint,0
169,Snow Gestao Inteligente,Elder Druid,Ustebra,1496,"1,754",Goshnar's Taint,0
170,Twiu,Master Sorcerer,Collabra,1598,"1,745",Goshnar's Taint,0
170,Zen Keeper,Master Sorcerer,Secura,1378,"1,745",Goshnar's Taint,0
172,Leozinsz Paramaxxz,Elder Druid,Honbra,2148,"1,744",Goshnar's Taint,0
173,Jhonnyxz,Elite Knight,Quintera,1507,"1,734",Goshnar's Taint,0
174,Cybres Jack,Master Sorcerer,Celebra,1650,"1,733",Goshnar's Taint,0
175,Jumbras Punkrocker,Elder Druid,Yonabra,1558,"1,732",Goshnar's Taint,0
175,Sorserer,Elder Druid,Yonabra,1443,"1,732",Goshnar's Taint,0
177,Shermaneitor,Royal Paladin,Luminera,1789,"1,720",Goshnar's Taint,0
178,Ditrikz,Elite Knight,Kalibra,1236,"1,716",Goshnar's Taint,0
179,Nyasz,Elder Druid,Astera,1356,"1,701",Goshnar's Taint,0
180,Tchaaa,Elder Druid,Gentebra,1915,"1,699",Goshnar's Taint,0
181,Iceprime,Elder Druid,Antica,1579,"1,696",Goshnar's Taint,0
182,Juan Peloneitor,Elder Druid,Quintera,1322,"1,693",Goshnar's Taint,0
183,Dolerozs,Elder Druid,Collabra,2162,"1,692",Goshnar's Taint,0
183,Kallashy,Elite Knight,Honbra,2038,"1,692",Goshnar's Taint,0
185,Stugaan,Elite Knight,Gravitera,1377,"1,688",Goshnar's Taint,0
186,Angel Pro Damage,Elder Druid,Yonabra,2000,"1,687",Goshnar's Taint,0
187,Shhilfner Bombinha,Elder Druid,Inabra,937,"1,680",Goshnar's Taint,0
188,Im Leton,Elder Druid,Celebra,1343,"1,678",Goshnar's Taint,0
189,Amzt,Royal Paladin,Kalibra,1400,"1,675",Goshnar's Taint,0
190,Feern,Elite Knight,Quintera,819,"1,673",Goshnar's Taint,0
191,Fa diinha,Elder Druid,Kalibra,1605,"1,666",Goshnar's Taint,0
192,Dorivall,Elder Druid,Ombra,1854,"1,661",Goshnar's Taint,0
193,Reverend Matt,Elder Druid,Yovera,1755,"1,659",Goshnar's Taint,0
194,Rampage Renato,Elite Knight,Quintera,1123,"1,657",Goshnar's Taint,0
195,Cintage Vulture,Master Sorcerer,Yonabra,958,"1,642",Goshnar's Taint,0
196,Royal Xildz,Royal Paladin,Yonabra,1063,"1,635",Goshnar's Taint,0
197,Doug Devasso,Elite Knight,Collabra,1848,"1,628",Goshnar's Taint,0
198,Pamellax,Elder Druid,Kalibra,1329,"1,626",Goshnar's Taint,0
199,Hozele Killidaximo,Elder Druid,Secura,1545,"1,618",Goshnar's Taint,0
200,Hermaan,Royal Paladin,Monza,1947,"1,615",Goshnar's Taint,0
201,Ke vinho,Elder Druid,Gentebra,2715,"1,601",Goshnar's Taint,0
202,Kommander,Royal Paladin,Celebra,2731,"1,596",Goshnar's Taint,0
202,Mattwin Firma Forte,Elder Druid,Etebra,2051,"1,596",Goshnar's Taint,0
204,Aluxi,Master Sorcerer,Kalibra,1760,"1,592",Goshnar's Taint,0
204,Hiro Teensina,Elder Druid,Gentebra,2111,"1,592",Goshnar's Taint,0
206,Pal Capone,Royal Paladin,Secura,1951,"1,588",Goshnar's Taint,0
207,Treko,Royal Paladin,Gentebra,2252,"1,586",Goshnar's Taint,0
208,Zwkidek,Elite Knight,Gentebra,2033,"1,584",Goshnar's Taint,0
209,Jeaan Kee,Elite Knight,Luminera,1793,"1,582",Goshnar's Taint,0
209,Markin Neutrin,Elder Druid,Venebra,1515,"1,582",Goshnar's Taint,0
211,Bamandua,Elite Knight,Issobra,1790,"1,579",Goshnar's Taint,0
211,Maza lov,Master Sorcerer,Rasteibra,2017,"1,579",Goshnar's Taint,0
211,Saiudinho,Elder Druid,Gentebra,1211,"1,579",Goshnar's Taint,0
214,Hezzorsz,Royal Paladin,Kalibra,1776,"1,578",Goshnar's Taint,0
215,Annie Starshine,Elite Knight,Gentebra,1383,"1,576",Goshnar's Taint,0
215,Aritmancia,Elder Druid,Wintera,1433,"1,576",Goshnar's Taint,0
217,Polemiico,Elder Druid,Issobra,1308,"1,575",Goshnar's Taint,0
217,Skunerx,Elite Knight,Belobra,1933,"1,575",Goshnar's Taint,0
217,Verfix,Elder Druid,Ustebra,2019,"1,575",Goshnar's Taint,0
220,Gera,Master Sorcerer,Quintera,1176,"1,574",Goshnar's Taint,0
220,Naclara,Elite Knight,Gentebra,1212,"1,574",Goshnar's Taint,0
222,Draco Uchiha,Elite Knight,Collabra,2129,"1,573",Goshnar's Taint,0
222,Furial,Elder Druid,Yonabra,1155,"1,573",Goshnar's Taint,0
224,Lynksen,Elite Knight,Antica,902,"1,569",Goshnar's Taint,0
225,Tonimm,Elder Druid,Jadebra,2183,"1,567",Goshnar's Taint,0
226,Abel Shaene,Elder Druid,Ustebra,1765,"1,564",Goshnar's Taint,0
227,Galatrion,Elite Knight,Descubra,1093,"1,560",Goshnar's Taint,0
228,Nxte,Elder Druid,Gentebra,1631,"1,559",Goshnar's Taint,0
228,Tonim Sniper,Royal Paladin,Jadebra,2074,"1,559",Goshnar's Taint,0
230,Bezkarny Misiak,Elder Druid,Thyria,706,"1,546",Goshnar's Taint,0
231,Suguimoto,Elder Druid,Descubra,1521,"1,540",Goshnar's Taint,0
232,Jahadsito,Elite Knight,Quintera,1514,"1,537",Goshnar's Taint,0
233,Gutierrezs,Elder Druid,Gentebra,2387,"1,536",Goshnar's Taint,0
234,Shay Jomyne,Elder Druid,Celebra,1384,"1,534",Goshnar's Taint,0
235,Jefe Federman,Elder Druid,Wintera,1514,"1,532",Goshnar's Taint,0
236,Salva Cotoco,Elder Druid,Descubra,1302,"1,531",Goshnar's Taint,0
237,Edbu,Royal Paladin,Quintera,1405,"1,528",Goshnar's Taint,0
237,Sal Sa,Royal Paladin,Gentebra,1461,"1,528",Goshnar's Taint,0
239,Hexed,Royal Paladin,Kalibra,1303,"1,527",Goshnar's Taint,0
240,Pavaks,Elder Druid,Monza,1984,"1,521",Goshnar's Taint,0
241,Greamir,Master Sorcerer,Celesta,2155,"1,517",Goshnar's Taint,0
242,Khro Ny,Royal Paladin,Venebra,1771,"1,512",Goshnar's Taint,0
243,Lancellotz,Elite Knight,Descubra,1705,"1,511",Goshnar's Taint,0
244,Czar Eduuktz,Elite Knight,Venebra,1677,"1,510",Goshnar's Taint,0
245,Cael Goat,Elite Knight,Collabra,1756,"1,508",Goshnar's Taint,0
246,Palaciror,Royal Paladin,Secura,2039,"1,505",Goshnar's Taint,0
247,Edi Paladino,Royal Paladin,Honbra,2134,"1,504",Goshnar's Taint,0
248,Flaashzinho,Elite Knight,Celebra,1885,"1,503",Goshnar's Taint,0
248,King Danter,Elite Knight,Celesta,2394,"1,503",Goshnar's Taint,0
248,Qebehut,Elite Knight,Luminera,1140,"1,503",Goshnar's Taint,0
251,Mistic Vini,Master Sorcerer,Gentebra,1231,"1,501",Goshnar's Taint,0
252,Hoopo Always Win,Elder Druid,Quintera,987,"1,497",Goshnar's Taint,0
253,Stabick,Master Sorcerer,Esmera,1783,"1,493",Goshnar's Taint,0
254,Attalahs The Invoker,Master Sorcerer,Secura,1773,"1,491",Goshnar's Taint,0
255,Vastares,Royal Paladin,Descubra,1820,"1,490",Goshnar's Taint,0
256,Elder Reno,Elder Druid,Celesta,2456,"1,489",Goshnar's Taint,0
256,Gudrak,Royal Paladin,Rasteibra,1591,"1,489",Goshnar's Taint,0
256,Teteuzika,Master Sorcerer,Gentebra,1535,"1,489",Goshnar's Taint,0
259,Captain Gufi,Elder Druid,Refugia,1997,"1,485",Goshnar's Taint,0
260,Palgaa,Master Sorcerer,Secura,1905,"1,484",Goshnar's Taint,0
261,Fitoky,Elder Druid,Quintera,1414,"1,481",Goshnar's Taint,0
262,Black Berett,Royal Paladin,Kalibra,1394,"1,478",Goshnar's Taint,0
263,Hakaii Sheik,Master Sorcerer,Ourobra,1520,"1,475",Goshnar's Taint,0
263,Khronyzin,Royal Paladin,Karmeya,1536,"1,475",Goshnar's Taint,0
265,Kbralz,Master Sorcerer,Descubra,1527,"1,473",Goshnar's Taint,0
266,Guel Baguncinha,Elder Druid,Serdebra,1408,"1,471",Goshnar's Taint,0
266,Soztaken,Elder Druid,Nefera,1443,"1,471",Goshnar's Taint,0
268,Judge,Royal Paladin,Celebra,1875,"1,467",Goshnar's Taint,0
269,Flowing Rain,Elite Knight,Yonabra,1229,"1,450",Goshnar's Taint,0
270,Innk Muller,Master Sorcerer,Yonabra,1615,"1,448",Goshnar's Taint,0
271,Luhead Black Sabbath,Elite Knight,Gentebra,1574,"1,444",Goshnar's Taint,0
272,Nandoxdd,Master Sorcerer,Venebra,1502,"1,441",Goshnar's Taint,0
273,Apenas Dellani,Elder Druid,Celebra,1734,"1,440",Goshnar's Taint,0
274,Alchemistzin,Elite Knight,Quelibra,2259,"1,432",Goshnar's Taint,0
275,Caink Blob,Elder Druid,Inabra,1770,"1,430",Goshnar's Taint,0
276,Magiczny,Master Sorcerer,Refugia,2206,"1,424",Goshnar's Taint,0
277,Mighty Peral,Elder Druid,Solidera,2015,"1,419",Goshnar's Taint,0
278,Goa Luccas Neto,Master Sorcerer,Ourobra,2063,"1,416",Goshnar's Taint,0
279,Magnifik Danytank,Elite Knight,Inabra,2010,"1,413",Goshnar's Taint,0
280,Foxzorr,Elder Druid,Venebra,1733,"1,410",Goshnar's Taint,0
281,Ronda Rush,Royal Paladin,Nefera,1461,"1,400",Goshnar's Taint,0
282,Mantessa,Master Sorcerer,Refugia,1997,"1,398",Goshnar's Taint,0
282,Ploft Pluft,Elder Druid,Celebra,1413,"1,398",Goshnar's Taint,0
284,Grimjoey,Elder Druid,Luminera,1203,"1,395",Goshnar's Taint,0
284,Rzeznik Wedliniarz,Elite Knight,Secura,1430,"1,395",Goshnar's Taint,0
286,Malukiller,Elite Knight,Gentebra,2006,"1,392",Goshnar's Taint,0
287,Nyghtz,Royal Paladin,Yonabra,1989,"1,388",Goshnar's Taint,0
288,Ahoky,Master Sorcerer,Solidera,1708,"1,385",Goshnar's Taint,0
288,Ciemnyez,Elite Knight,Venebra,1808,"1,385",Goshnar's Taint,0
290,Caxxxx,Elder Druid,Ombra,1245,"1,384",Goshnar's Taint,0
291,Doctorr Aurelio,Elder Druid,Issobra,1618,"1,383",Goshnar's Taint,0
292,Dextro Kogz,Master Sorcerer,Monza,2119,"1,382",Goshnar's Taint,0
293,Wandinzz,Royal Paladin,Karmeya,1427,"1,378",Goshnar's Taint,0
294,Gui Fergus,Elder Druid,Issobra,1104,"1,373",Goshnar's Taint,0
295,Slug Princess Tsunade,Elder Druid,Monza,1734,"1,372",Goshnar's Taint,0
296,Tintin Hulk,Elite Knight,Rasteibra,1802,"1,371",Goshnar's Taint,0
297,Pigux,Royal Paladin,Refugia,1334,"1,369",Goshnar's Taint,0
298,Voljin Doctor,Master Sorcerer,Gentebra,1791,"1,368",Goshnar's Taint,0
299,Itz Archer,Royal Paladin,Yonabra,1811,"1,367",Goshnar's Taint,0
300,Alpha Charly,Royal Paladin,Gentebra,2027,"1,366",Goshnar's Taint,0
301,Kenna Hades,Master Sorcerer,Belobra,1699,"1,365",Goshnar's Taint,0
301,Will Lutabra Guardian,Elite Knight,Lutabra,858,"1,365",Goshnar's Taint,0
303,Duzy Brzuszek,Master Sorcerer,Nevia,2036,"1,363",Goshnar's Taint,0
303,Heldis,Elite Knight,Lutabra,885,"1,363",Goshnar's Taint,0
305,Sen tinela,Elite Knight,Gentebra,1741,"1,361",Goshnar's Taint,0
306,Khriszztoph,Master Sorcerer,Ombra,1610,"1,359",Goshnar's Taint,0
307,Sorrizzos,Elite Knight,Venebra,1692,"1,358",Goshnar's Taint,0
308,Sparkr,Elder Druid,Gentebra,1624,"1,357",Goshnar's Taint,0
309,Paapps,Elder Druid,Quintera,884,"1,356",Goshnar's Taint,0
310,Macaense,Elder Druid,Belobra,1454,"1,353",Goshnar's Taint,0
311,Pereirado,Elder Druid,Antica,1072,"1,351",Goshnar's Taint,0
312,Miojo Doido,Master Sorcerer,Gentebra,1652,"1,350",Goshnar's Taint,0
313,Shotterzito,Elder Druid,Yonabra,1742,"1,349",Goshnar's Taint,0
314,Fabinki,Elder Druid,Obscubra,646,"1,344",Goshnar's Taint,0
315,Haarin,Elder Druid,Monza,1720,"1,343",Goshnar's Taint,0
316,Sheng,Elder Druid,Yonabra,2134,"1,341",Goshnar's Taint,0
317,Lucaaszin,Royal Paladin,Serdebra,1849,"1,340",Goshnar's Taint,0
317,Ma rkin,Elder Druid,Descubra,2430,"1,340",Goshnar's Taint,0
319,Starcall,Elder Druid,Ustebra,1382,"1,336",Goshnar's Taint,0
320,Sirleono,Royal Paladin,Wintera,1199,"1,332",Goshnar's Taint,0
321,Chefao Magnifikdany,Sorcerer,Inabra,1972,"1,331",Goshnar's Taint,0
322,Sariinhasz,Royal Paladin,Ferobra,1525,"1,330",Goshnar's Taint,0
323,Pronto King,Elder Druid,Ferobra,901,"1,327",Goshnar's Taint,0
324,Psyko Punkrocker,Royal Paladin,Secura,1597,"1,325",Goshnar's Taint,0
325,Rdge,Master Sorcerer,Yonabra,2022,"1,322",Goshnar's Taint,0
326,Pizza Party,Elder Druid,Gladera,1573,"1,319",Goshnar's Taint,0
327,Czikita,Elder Druid,Secura,2053,"1,317",Goshnar's Taint,0
327,David in Panic,Elder Druid,Inabra,1237,"1,317",Goshnar's Taint,0
