Rank,Name,Vocation,World,Level,Points,category,vocation_id
117,Elvenor,Royal Paladin,Celesta,1333,"22,989",Charm Points,0
117,Golden Face,Master Sorcerer,Quidera,1136,"22,989",Charm Points,0
117,Rockstacker Cleve,Elder Druid,Nevia,1208,"22,989",Charm Points,0
120,Quiet,Royal Paladin,Epoca,1133,"22,939",Charm Points,0
120,Salsa Agridoce,Royal Paladin,Oceanis,1384,"22,939",Charm Points,0
120,Turyan,Royal Paladin,Descubra,1014,"22,939",Charm Points,0
123,Molinenko,Elder Druid,Secura,1422,"22,889",Charm Points,0
124,Dorivall,Elder Druid,Ombra,1854,"22,835",Charm Points,0
125,Theron guard,Royal Paladin,Astera,1316,"22,814",Charm Points,0
126,Vo Dee,Royal Paladin,Secura,1234,"22,774",Charm Points,0
127,Ioo,Elder Druid,Astera,1225,"22,739",Charm Points,0
128,Markinhos fernandes,Royal Paladin,Yonabra,1622,"22,689",Charm Points,0
128,Nohni Ryan,Elder Druid,Astera,898,"22,689",Charm Points,0
130,Shay Jomyne,Elder Druid,Celebra,1384,"22,684",Charm Points,0
131,Smka Corporation,Master Sorcerer,Issobra,2118,"22,635",Charm Points,0
132,Rekovni,Elder Druid,Secura,1282,"22,619",Charm Points,0
133,Amazing Eric Legend,Elder Druid,Menera,1461,"22,589",Charm Points,0
134,Shidden,Royal Paladin,Gladibra,1287,"22,564",Charm Points,0
135,Kevash,Master Sorcerer,Collabra,1731,"22,530",Charm Points,0
136,Ayy Eff Kayy,Master Sorcerer,Astera,1225,"22,514",Charm Points,0
137,Toon Arma,Elder Druid,Secura,1169,"22,489",Charm Points,0
138,King Infinytum,Elite Knight,Yonabra,2202,"22,424",Charm Points,0
139,Abbadinos,Royal Paladin,Wadira,1492,"22,399",Charm Points,0
140,Royal Gotico,Royal Paladin,Monza,1707,"22,398",Charm Points,0
141,Jan Zlote Serce,Royal Paladin,Refugia,1858,"22,354",Charm Points,0
142,Fael Godlike,Elder Druid,Ourobra,1158,"22,299",Charm Points,0
143,Anti Druid,Elder Druid,Nevia,1129,"22,279",Charm Points,0
144,Modoreczek Waleczny,Elite Knight,Karmeya,1271,"22,274",Charm Points,0
144,Selibess,Elite Knight,Dia,1921,"22,274",Charm Points,0
146,Alex Froggy,Royal Paladin,Vunira,1481,"22,239",Charm Points,0
146,Craig the knight,Elite Knight,Lobera,931,"22,239",Charm Points,0
148,Distiano Roonaldo,Royal Paladin,Vitera,1292,"22,209",Charm Points,0
149,Zafis Cain,Elite Knight,Celesta,1654,"22,203",Charm Points,0
150,Cavaleiro Zyn,Royal Paladin,Gentebra,1199,"22,189",Charm Points,0
150,Olavoltz,Royal Paladin,Yonabra,1372,"22,189",Charm Points,0
152,Lord Valeta,Master Sorcerer,Celebra,2128,"22,185",Charm Points,0
153,Mazter Chiief,Elder Druid,Astera,1145,"22,169",Charm Points,0
154,Drops Pall,Royal Paladin,Peloria,1210,"22,139",Charm Points,0
155,Trimid,Elite Knight,Vunira,1284,"22,089",Charm Points,0
156,Kairuz,Elite Knight,Lutabra,1618,"22,079",Charm Points,0
157,Meatbow,Royal Paladin,Epoca,1738,"22,074",Charm Points,0
158,Celsiin,Elite Knight,Kalibra,1341,"22,064",Charm Points,0
158,Darkside the ghost,Elite Knight,Bona,1516,"22,064",Charm Points,0
158,Watroba sorcerer,Master Sorcerer,Refugia,1097,"22,064",Charm Points,0
161,Garrionz,Elder Druid,Refugia,1208,"22,059",Charm Points,0
162,Terra Pitbulldo Manguin,Royal Paladin,Ombra,1575,"22,029",Charm Points,0
163,Guizz Nettdown,Elder Druid,Collabra,1129,"22,010",Charm Points,0
164,Bloodrunk Leech,Exalted Monk,Lobera,897,"21,989",Charm Points,0
165,Figolo,Elite Knight,Monza,2052,"21,964",Charm Points,0
166,Puffic,Royal Paladin,Secura,1056,"21,925",Charm Points,0
167,Zyviik,Elder Druid,Thyria,1563,"21,908",Charm Points,0
168,Valakok Laz,Master Sorcerer,Wintera,1189,"21,889",Charm Points,0
169,Chronus Legacy,Elite Knight,Celebra,1618,"21,864",Charm Points,0
170,Palaz,Royal Paladin,Ourobra,1359,"21,804",Charm Points,0
171,Giant the Ripper,Elder Druid,Secura,1296,"21,789",Charm Points,0
171,Vinigod Prox,Master Sorcerer,Ferobra,1362,"21,789",Charm Points,0
173,Yunski,Royal Paladin,Secura,2142,"21,773",Charm Points,0
174,Senior Amera,Elder Druid,Quidera,931,"21,764",Charm Points,0
175,Bigg Melon,Elite Knight,Bona,1325,"21,759",Charm Points,0
176,Chylek the Demonhunter,Elite Knight,Secura,1172,"21,754",Charm Points,0
177,Elrikto,Elite Knight,Premia,1481,"21,746",Charm Points,0
178,Vannak Wrath,Elder Druid,Gentebra,1291,"21,705",Charm Points,0
179,Szymonicx,Elite Knight,Refugia,1395,"21,674",Charm Points,0
180,Bapster,Master Sorcerer,Premia,1177,"21,664",Charm Points,0
181,Kamastinx,Elite Knight,Antica,938,"21,614",Charm Points,0
182,Kharsek,Elite Knight,Gladera,1985,"21,589",Charm Points,0
182,Machinbear,Elite Knight,Celebra,1118,"21,589",Charm Points,0
184,Rayo,Royal Paladin,Gentebra,2372,"21,558",Charm Points,0
185,Sioy,Master Sorcerer,Ustebra,1070,"21,539",Charm Points,0
186,Clownfiesta Primetime,Elite Knight,Zuna,1417,"21,515",Charm Points,0
187,Warglaiven,Royal Paladin,Kalibra,1828,"21,465",Charm Points,0
188,Sujazip,Elder Druid,Rasteibra,1170,"21,464",Charm Points,0
189,Siness,Elite Knight,Secura,1133,"21,389",Charm Points,0
190,Jon Ragnarson,Elite Knight,Secura,1264,"21,364",Charm Points,0
191,Nimchy,Royal Paladin,Jaguna,1111,"21,359",Charm Points,0
191,Simchy,Elder Druid,Jaguna,1111,"21,359",Charm Points,0
193,Arphaxad,Elder Druid,Wintera,1021,"21,339",Charm Points,0
193,Juankz,Elite Knight,Lobera,1270,"21,339",Charm Points,0
195,Endo Sid,Royal Paladin,Xyla,1155,"21,309",Charm Points,0
196,Elite Ktengo,Elite Knight,Ferobra,1079,"21,289",Charm Points,0
197,Zaku Palladyn,Royal Paladin,Monza,1182,"21,283",Charm Points,0
198,Thee Hugod,Elite Knight,Honbra,1168,"21,264",Charm Points,0
198,Xmake,Master Sorcerer,Peloria,1003,"21,264",Charm Points,0
200,Annaa Bella,Elder Druid,Premia,1187,"21,239",Charm Points,0
200,Khamir,Elder Druid,Harmonia,1028,"21,239",Charm Points,0
202,Adamsz,Elite Knight,Yara,1404,"21,218",Charm Points,0
203,Diego Royal,Royal Paladin,Celebra,1194,"21,214",Charm Points,0
204,Thara Dore,Elite Knight,Refugia,1089,"21,199",Charm Points,0
205,Dellani,Elder Druid,Celebra,1783,"21,190",Charm Points,0
206,Ruthless Mateo,Elite Knight,Karmeya,1650,"21,132",Charm Points,0
207,Boba Addon,Elite Knight,Harmonia,1153,"21,119",Charm Points,0
208,Nasty Kasper,Royal Paladin,Antica,1257,"21,114",Charm Points,0
209,Berfor,Elder Druid,Celesta,1379,"21,113",Charm Points,0
210,Big Time,Elite Knight,Quidera,1046,"21,109",Charm Points,0
210,Pan Wujek Dziadek,Elder Druid,Karmeya,1135,"21,109",Charm Points,0
212,Rogal Waleczny,Elder Druid,Karmeya,1308,"21,099",Charm Points,0
213,Khilleron,Elite Knight,Refugia,1193,"21,089",Charm Points,0
213,Popolos Paladino,Royal Paladin,Secura,899,"21,089",Charm Points,0
213,Smaczniakus,Elder Druid,Secura,895,"21,089",Charm Points,0
213,Zdenerwowana Lokomotywa,Royal Paladin,Dia,1030,"21,089",Charm Points,0
217,Matt Paladiin,Royal Paladin,Gentebra,1369,"21,070",Charm Points,0
218,Just Lucifer,Master Sorcerer,Bona,1742,"21,060",Charm Points,0
219,Grisam,Elite Knight,Gravitera,1374,"21,049",Charm Points,0
220,Zipper Soul Shade,Master Sorcerer,Karmeya,730,"21,039",Charm Points,0
221,Olooz Rhaio,Elite Knight,Collabra,1379,"21,014",Charm Points,0
222,Nyraz,Elite Knight,Collabra,1361,"21,009",Charm Points,0
223,Cavots,Elite Knight,Ustebra,1017,"20,989",Charm Points,0
223,Dera Drevonus,Elder Druid,Calmera,973,"20,989",Charm Points,0
225,Zarakson,Royal Paladin,Secura,1308,"20,964",Charm Points,0
226,Bogus Apocalypse,Elder Druid,Refugia,830,"20,959",Charm Points,0
226,Ilutin Shar,Master Sorcerer,Yonabra,1015,"20,959",Charm Points,0
226,Marcus Eon,Elite Knight,Thyria,907,"20,959",Charm Points,0
229,Letter Black,Royal Paladin,Descubra,1223,"20,944",Charm Points,0
230,Champion Souls,Royal Paladin,Refugia,1066,"20,924",Charm Points,0
230,Smartguy,Royal Paladin,Secura,1183,"20,924",Charm Points,0
232,Johny Olympia,Elite Knight,Nevia,1121,"20,889",Charm Points,0
233,Rubenos,Elite Knight,Nevia,992,"20,884",Charm Points,0
234,Markelito,Elite Knight,Celesta,1634,"20,874",Charm Points,0
235,Leonel Royalheart,Royal Paladin,Yonabra,956,"20,830",Charm Points,0
236,Miss Petetoo,Elite Knight,Nevia,1156,"20,819",Charm Points,0
237,Uriel Simacek,Elite Knight,Kalibra,904,"20,809",Charm Points,0
238,Nimue Lanuin,Elite Knight,Gentebra,1827,"20,795",Charm Points,0
239,Serby,Royal Paladin,Nevia,1165,"20,789",Charm Points,0
240,Dolaa,Elite Knight,Bona,828,"20,784",Charm Points,0
240,Magier kalinowa,Elder Druid,Bona,831,"20,784",Charm Points,0
242,Shiddenzinho,Royal Paladin,Gladibra,1220,"20,779",Charm Points,0
243,Laylina,Master Sorcerer,Xyla,1019,"20,759",Charm Points,0
244,Ki Naitao Olim,Elite Knight,Belobra,2459,"20,754",Charm Points,0
245,Seymour Blood,Master Sorcerer,Nevia,1375,"20,748",Charm Points,0
246,Silent Kishi,Elite Knight,Yovera,1264,"20,739",Charm Points,0
247,Strong Dimox,Elder Druid,Secura,853,"20,723",Charm Points,0
248,Inappropriate Soul,Master Sorcerer,Secura,1279,"20,714",Charm Points,0
248,Krysson,Royal Paladin,Vunira,1001,"20,714",Charm Points,0
248,Sir Iguela,Elite Knight,Bona,1103,"20,714",Charm Points,0
251,Guii,Elite Knight,Celebra,2403,"20,709",Charm Points,0
252,Garfield Cat,Elite Knight,Dia,1220,"20,704",Charm Points,0
253,Maxigashi,Elite Knight,Secura,1114,"20,689",Charm Points,0
254,Hersior,Elite Knight,Gladera,1106,"20,685",Charm Points,0
255,Emaneq,Elder Druid,Bona,1065,"20,684",Charm Points,0
256,Vilela Vilao,Royal Paladin,Serdebra,1532,"20,655",Charm Points,0
257,Halmier,Elder Druid,Ombra,1079,"20,639",Charm Points,0
257,Sweaty Kamish,Elite Knight,Secura,932,"20,639",Charm Points,0
257,Thraphik,Elder Druid,Kalibra,1016,"20,639",Charm Points,0
260,Tio Cidinho,Royal Paladin,Venebra,875,"20,614",Charm Points,0
261,Fury Mauzier,Royal Paladin,Descubra,1708,"20,604",Charm Points,0
262,Brawox,Exalted Monk,Serdebra,666,"20,589",Charm Points,0
263,Ghost of Chimera,Royal Paladin,Solidera,1705,"20,584",Charm Points,0
264,Paul of Refugia,Master Sorcerer,Refugia,1164,"20,569",Charm Points,0
265,Igor,Elite Knight,Venebra,1170,"20,564",Charm Points,0
265,Sassa de Belobra,Elite Knight,Belobra,756,"20,564",Charm Points,0
265,Setkia,Elite Knight,Premia,872,"20,564",Charm Points,0
268,Ori Xer,Royal Paladin,Secura,732,"20,559",Charm Points,0
269,Sihid Drakell,Elite Knight,Kalibra,1654,"20,557",Charm Points,0
270,Ki Yo,Elite Knight,Quelibra,1094,"20,539",Charm Points,0
270,Kubul,Royal Paladin,Peloria,772,"20,539",Charm Points,0
272,Viny Xintrex,Royal Paladin,Havera,1280,"20,505",Charm Points,0
273,Skum Rayon,Royal Paladin,Luminera,1550,"20,504",Charm Points,0
274,Arqueira Bronzeada,Royal Paladin,Kalibra,1489,"20,489",Charm Points,0
274,Kisiel Grillowany,Elite Knight,Premia,1268,"20,489",Charm Points,0
276,Theresa Fisher,Elder Druid,Kalibra,1417,"20,483",Charm Points,0
277,Nozferato,Master Sorcerer,Quelibra,1536,"20,477",Charm Points,0
278,Gudii,Elite Knight,Esmera,1321,"20,440",Charm Points,0
278,Triiui Da Legend,Royal Paladin,Thyria,1497,"20,440",Charm Points,0
280,Enduroman,Elite Knight,Harmonia,1233,"20,439",Charm Points,0
281,Theron Darax,Elite Knight,Yonabra,1487,"20,389",Charm Points,0
282,Gohanoski,Royal Paladin,Pacera,1975,"20,374",Charm Points,0
283,Judge,Royal Paladin,Celebra,1875,"20,349",Charm Points,0
284,Demon Joselita,Royal Paladin,Quelibra,1150,"20,339",Charm Points,0
284,Konii Tuptii,Elder Druid,Monza,877,"20,339",Charm Points,0
284,The Sauron,Elite Knight,Serdebra,1235,"20,339",Charm Points,0
287,Kilogramik Elite,Elite Knight,Nevia,1452,"20,338",Charm Points,0
288,Pomocnik Oxera,Royal Paladin,Celesta,1012,"20,334",Charm Points,0
289,Zdzi Siek,Master Sorcerer,Peloria,1643,"20,325",Charm Points,0
290,Tophigh Charmpoints,Master Sorcerer,Jadebra,1206,"20,314",Charm Points,0
291,Neo Padrasto,Royal Paladin,Collabra,1809,"20,290",Charm Points,0
292,Arysa Amiz,Elder Druid,Harmonia,1089,"20,289",Charm Points,0
293,Felipe Montez,Royal Paladin,Secura,1147,"20,284",Charm Points,0
294,Brobanana,Elite Knight,Peloria,791,"20,264",Charm Points,0
294,Lord Marshals,Royal Paladin,Peloria,1612,"20,264",Charm Points,0
294,Naom,Elder Druid,Secura,848,"20,264",Charm Points,0
297,Divine Hallux,Elite Knight,Oceanis,1226,"20,239",Charm Points,0
297,Ek leo,Elite Knight,Serdebra,1147,"20,239",Charm Points,0
297,Knajt Alfa,Elite Knight,Karmeya,801,"20,239",Charm Points,0
297,Zaran,Royal Paladin,Bona,1567,"20,239",Charm Points,0
301,Fire Draggon,Elite Knight,Quintera,1313,"20,238",Charm Points,0
302,Olecraww,Elite Knight,Jadebra,1026,"20,214",Charm Points,0
302,Otti Ek,Elite Knight,Vandera,1371,"20,214",Charm Points,0
304,Wladek Slawek,Druid,Celesta,839,"20,205",Charm Points,0
305,Xavier Eon,Elder Druid,Thyria,727,"20,199",Charm Points,0
306,Crixus Fearless,Royal Paladin,Gentebra,1557,"20,194",Charm Points,0
307,Sklejkovvy,Master Sorcerer,Peloria,1030,"20,185",Charm Points,0
308,Siwy Brokul,Elder Druid,Secura,1463,"20,178",Charm Points,0
309,Kokiris,Elder Druid,Kalibra,1357,"20,169",Charm Points,0
310,Nawtscout,Royal Paladin,Lobera,1647,"20,167",Charm Points,0
311,Legenden Kurre,Master Sorcerer,Monza,1426,"20,166",Charm Points,0
312,Kronek,Royal Paladin,Firmera,1774,"20,164",Charm Points,0
313,Jackson Knight,Elite Knight,Kalibra,1897,"20,152",Charm Points,0
314,Amiatha,Master Sorcerer,Peloria,971,"20,149",Charm Points,0
315,Neziar,Royal Paladin,Nefera,1172,"20,148",Charm Points,0
316,Parih,Elite Knight,Lobera,1255,"20,134",Charm Points,0
317,Topg Goldenboy,Royal Paladin,Firmera,1609,"20,130",Charm Points,0
318,Dcko,Master Sorcerer,Secura,941,"20,114",Charm Points,0
319,Krek Phin,Master Sorcerer,Secura,1096,"20,099",Charm Points,0
320,Guirpe,Royal Paladin,Issobra,1169,"20,089",Charm Points,0
320,Itz Teuz,Royal Paladin,Issobra,827,"20,089",Charm Points,0
320,Sedukor,Elite Knight,Thyria,1006,"20,089",Charm Points,0
323,Bentrox,Elite Knight,Astera,814,"20,064",Charm Points,0
323,Druid Kamyk,Elder Druid,Secura,914,"20,064",Charm Points,0
323,Primo Levi,Royal Paladin,Refugia,1392,"20,064",Charm Points,0
326,True Sio Man,Elder Druid,Yara,1266,"20,035",Charm Points,0
327,Grzes Zabujca Smokuw,Royal Paladin,Xyla,1301,"20,003",Charm Points,0
328,Szujin,Master Sorcerer,Pacera,1339,"19,995",Charm Points,0
329,Vicyous,Elite Knight,Calmera,1603,"19,993",Charm Points,0
330,Holy Jack,Royal Paladin,Belobra,1247,"19,989",Charm Points,0
331,Don Bobo,Royal Paladin,Nevia,1040,"19,964",Charm Points,0
332,Exterminador,Sorcerer,Inabra,1124,"19,963",Charm Points,0
333,Strikiz,Elite Knight,Yonabra,1352,"19,949",Charm Points,0
334,Afryt,Elder Druid,Nevia,1019,"19,939",Charm Points,0
334,Magic Charllie,Master Sorcerer,Luminera,854,"19,939",Charm Points,0
334,Mix Validomil'fire,Elite Knight,Secura,875,"19,939",Charm Points,0
334,Phait,Royal Paladin,Secura,985,"19,939",Charm Points,0
338,Bruxa Acris,Elite Knight,Celebra,1126,"19,934",Charm Points,0
339,Errahnte,Elite Knight,Jadebra,1202,"19,929",Charm Points,0
340,Popicii,Elder Druid,Bona,1144,"19,910",Charm Points,0
341,Slodka Ulcia,Royal Paladin,Secura,782,"19,909",Charm Points,0
342,Ruge,Elite Knight,Thyria,1405,"19,898",Charm Points,0
343,Brown Wood,Elite Knight,Nefera,1370,"19,894",Charm Points,0
344,Badwollfs,Elite Knight,Gentebra,1027,"19,889",Charm Points,0
345,Voolgam,Elite Knight,Serdebra,1069,"19,869",Charm Points,0
346,Dani van Kessel,Royal Paladin,Antica,679,"19,864",Charm Points,0
346,Skunerx,Elite Knight,Belobra,1933,"19,864",Charm Points,0
346,Tigrokey,Elite Knight,Calmera,793,"19,864",Charm Points,0
349,Devzin,Royal Paladin,Celesta,2072,"19,852",Charm Points,0
350,Svperstar,Master Sorcerer,Dia,1157,"19,849",Charm Points,0
351,Hardcor,Master Sorcerer,Vunira,1193,"19,839",Charm Points,0
351,Nisom,Royal Paladin,Premia,920,"19,839",Charm Points,0
353,Anndo,Royal Paladin,Harmonia,1066,"19,823",Charm Points,0
353,Revealed,Royal Paladin,Epoca,2101,"19,823",Charm Points,0
355,Dark Acelon,Master Sorcerer,Astera,1154,"19,815",Charm Points,0
356,Capetinha Veiu,Elite Knight,Serdebra,910,"19,809",Charm Points,0
357,Zaporkovsky,Elite Knight,Karmeya,965,"19,794",Charm Points,0
358,Orphen,Royal Paladin,Secura,1035,"19,784",Charm Points,0
359,Korn,Royal Paladin,Antica,660,"19,774",Charm Points,0
360,Fah Oli,Elder Druid,Gladera,1021,"19,764",Charm Points,0
360,Pro Feta,Master Sorcerer,Luminera,1297,"19,764",Charm Points,0
362,Mirunga,Elder Druid,Antica,1704,"19,755",Charm Points,0
363,Dffoz,Elite Knight,Esmera,1372,"19,719",Charm Points,0
364,Kareka on quelibra,Royal Paladin,Quelibra,858,"19,714",Charm Points,0
365,Popular Lukinha,Elite Knight,Ustebra,781,"19,709",Charm Points,0
366,Ddtannk,Elite Knight,Yonabra,1565,"19,696",Charm Points,0
367,Durnita,Elder Druid,Secura,793,"19,689",Charm Points,0
367,Ezudux,Royal Paladin,Gentebra,2019,"19,689",Charm Points,0
367,Robaz,Elder Druid,Secura,1372,"19,689",Charm Points,0
