,name,vocation,level,world,experience,world_type,ingestion_time,ingestion_date,source_system,batch_id
11,Another Other,elite knight,1360,thyria,41806290588,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
12,Anti Social,elder druid,1201,thyria,28779702982,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
13,Ares Royale,royal paladin,1223,thyria,30343959175,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
14,Arkius,none,62,thyria,3668980,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
15,Arterossy,royal paladin,1537,thyria,60344469265,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
16,Arthn Aklin,elder druid,1020,thyria,17633635366,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
17,Avexor,elite knight,1087,thyria,21331297695,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
18,Bambaryla Witek,elder druid,1997,thyria,132460574174,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
19,Bambo Bambo,elder druid,1897,thyria,113539081555,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
20,Bartoszki,elder druid,1389,thyria,44472216652,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
21,Big Bambik,none,134,thyria,38874472,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
22,Big Hussein,elite knight,1283,thyria,35100584523,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
23,Bigboy Damage,master sorcerer,1638,thyria,73091559897,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
24,Bit of Humility,exalted monk,487,thyria,1904652310,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
25,Blondynka,elder druid,1206,thyria,29142332537,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
26,Bobszim Makozerah,royal paladin,1110,thyria,22686570688,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
27,Bonok,none,77,thyria,7040842,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
28,Burchest,elder druid,1454,thyria,51032535336,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
29,Camico,royal paladin,1370,thyria,42711461124,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
30,Car Mastema,none,78,thyria,7323710,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
31,Caratel,master sorcerer,1122,thyria,23472721100,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
32,Chicaa Boom,master sorcerer,1030,thyria,18132375000,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
33,Chino Exorcista,royal paladin,1072,thyria,20465810350,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
34,Colin Fletcher,none,225,thyria,184845375,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
35,Coronel Snajper,royal paladin,1114,thyria,22932861915,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
36,Corrro,royal paladin,1136,thyria,24330339248,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
37,Cutie Mulan,master sorcerer,924,thyria,13090187084,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
38,Daddie Octuous,master sorcerer,958,thyria,14597857770,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
39,Dalcrus,none,75,thyria,6489822,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
40,Danimaxz,master sorcerer,1000,thyria,16591842162,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
41,Darq de Rook,none,91,thyria,11854529,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
42,Darth Sebax,royal paladin,1052,thyria,19315396360,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
43,Datchimonk,exalted monk,486,thyria,1891466468,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
44,David Monster,royal paladin,1177,thyria,27078464035,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
45,Days Gone,master sorcerer,1083,thyria,21085142583,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
46,De Fibrylator,elder druid,1159,thyria,25826267450,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
47,Deadmani,elite knight,2031,thyria,139338318895,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
48,Deenis Jogador Caro,elder druid,1004,thyria,16786563616,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
49,Demojin,master sorcerer,1187,thyria,27795118881,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
50,Derchis Rooker,none,136,thyria,40391052,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
51,Detektyw Ejdrian Monk,exalted monk,524,thyria,2371600268,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
52,Devil'Rose,royal paladin,1297,thyria,36204165772,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
53,Dias Ignorante,royal paladin,1376,thyria,43297875524,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
54,Dominic of Kyra,none,85,thyria,9751308,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
55,Don Goilnos,none,62,thyria,3666643,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
56,Don Mastema,none,210,thyria,150817804,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
57,Don Precylo,none,63,thyria,3825118,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
58,Drapiezny,elder druid,1228,thyria,30757304489,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
59,Dulce Artel,royal paladin,1098,thyria,21959281618,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
60,Dziki Mag Pizmak,master sorcerer,1219,thyria,30045522275,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
61,Dzosef,none,87,thyria,10242848,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
62,Echo of Voxarr,royal paladin,1400,thyria,45631659510,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
63,Edhu,royal paladin,1147,thyria,25028328198,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
64,Elder Pajji,elder druid,1784,thyria,94318467326,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
65,Elite for Salee,elite knight,1071,thyria,20411769929,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
66,Em En,none,95,thyria,13768217,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
67,Endirs,royal paladin,1065,thyria,20065622946,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
68,Er Fisto,exalted monk,396,thyria,1023724709,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
69,Erosennin Kami,royal paladin,1103,thyria,22276514932,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
70,Fall Ordeourion,none,67,thyria,4673521,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
71,Ferrook,none,61,thyria,3539201,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
72,Fistuje,exalted monk,576,thyria,3157485467,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
73,Floky Monkey,master sorcerer,1623,thyria,71028344406,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
74,Garncuch Kapi,master sorcerer,1419,thyria,47421894042,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
75,Garncuch Tadzik,royal paladin,1185,thyria,27621619732,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
76,Go Pedro,elder druid,1113,thyria,22876691034,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
77,Goith Monk,exalted monk,444,thyria,1447838166,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
78,Gozarimasuru,exalted monk,527,thyria,2422875299,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
79,Grabsonso,elite knight,1221,thyria,30238103097,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
80,Happy Kamisek,elder druid,1373,thyria,43001045661,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
81,Herox,royal paladin,1533,thyria,59881405065,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
82,Hobbysta Pakus,master sorcerer,1074,thyria,20570022050,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
83,Hulk Jackson,elite knight,1373,thyria,42957541601,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
84,Humble Bits,none,86,thyria,10020613,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
85,Idefisk,elder druid,1608,thyria,69102702313,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
86,Illidarix,exalted monk,426,thyria,1278098713,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
87,Imefiu,master sorcerer,1042,thyria,18758840578,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
88,Imir,none,66,thyria,4500706,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
89,Inferno koox,master sorcerer,1624,thyria,71239168884,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
90,Itsbad,elder druid,1099,thyria,22022034808,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
91,Itz Daniel,master sorcerer,929,thyria,13293638336,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
92,Jancio,none,116,thyria,25122598,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
93,Japet,none,66,thyria,4522495,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
94,Jee Bunny Shop,royal paladin,1617,thyria,70290678114,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
95,Joems,master sorcerer,1524,thyria,58778645460,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
96,Kamyon,royal paladin,1465,thyria,52230589347,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
97,Kano Nako,none,110,thyria,21528655,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
98,Kasoyy,elite knight,1098,thyria,21953172887,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
99,Keveed,elder druid,996,thyria,16388695645,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
100,Killer Blade,elite knight,1090,thyria,21517303989,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
101,King Kota,elder druid,1304,thyria,36828895954,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
102,King Mefi,master sorcerer,946,thyria,14031485683,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
103,Kitty Morgana,elite knight,1142,thyria,24717000778,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
104,Klepacz Biedy,exalted monk,363,thyria,788237223,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
105,Kogaveg,master sorcerer,932,thyria,13406037868,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
106,Kon Mazur,elder druid,1380,thyria,43652070354,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
107,Kpop Kouth,elder druid,1709,thyria,83035297458,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
108,Krasnoludek Bartek,exalted monk,378,thyria,891290403,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
109,Kredyt Na Chara,elite knight,1255,thyria,32794026415,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
110,Krilleh Bror,royal paladin,1325,thyria,38632694326,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
111,Kubica von Kyra,none,61,thyria,3510731,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
112,Kurt Wilven Davut,none,76,thyria,6900926,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
113,Kuubiq,royal paladin,2042,thyria,141601351165,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
114,Kysameeh,royal paladin,1451,thyria,50780324864,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
115,Lee Mastema,none,110,thyria,21005000,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
116,Leriisa,exalted monk,1031,thyria,18183811248,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
117,Liluamka,exalted monk,411,thyria,1141301288,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
118,Loto Powerfull,royal paladin,1236,thyria,31376342707,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
119,Lucarz,elder druid,983,thyria,15741047931,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
120,Lucia Nidderiea,elder druid,1189,thyria,27923594702,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
121,Lucky Rookstayer,none,80,thyria,8051846,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
122,Ludi Ambulancia,elder druid,1017,thyria,17430773254,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
123,Lukouso,royal paladin,1264,thyria,33505727380,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
124,Macieyo,elder druid,1155,thyria,25557370402,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
125,Mackyz,druid,1051,thyria,19289675149,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
126,Magnaat,master sorcerer,1015,thyria,17371805024,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
127,Maleszki,exalted monk,540,thyria,2609389630,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
128,Mancik,royal paladin,1137,thyria,24388836260,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
129,Marain Rookmaster,none,63,thyria,3804205,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
130,Marek Luftwaffel,elder druid,1044,thyria,18904137716,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
131,Marek Zmija Jadowita,elder druid,1088,thyria,21350703708,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
132,Mazza Nohands,royal paladin,1705,thyria,82342402698,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
133,Mefe Monk,exalted monk,414,thyria,1166707662,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
134,Mejo Vikee,master sorcerer,1648,thyria,74431239681,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
135,Merroo,royal paladin,1167,thyria,26413615597,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
136,Michal of Rook,none,84,thyria,9205847,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
137,Minirka,royal paladin,1275,thyria,34383003644,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
138,Mirgood,elder druid,1301,thyria,36598606316,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
139,Mis Quala,none,101,thyria,16223039,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
140,Misiekxd,royal paladin,1087,thyria,21317878849,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
141,Moiif Rookstayer,none,72,thyria,5848008,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
142,Momo Matcha,exalted monk,380,thyria,906981382,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
143,Monk de Ataque,exalted monk,716,thyria,6081331417,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
144,Monkacwl,exalted monk,449,thyria,1490460040,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
145,Monkisano,exalted monk,377,thyria,883756546,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
146,Monkjita,exalted monk,444,thyria,1441003059,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
147,Monkstyle,exalted monk,526,thyria,2411547296,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
148,Moralla Alin,elite knight,1076,thyria,20694048014,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
149,Nabarvanem Sheraveam,royal paladin,1082,thyria,20997399701,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
150,Najlepszy Monk Wszechswiata,exalted monk,426,thyria,1274144561,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
151,Nakhi,knight,1254,thyria,32713181466,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
152,Nano Grzandi,elite knight,1080,thyria,20930495576,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
153,Neira'Chany,none,70,thyria,5414000,Open PvP,2026-01-26 18:51:49.198787,2026-01-26,highscore_tibia_page,600b0d28-8f88-40da-961f-fbbaee373da3
