,name,vocation,world,skill_level,category,ingestion_time,ingestion_date,source_system,batch_id
23,Carbon Monk,exalted monk,oceanis,117,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
24,Crash Test Monk,exalted monk,oceanis,109,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
25,Divine Hallux,elite knight,oceanis,139,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
26,Dyesebel,royal paladin,oceanis,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
27,Furious Pobre,elite knight,oceanis,132,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
28,Griffindor Knight,elite knight,oceanis,126,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
29,Kinobal,elite knight,oceanis,135,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
30,Kssim Toxico,master sorcerer,oceanis,131,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
31,Lord Argoustan,elite knight,oceanis,131,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
32,Manonfire,master sorcerer,oceanis,128,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
33,Minero Monge,exalted monk,oceanis,123,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
34,Naveen Ryu,royal paladin,oceanis,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
35,Perez Serfer,royal paladin,oceanis,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
36,Rinnyan,royal paladin,oceanis,143,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
37,Royal Chromos,royal paladin,oceanis,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
38,Salsa Agridoce,royal paladin,oceanis,139,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
39,Savaged,elite knight,oceanis,134,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
40,Sedrahil,royal paladin,oceanis,137,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
41,Shedo,elite knight,oceanis,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
42,Tobis,elite knight,oceanis,133,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
43,Will Fistya,exalted monk,oceanis,122,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
44,Wingtoto,knight,oceanis,135,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
45,Actually,elite knight,astera,133,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
46,Agusti Dosreis,elite knight,astera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
47,Alkazator,royal paladin,astera,137,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
48,Almighty Papucho,elite knight,astera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
49,Altron Lijawyn,elite knight,astera,138,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
50,Amithabaa,exalted monk,astera,116,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
51,An der Belmontt,royal paladin,astera,136,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
52,Anne Lena,royal paladin,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
53,Aphrodithe,elite knight,astera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
54,Arkenagth,elite knight,astera,128,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
55,Arqueiro Lock,royal paladin,astera,138,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
56,Assassin of Silence,elite knight,astera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
57,Asteras Dark Knight,elite knight,astera,132,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
58,Asterorion,elite knight,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
59,Astro Punch,exalted monk,astera,109,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
60,Astronis,elite knight,astera,144,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
61,Aureann,knight,astera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
62,Axbin,master sorcerer,astera,134,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
63,Ayanokouji Skaywalker,royal paladin,astera,143,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
64,Ayy Eff Kayy,master sorcerer,astera,133,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
65,Baasinova,elite knight,astera,136,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
66,Belerin,royal paladin,astera,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
67,Besto Prota,royal paladin,astera,135,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
68,Billie Goat,royal paladin,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
69,Bituka,elite knight,astera,131,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
70,Bleykan,elite knight,astera,127,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
71,Bob anderstrinkers,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
72,Brekaute,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
73,Caballero de Andromeda,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
74,Calvin Bugs,elite knight,astera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
75,Carlinnnn,master sorcerer,astera,134,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
76,Casey Drax,elite knight,astera,130,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
77,Caxique albo,knight,astera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
78,Cicronela,master sorcerer,astera,144,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
79,Clay Bloodsoul,elite knight,astera,128,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
80,Columbina Hyposelenia,elite knight,astera,127,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
81,Corztten,master sorcerer,astera,133,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
82,Covita,elite knight,astera,133,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
83,Dark Acelon,master sorcerer,astera,127,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
84,Dekraken durinars,elite knight,astera,129,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
85,Delyriaz,elite knight,astera,125,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
86,Derral,master sorcerer,astera,132,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
87,Deviankz,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
88,Dizazterpiece,elite knight,astera,128,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
89,Djevel,elite knight,astera,128,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
90,Do Hats,elite knight,astera,126,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
91,Dranongar,elite knight,astera,137,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
92,Drax Exus,elite knight,astera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
93,Drax Paladinpope,royal paladin,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
94,Drax of Astera,royal paladin,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
95,Drunken Ace,exalted monk,astera,116,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
96,Dukz Paladin,royal paladin,astera,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
97,Dunus Wicas,royal paladin,astera,124,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
98,Eif,elite knight,astera,130,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
99,El Bucho,royal paladin,astera,138,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
100,El vi cho,exalted monk,astera,111,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
101,Elduvari,elite knight,astera,132,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
102,Enzev,knight,astera,127,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
103,Eraqus,elite knight,astera,133,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
104,Eternal Ichigo Kurosaki,elite knight,astera,141,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
105,Evar Blon,exalted monk,astera,111,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
106,Evol Geniuz,master sorcerer,astera,129,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
107,Exist Blister,master sorcerer,astera,133,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
108,Exuser,royal paladin,astera,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
109,Ezeptiko,elite knight,astera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
110,Femuz Darksoul,elite knight,astera,132,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
111,Fiierce,elite knight,astera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
112,Fikytus Pikytus,master sorcerer,astera,129,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
113,Fila Luka,elite knight,astera,130,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
114,Freezing Hammer,elite knight,astera,126,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
115,Gaaeel,master sorcerer,astera,130,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
116,Gantond,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
117,Ghinok,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
118,Gorath Stone,elite knight,astera,131,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
119,Grandpa Elliot,royal paladin,astera,124,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
120,Gruff Goat,elite knight,astera,130,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
121,Gugo Of Bolt,royal paladin,astera,136,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
122,Ha vok,royal paladin,astera,138,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
123,Halpine,royal paladin,astera,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
124,Heavygod,elite knight,astera,132,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
125,Hero Reis,royal paladin,astera,155,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
126,Hifey Racer,elite knight,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
127,Hiro Kai,exalted monk,astera,119,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
128,Iberie on Astera,exalted monk,astera,112,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
129,Ignis Mortiferums,master sorcerer,astera,127,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
130,Ikevo,elite knight,astera,129,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
131,Iqy,elite knight,astera,133,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
132,Isethor,exalted monk,astera,109,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
133,Itzin,exalted monk,astera,116,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
134,Izzy Adesanya,exalted monk,astera,117,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
135,Jaicir,royal paladin,astera,134,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
136,Jak Glorion,elite knight,astera,136,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
137,Jedix Fist,exalted monk,astera,113,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
138,Jhoan Livre,elite knight,astera,131,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
139,Jounetsu,royal paladin,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
140,Kaffoy,elite knight,astera,129,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
141,Kate Juju,elite knight,astera,128,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
142,Killer Baby,elite knight,astera,131,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
143,Knighttripper,elite knight,astera,126,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
144,Kozi Dreadful,elite knight,astera,126,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
145,Kungfu Jedi,exalted monk,astera,112,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
146,Lagertha Thorgard,elite knight,astera,125,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
147,Lakarencita,master sorcerer,astera,129,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
148,Legolas Archer,royal paladin,astera,135,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
149,Link The Legend,master sorcerer,astera,131,Magic Level,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
150,Little Albatraoz,elite knight,astera,132,Club Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
151,Lord Shadowhand,elite knight,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
152,Macky boomer,royal paladin,astera,123,Shielding,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
153,Maestro Rooshi,elite knight,astera,132,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
154,Malilla Norton,royal paladin,astera,135,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
155,Maximus Punch,exalted monk,astera,131,Fist Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
156,Mell,elite knight,astera,134,Axe Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
157,Menfis Tempestira,royal paladin,astera,138,Distance Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
158,Metal Olokun,elite knight,astera,133,Sword Fighting,2026-01-18 12:47:53.233983,2026-01-18,highscore_tibia_page,85e64e33-c68b-4170-9c5f-b57f191585d9
