Rank,Name,Title,Vocation,World,Level,Points,Category
73,Platonn,Enlightened of Tibia,Elite Knight,Vunira,157,"7,921",Loyalty Points
74,Tarmon Gai Don,Enlightened of Tibia,Elder Druid,Peloria,1310,"7,920",Loyalty Points
75,Mendanha,Enlightened of Tibia,Master Sorcerer,Belobra,1377,"7,914",Loyalty Points
76,Sun Henceforth,Enlightened of Tibia,Elder Druid,Lobera,124,"7,912",Loyalty Points
77,Cieniaseq,Enlightened of Tibia,Elder Druid,Refugia,931,"7,899",Loyalty Points
78,Bloody Dragon,Enlightened of Tibia,Master Sorcerer,Antica,292,"7,894",Loyalty Points
79,Takkuri,Enlightened of Tibia,Master Sorcerer,Calmera,435,"7,893",Loyalty Points
80,Amijo,Enlightened of Tibia,Elder Druid,Retalia,357,"7,892",Loyalty Points
81,Ritito,Enlightened of Tibia,Elite Knight,Vunira,475,"7,876",Loyalty Points
82,Talisis,Enlightened of Tibia,Royal Paladin,Refugia,826,"7,875",Loyalty Points
83,Inter Rutra,Enlightened of Tibia,Elite Knight,Gentebra,433,"7,874",Loyalty Points
84,Varmendrion,Enlightened of Tibia,Elite Knight,Peloria,473,"7,858",Loyalty Points
85,Rudi the rednoses,Enlightened of Tibia,None,Antica,4,"7,853",Loyalty Points
86,Draken Fang,Enlightened of Tibia,Elite Knight,Antica,261,"7,850",Loyalty Points
87,Mustane,Enlightened of Tibia,Master Sorcerer,Antica,214,"7,843",Loyalty Points
88,Inach,Enlightened of Tibia,Elite Knight,Harmonia,1089,"7,835",Loyalty Points
89,Vozuk,Enlightened of Tibia,Master Sorcerer,Lobera,376,"7,830",Loyalty Points
90,Styxo,Enlightened of Tibia,Elite Knight,Bona,346,"7,822",Loyalty Points
91,Sibon Faur,Enlightened of Tibia,Elite Knight,Vunira,1192,"7,816",Loyalty Points
92,Hugh Black,Enlightened of Tibia,Master Sorcerer,Antica,167,"7,807",Loyalty Points
92,Navi Charola,Enlightened of Tibia,Master Sorcerer,Wintera,1080,"7,807",Loyalty Points
94,Buzz Charlovinho,Enlightened of Tibia,Royal Paladin,Serdebra,1009,"7,801",Loyalty Points
95,Demonica,Enlightened of Tibia,Elite Knight,Refugia,400,"7,794",Loyalty Points
96,Knight Sunblade,Enlightened of Tibia,Elite Knight,Pacera,512,"7,792",Loyalty Points
97,Royal Cyk,Enlightened of Tibia,Royal Paladin,Ourobra,1106,"7,790",Loyalty Points
98,Joao de calmera,Enlightened of Tibia,Royal Paladin,Calmera,518,"7,789",Loyalty Points
99,Abraxorix,Enlightened of Tibia,Royal Paladin,Premia,332,"7,788",Loyalty Points
100,Zydor,Enlightened of Tibia,Elder Druid,Harmonia,151,"7,787",Loyalty Points
101,Dew Boyo,Enlightened of Tibia,Elite Knight,Secura,405,"7,783",Loyalty Points
102,Shinzon,Enlightened of Tibia,Elite Knight,Secura,155,"7,778",Loyalty Points
103,Hunkie,Enlightened of Tibia,Master Sorcerer,Secura,352,"7,777",Loyalty Points
104,Duduzebah,Enlightened of Tibia,Elite Knight,Vunira,124,"7,775",Loyalty Points
105,Kooky,Enlightened of Tibia,Elder Druid,Secura,351,"7,774",Loyalty Points
106,Bah Tutah,Enlightened of Tibia,Royal Paladin,Vunira,130,"7,764",Loyalty Points
107,Lady Saphina,Enlightened of Tibia,Elder Druid,Pacera,926,"7,755",Loyalty Points
108,Wnuk Kenny Laya,Enlightened of Tibia,Royal Paladin,Refugia,222,"7,751",Loyalty Points
109,Werveroy Lybria,Enlightened of Tibia,None,Zuna,0,"7,750",Loyalty Points
110,Kelisy,Enlightened of Tibia,Royal Paladin,Antica,320,"7,748",Loyalty Points
111,Aphrodithe,Enlightened of Tibia,Elite Knight,Astera,875,"7,746",Loyalty Points
112,Poseidon Beoni,Enlightened of Tibia,Elite Knight,Belobra,186,"7,745",Loyalty Points
113,Hawkwax,Enlightened of Tibia,Master Sorcerer,Harmonia,80,"7,742",Loyalty Points
113,Maezona,Enlightened of Tibia,Elite Knight,Calmera,426,"7,742",Loyalty Points
113,Zinina,Enlightened of Tibia,Elder Druid,Harmonia,575,"7,742",Loyalty Points
116,Sorceror King,Enlightened of Tibia,Master Sorcerer,Antica,556,"7,741",Loyalty Points
117,Lord Maseda,Enlightened of Tibia,Elite Knight,Antica,1453,"7,737",Loyalty Points
118,Fulgore Blood,Enlightened of Tibia,Master Sorcerer,Wintera,609,"7,735",Loyalty Points
119,Jercito,Enlightened of Tibia,Elder Druid,Gladera,618,"7,732",Loyalty Points
120,Monhangaruera,Enlightened of Tibia,Knight,Menera,11,"7,726",Loyalty Points
120,Zbyszko Wojownik,Enlightened of Tibia,Elite Knight,Secura,740,"7,726",Loyalty Points
122,Funky Marc,Enlightened of Tibia,Elite Knight,Lobera,1082,"7,722",Loyalty Points
122,Rosa Well Fireangels,Enlightened of Tibia,Elite Knight,Gladera,330,"7,722",Loyalty Points
124,Gontran,Enlightened of Tibia,Elite Knight,Lobera,159,"7,709",Loyalty Points
125,Ingolf Gloria,Enlightened of Tibia,Elite Knight,Secura,556,"7,704",Loyalty Points
126,Bicoir,Enlightened of Tibia,Elder Druid,Pacera,521,"7,699",Loyalty Points
126,Lady Yakassi,Enlightened of Tibia,Elder Druid,Peloria,664,"7,699",Loyalty Points
126,Verseus,Enlightened of Tibia,Elite Knight,Bona,703,"7,699",Loyalty Points
129,Tapherus Leon,Enlightened of Tibia,Royal Paladin,Harmonia,225,"7,696",Loyalty Points
130,Arieru,Enlightened of Tibia,Master Sorcerer,Wintera,1084,"7,684",Loyalty Points
130,Astronis,Enlightened of Tibia,Elite Knight,Astera,762,"7,684",Loyalty Points
132,Bowden,Enlightened of Tibia,Royal Paladin,Secura,234,"7,677",Loyalty Points
133,Pyramus,Enlightened of Tibia,Elite Knight,Secura,172,"7,674",Loyalty Points
134,Knight of the White Wolf,Enlightened of Tibia,Elite Knight,Harmonia,200,"7,670",Loyalty Points
135,Lord Serioth,Enlightened of Tibia,Royal Paladin,Secura,384,"7,663",Loyalty Points
135,Queen,Enlightened of Tibia,Elder Druid,Peloria,898,"7,663",Loyalty Points
137,Moltov,Enlightened of Tibia,Royal Paladin,Premia,258,"7,661",Loyalty Points
138,Alijanan Etalkied,Enlightened of Tibia,Paladin,Gladera,4,"7,659",Loyalty Points
139,Feki ku,Enlightened of Tibia,Elite Knight,Secura,453,"7,653",Loyalty Points
140,Leona Tineb,Enlightened of Tibia,Royal Paladin,Antica,87,"7,649",Loyalty Points
141,Amegry,Enlightened of Tibia,Elder Druid,Secura,541,"7,647",Loyalty Points
142,Malutka Aneczka,Enlightened of Tibia,Elite Knight,Bona,697,"7,640",Loyalty Points
143,Immortal Tiger,Enlightened of Tibia,Elite Knight,Astera,102,"7,637",Loyalty Points
143,Roc Solid,Enlightened of Tibia,Royal Paladin,Pacera,539,"7,637",Loyalty Points
145,Hunter Cent,Enlightened of Tibia,Royal Paladin,Pacera,698,"7,635",Loyalty Points
145,Tazise,Enlightened of Tibia,Royal Paladin,Calmera,136,"7,635",Loyalty Points
147,Zitob,Enlightened of Tibia,Elite Knight,Monza,1157,"7,630",Loyalty Points
148,Zerbras,Enlightened of Tibia,Master Sorcerer,Monza,461,"7,629",Loyalty Points
149,Shadow'Raider,Enlightened of Tibia,Elite Knight,Pacera,361,"7,625",Loyalty Points
150,Kamrawr,Enlightened of Tibia,Elite Knight,Gladera,923,"7,623",Loyalty Points
151,Rangel Lestat,Enlightened of Tibia,Elite Knight,Gentebra,1620,"7,622",Loyalty Points
152,Anardy,Enlightened of Tibia,Knight,Lobera,334,"7,621",Loyalty Points
153,Lord Executer,Enlightened of Tibia,Elite Knight,Premia,1253,"7,618",Loyalty Points
154,Maziajka,Enlightened of Tibia,Royal Paladin,Secura,955,"7,615",Loyalty Points
155,Halconn,Enlightened of Tibia,None,Havera,28,"7,614",Loyalty Points
155,Marfet,Enlightened of Tibia,Elite Knight,Premia,641,"7,614",Loyalty Points
157,Loggins of Dangerzone,Enlightened of Tibia,Elite Knight,Blumera,587,"7,607",Loyalty Points
158,Chumbin lel,Enlightened of Tibia,Elder Druid,Yubra,946,"7,606",Loyalty Points
158,Magical Kitten,Enlightened of Tibia,Elder Druid,Calmera,175,"7,606",Loyalty Points
160,Kerosseno,Enlightened of Tibia,Royal Paladin,Antica,99,"7,604",Loyalty Points
161,Valdenilson The Second,Enlightened of Tibia,Elite Knight,Ferobra,1094,"7,597",Loyalty Points
162,Guttanas,Enlightened of Tibia,Royal Paladin,Quidera,1429,"7,591",Loyalty Points
163,Yuriih,Enlightened of Tibia,Royal Paladin,Terribra,1899,"7,589",Loyalty Points
164,Tandron,Enlightened of Tibia,Master Sorcerer,Secura,351,"7,583",Loyalty Points
165,Lord Vikin gold,Enlightened of Tibia,Elite Knight,Thyria,897,"7,581",Loyalty Points
166,Araluxie,Enlightened of Tibia,Master Sorcerer,Wintera,136,"7,580",Loyalty Points
167,Ayla Paladina,Enlightened of Tibia,Royal Paladin,Premia,259,"7,577",Loyalty Points
168,Knight'Kamos,Enlightened of Tibia,Elite Knight,Peloria,1016,"7,576",Loyalty Points
169,Tiinu,Enlightened of Tibia,Royal Paladin,Refugia,163,"7,573",Loyalty Points
170,Excitable,Enlightened of Tibia,Master Sorcerer,Lobera,545,"7,569",Loyalty Points
171,Goblinx Klai,Enlightened of Tibia,Master Sorcerer,Celebra,174,"7,568",Loyalty Points
172,Daso II,Enlightened of Tibia,Royal Paladin,Antica,1624,"7,567",Loyalty Points
173,Steffi Millano,Enlightened of Tibia,Elder Druid,Monza,275,"7,564",Loyalty Points
174,Lady Pulguinha,Enlightened of Tibia,Elite Knight,Calmera,508,"7,562",Loyalty Points
175,Tia Delinha,Enlightened of Tibia,Elder Druid,Calmera,464,"7,561",Loyalty Points
176,Arleton,Enlightened of Tibia,Druid,Zunera,1084,"7,557",Loyalty Points
177,Aragorn of Elfhome,Enlightened of Tibia,Elite Knight,Secura,211,"7,556",Loyalty Points
178,Lythariss,Enlightened of Tibia,Elder Druid,Gladera,588,"7,555",Loyalty Points
179,Patricinha druidinha,Enlightened of Tibia,Elite Knight,Secura,591,"7,544",Loyalty Points
180,Deadly Kizzer,Enlightened of Tibia,Royal Paladin,Premia,209,"7,540",Loyalty Points
180,Tokii Wartooth,Enlightened of Tibia,Royal Paladin,Lobera,810,"7,540",Loyalty Points
182,Macgyver,Enlightened of Tibia,Elite Knight,Antica,425,"7,537",Loyalty Points
183,Alunir,Enlightened of Tibia,Royal Paladin,Peloria,441,"7,532",Loyalty Points
184,Etien,Enlightened of Tibia,Elite Knight,Pacera,201,"7,529",Loyalty Points
184,Melmag,Enlightened of Tibia,Master Sorcerer,Secura,962,"7,529",Loyalty Points
186,Khamar,Enlightened of Tibia,Elite Knight,Harmonia,944,"7,528",Loyalty Points
187,Miliardo Peace-craft,Enlightened of Tibia,Elite Knight,Premia,308,"7,522",Loyalty Points
188,Duria Larra,Enlightened of Tibia,Sorcerer,Gladera,6,"7,520",Loyalty Points
188,Stev on Olympa,Enlightened of Tibia,Elite Knight,Monza,91,"7,520",Loyalty Points
190,Tialys,Enlightened of Tibia,Elite Knight,Monza,182,"7,518",Loyalty Points
190,Waknir,Enlightened of Tibia,Monk,Kalibra,9,"7,518",Loyalty Points
192,Chicken summoner,Enlightened of Tibia,Elder Druid,Solidera,218,"7,515",Loyalty Points
193,Anna Sinixa,Enlightened of Tibia,Elder Druid,Luminera,804,"7,514",Loyalty Points
193,Ulier Kalfon,Enlightened of Tibia,None,Havera,2,"7,514",Loyalty Points
195,Villarcita,Enlightened of Tibia,Sorcerer,Astera,41,"7,511",Loyalty Points
196,Canisso,Enlightened of Tibia,Knight,Astera,344,"7,510",Loyalty Points
196,Nena ybel,Enlightened of Tibia,Druid,Talera,693,"7,510",Loyalty Points
198,Majty ma,Enlightened of Tibia,Elder Druid,Lobera,120,"7,505",Loyalty Points
199,Guerrero De Las Sombras,Enlightened of Tibia,Elite Knight,Antica,1223,"7,502",Loyalty Points
200,Trenzinho Piui,Enlightened of Tibia,None,Solidera,8,"7,500",Loyalty Points
201,Magicice,Enlightened of Tibia,Royal Paladin,Antica,482,"7,497",Loyalty Points
202,Iskizytu,Enlightened of Tibia,Elite Knight,Pacera,1218,"7,496",Loyalty Points
203,Alkmewa,Enlightened of Tibia,Elite Knight,Menera,534,"7,491",Loyalty Points
204,Keppi,Enlightened of Tibia,Master Sorcerer,Secura,1319,"7,488",Loyalty Points
205,Magnifik Danyshiny,Enlightened of Tibia,Royal Paladin,Inabra,1624,"7,487",Loyalty Points
206,Pappie,Enlightened of Tibia,Elite Knight,Secura,1135,"7,477",Loyalty Points
207,Anne Lena,Enlightened of Tibia,Royal Paladin,Astera,912,"7,471",Loyalty Points
207,Brown Jantar,Enlightened of Tibia,Elite Knight,Celesta,1035,"7,471",Loyalty Points
207,Knight Zudano,Enlightened of Tibia,Elite Knight,Monza,561,"7,471",Loyalty Points
207,Xarkost Eilia,Enlightened of Tibia,Royal Paladin,Secura,566,"7,471",Loyalty Points
211,Deadmani,Enlightened of Tibia,Elite Knight,Thyria,1994,"7,457",Loyalty Points
212,Lee Ticia,Enlightened of Tibia,Knight,Celebra,364,"7,450",Loyalty Points
212,Mixlalilxy,Enlightened of Tibia,Master Sorcerer,Wintera,292,"7,450",Loyalty Points
212,Ratilt,Enlightened of Tibia,Master Sorcerer,Thyria,808,"7,450",Loyalty Points
212,Semiramida,Enlightened of Tibia,Elite Knight,Secura,783,"7,450",Loyalty Points
216,Fraggle,Enlightened of Tibia,Master Sorcerer,Antica,54,"7,446",Loyalty Points
216,Rii car do,Enlightened of Tibia,Elder Druid,Luminera,1730,"7,446",Loyalty Points
218,Trigunx,Enlightened of Tibia,Elite Knight,Astera,667,"7,442",Loyalty Points
218,Walentyna,Enlightened of Tibia,Elite Knight,Celesta,544,"7,442",Loyalty Points
220,Nobre Warrior,Enlightened of Tibia,Elite Knight,Yonabra,482,"7,441",Loyalty Points
220,Storm Lord,Enlightened of Tibia,Royal Paladin,Antica,356,"7,441",Loyalty Points
222,Harv Heimdallsson,Enlightened of Tibia,Elite Knight,Peloria,347,"7,440",Loyalty Points
223,Yuri Jammy,Enlightened of Tibia,Elite Knight,Havera,783,"7,436",Loyalty Points
224,Paulo The Sorcerer,Enlightened of Tibia,Master Sorcerer,Bona,182,"7,431",Loyalty Points
225,Flippendo,Enlightened of Tibia,Elite Knight,Secura,451,"7,427",Loyalty Points
226,Dankiver,Enlightened of Tibia,Royal Paladin,Quintera,969,"7,426",Loyalty Points
227,Icehearted Ranger,Enlightened of Tibia,Royal Paladin,Luminera,167,"7,420",Loyalty Points
228,Bullistic,Enlightened of Tibia,Royal Paladin,Lobera,1404,"7,413",Loyalty Points
229,Drogonzord,Enlightened of Tibia,Elite Knight,Terribra,342,"7,407",Loyalty Points
230,Sky Hardysz,Enlightened of Tibia,Royal Paladin,Talera,1186,"7,406",Loyalty Points
231,Eudoros,Enlightened of Tibia,Elite Knight,Peloria,271,"7,404",Loyalty Points
232,Executer Mage,Enlightened of Tibia,Master Sorcerer,Premia,1003,"7,396",Loyalty Points
233,Myhuka,Enlightened of Tibia,Master Sorcerer,Astera,124,"7,394",Loyalty Points
234,Zigfrida,Enlightened of Tibia,Elder Druid,Calmera,338,"7,384",Loyalty Points
235,Lady Rachael,Enlightened of Tibia,Master Sorcerer,Astera,318,"7,383",Loyalty Points
236,Sokkz The Bruto,Enlightened of Tibia,Elite Knight,Descubra,1105,"7,374",Loyalty Points
237,Merisquendi,Enlightened of Tibia,Master Sorcerer,Secura,133,"7,366",Loyalty Points
238,Aevin,Enlightened of Tibia,Elder Druid,Gentebra,1305,"7,365",Loyalty Points
238,Zos Io Pan,Enlightened of Tibia,Elite Knight,Serdebra,1097,"7,365",Loyalty Points
240,Nina Ragen,Enlightened of Tibia,Elite Knight,Talera,511,"7,362",Loyalty Points
241,Angel Moon,Enlightened of Tibia,Elder Druid,Menera,335,"7,361",Loyalty Points
242,Madam Dan,Enlightened of Tibia,Knight,Celesta,628,"7,360",Loyalty Points
242,Magic Xarfai,Enlightened of Tibia,Sorcerer,Lobera,748,"7,360",Loyalty Points
244,Averthith Solifitrotus,Enlightened of Tibia,Master Sorcerer,Astera,313,"7,357",Loyalty Points
245,Bloodmoon,Enlightened of Tibia,Elite Knight,Lobera,422,"7,353",Loyalty Points
246,Malariamyggan,Enlightened of Tibia,Elder Druid,Kalanta,543,"7,350",Loyalty Points
247,Claudits,Enlightened of Tibia,Elder Druid,Astera,615,"7,348",Loyalty Points
248,Womolu,Enlightened of Tibia,Elite Knight,Celebra,1798,"7,344",Loyalty Points
249,Siberion,Enlightened of Tibia,Elite Knight,Premia,1534,"7,342",Loyalty Points
250,Pug wholikes wuuf,Enlightened of Tibia,Elder Druid,Secura,223,"7,341",Loyalty Points
251,Trapezoid,Enlightened of Tibia,Royal Paladin,Quintera,705,"7,336",Loyalty Points
252,Energy Source,Enlightened of Tibia,Master Sorcerer,Secura,535,"7,332",Loyalty Points
252,Shar Raftin,Enlightened of Tibia,Elder Druid,Wintera,44,"7,332",Loyalty Points
254,Xahifenix,Enlightened of Tibia,Elite Knight,Lutabra,298,"7,328",Loyalty Points
255,Animus Necandi,Enlightened of Tibia,Elite Knight,Quelibra,749,"7,327",Loyalty Points
255,Jane boom,Enlightened of Tibia,Elder Druid,Astera,409,"7,327",Loyalty Points
257,Busa,Enlightened of Tibia,Elite Knight,Secura,133,"7,326",Loyalty Points
258,Maralona,Enlightened of Tibia,Elder Druid,Harmonia,500,"7,320",Loyalty Points
259,General Bach,Enlightened of Tibia,Elite Knight,Yonabra,1100,"7,317",Loyalty Points
259,Wolf Viper,Enlightened of Tibia,Elite Knight,Luminera,285,"7,317",Loyalty Points
261,Kingzie,Enlightened of Tibia,Master Sorcerer,Xyla,785,"7,314",Loyalty Points
262,Hitogedgy,Enlightened of Tibia,Elite Knight,Luminera,522,"7,312",Loyalty Points
263,Hayashiro,Enlightened of Tibia,Master Sorcerer,Belobra,1845,"7,305",Loyalty Points
264,Auron Saint,Enlightened of Tibia,Royal Paladin,Vunira,929,"7,304",Loyalty Points
265,Aestyn,Enlightened of Tibia,Elder Druid,Gladera,105,"7,300",Loyalty Points
265,Lord Dustcounter,Enlightened of Tibia,Elder Druid,Monza,332,"7,300",Loyalty Points
265,Pangarezinho,Enlightened of Tibia,Elite Knight,Celesta,372,"7,300",Loyalty Points
268,Chris Rancid,Enlightened of Tibia,Elder Druid,Refugia,552,"7,297",Loyalty Points
268,Mal Legendary,Enlightened of Tibia,Elite Knight,Gladera,857,"7,297",Loyalty Points
270,Flor do rioo,Enlightened of Tibia,Elite Knight,Havera,61,"7,295",Loyalty Points
271,Haarin,Enlightened of Tibia,Elder Druid,Monza,1721,"7,294",Loyalty Points
271,Rethares Loka,Enlightened of Tibia,Elder Druid,Calmera,411,"7,294",Loyalty Points
273,Fihesute,Enlightened of Tibia,Elite Knight,Antica,795,"7,293",Loyalty Points
274,Dgod,Enlightened of Tibia,Elite Knight,Harmonia,526,"7,291",Loyalty Points
274,Othinows,Enlightened of Tibia,Master Sorcerer,Venebra,1554,"7,291",Loyalty Points
276,Crillan,Enlightened of Tibia,Sorcerer,Bona,92,"7,290",Loyalty Points
277,Anna Elan,Enlightened of Tibia,Master Sorcerer,Astera,462,"7,286",Loyalty Points
278,Marcelo Bicentenario,Enlightened of Tibia,Royal Paladin,Luminera,416,"7,282",Loyalty Points
279,Erogan,Enlightened of Tibia,Royal Paladin,Solidera,365,"7,280",Loyalty Points
280,Knis Sudarit,Enlightened of Tibia,None,Gentebra,2,"7,268",Loyalty Points
281,Zena Daro,Enlightened of Tibia,Master Sorcerer,Gladera,225,"7,266",Loyalty Points
282,Haldo Severus,Enlightened of Tibia,Royal Paladin,Collabra,396,"7,263",Loyalty Points
283,Ekstrem,Enlightened of Tibia,Elder Druid,Secura,165,"7,261",Loyalty Points
283,Sir Chikki,Enlightened of Tibia,Knight,Monza,18,"7,261",Loyalty Points
285,Akry Suela,Enlightened of Tibia,Elite Knight,Secura,329,"7,260",Loyalty Points
286,Jim Hanson,Enlightened of Tibia,Master Sorcerer,Yovera,149,"7,259",Loyalty Points
287,Lokirj,Enlightened of Tibia,Knight,Calmera,53,"7,257",Loyalty Points
288,Kearell Goldenstone,Enlightened of Tibia,Elder Druid,Secura,156,"7,249",Loyalty Points
289,Thay El Patron,Enlightened of Tibia,Elite Knight,Solidera,1722,"7,248",Loyalty Points
290,Kliuna Ai,Enlightened of Tibia,Royal Paladin,Peloria,574,"7,245",Loyalty Points
290,Master Player,Enlightened of Tibia,Master Sorcerer,Secura,265,"7,245",Loyalty Points
290,Orzack,Enlightened of Tibia,Elite Knight,Quelibra,1803,"7,245",Loyalty Points
293,Meroq Sana,Enlightened of Tibia,Knight,Yovera,8,"7,239",Loyalty Points
294,Aricy,Enlightened of Tibia,Elite Knight,Calmera,261,"7,237",Loyalty Points
