,rank,name,world,vocation,level,experience,world_type,updated_at
61,62,Medicaux,celesta,elder druid,2290,199870143551,Optional PvP,2026-01-20 22:59:57.042544
62,63,Lynuux,celebra,elder druid,2290,199710045444,Optional PvP,2026-01-20 22:59:57.042544
63,64,Zecrocz Knight,yonabra,elite knight,2288,199314722406,Optional PvP,2026-01-20 22:59:57.042544
64,65,Recall Poderoso,unebra,royal paladin,2287,199059837954,Open PvP,2026-01-20 22:59:57.042544
65,66,Sphere Da Doom,refugia,elite knight,2285,198463230132,Optional PvP,2026-01-20 22:59:57.042544
66,67,Hulk Tacadordebolt,venebra,royal paladin,2281,197442863319,Optional PvP,2026-01-20 22:59:57.042544
67,68,Ven Vi,refugia,royal paladin,2277,196440935447,Optional PvP,2026-01-20 22:59:57.042544
68,69,Ze Cueei,ourobra,elder druid,2273,195344422771,Open PvP,2026-01-20 22:59:57.042544
69,70,Brauba,ustebra,royal paladin,2262,192511389176,Optional PvP,2026-01-20 22:59:57.042544
70,71,Mit Iron,gentebra,elite knight,2252,189849666155,Optional PvP,2026-01-20 22:59:57.042544
71,72,Syriz,thyria,master sorcerer,2250,189355669179,Open PvP,2026-01-20 22:59:57.042544
72,73,Zainzao,collabra,elder druid,2249,189166842487,Optional PvP,2026-01-20 22:59:57.042544
73,74,Ninna Gil,celebra,master sorcerer,2248,188977124213,Optional PvP,2026-01-20 22:59:57.042544
74,75,Magiczny,refugia,master sorcerer,2247,188777385704,Optional PvP,2026-01-20 22:59:57.042544
75,76,Lunatic Princess,celesta,elite knight,2247,188655843770,Optional PvP,2026-01-20 22:59:57.042544
76,77,King Infinytum,yonabra,elite knight,2245,188159784480,Optional PvP,2026-01-20 22:59:57.042544
77,78,Tonimm,jadebra,elder druid,2245,188292097772,Open PvP,2026-01-20 22:59:57.042544
78,79,Dolerozs,collabra,elder druid,2242,187346247271,Optional PvP,2026-01-20 22:59:57.042544
79,80,Lelezyn,yonabra,elder druid,2238,186558751966,Optional PvP,2026-01-20 22:59:57.042544
80,81,Bobolocik,celesta,master sorcerer,2237,186087302281,Optional PvP,2026-01-20 22:59:57.042544
81,82,Knighttt Poderoso,unebra,elite knight,2236,185923744693,Open PvP,2026-01-20 22:59:57.042544
82,83,Anakurawk Dafalasu,gentebra,elite knight,2236,185986407273,Optional PvP,2026-01-20 22:59:57.042544
83,84,Greamir,celesta,master sorcerer,2235,185737353516,Optional PvP,2026-01-20 22:59:57.042544
84,85,Nightt Gaze,karmeya,master sorcerer,2233,185265036420,Optional PvP,2026-01-20 22:59:57.042544
85,86,Ndetarovasz,honbra,elder druid,2232,184971830402,Open PvP,2026-01-20 22:59:57.042544
86,87,Rei Bibi,terribra,elder druid,2231,184812332014,Retro Hardcore PvP,2026-01-20 22:59:57.042544
87,88,Radizao,collabra,elite knight,2228,183962119386,Optional PvP,2026-01-20 22:59:57.042544
88,89,Zapecao,collabra,master sorcerer,2228,184024419398,Optional PvP,2026-01-20 22:59:57.042544
89,90,Sorin Emperor,ourobra,elder druid,2225,183316735349,Open PvP,2026-01-20 22:59:57.042544
90,91,Almighty Nova,wintera,royal paladin,2221,182238270883,Open PvP,2026-01-20 22:59:57.042544
91,92,Fael Fahurr,quelibra,royal paladin,2221,182138585392,Open PvP,2026-01-20 22:59:57.042544
92,93,Sawano Hiroyuki,yonabra,royal paladin,2220,182070315494,Optional PvP,2026-01-20 22:59:57.042544
93,94,Toxic Es Fiado,havera,elder druid,2216,181027324920,Open PvP,2026-01-20 22:59:57.042544
94,95,Edi Paladino,honbra,royal paladin,2214,180578657714,Open PvP,2026-01-20 22:59:57.042544
95,96,Zonattookitou Poderoso,unebra,master sorcerer,2214,180519835683,Open PvP,2026-01-20 22:59:57.042544
96,97,Arknesz,venebra,elite knight,2213,180301885281,Optional PvP,2026-01-20 22:59:57.042544
97,98,Dany Ellmagnifico,inabra,master sorcerer,2213,180383188955,Open PvP,2026-01-20 22:59:57.042544
98,99,Nott Primetime,descubra,royal paladin,2205,178292983906,Optional PvP,2026-01-20 22:59:57.042544
99,100,Ellmagnifinho Danynho,inabra,royal paladin,2201,177320778462,Open PvP,2026-01-20 22:59:57.042544
100,101,Dextro Kogz,monza,master sorcerer,2201,177457490349,Optional PvP,2026-01-20 22:59:57.042544
101,102,Coh en,yonabra,master sorcerer,2199,176820424246,Optional PvP,2026-01-20 22:59:57.042544
102,103,Sheng,yonabra,elder druid,2197,176472569432,Optional PvP,2026-01-20 22:59:57.042544
103,104,Sage Baw,belobra,elder druid,2195,175916255978,Optional PvP,2026-01-20 22:59:57.042544
104,105,Diones Machine,issobra,elite knight,2195,175825519855,Optional PvP,2026-01-20 22:59:57.042544
105,106,Magnifik Danybruxo,inabra,elder druid,2191,174910548023,Open PvP,2026-01-20 22:59:57.042544
106,107,Eksman,monza,master sorcerer,2189,174379194614,Optional PvP,2026-01-20 22:59:57.042544
107,108,Conde Danimax,inabra,elite knight,2188,174317151118,Open PvP,2026-01-20 22:59:57.042544
108,109,Guczman,monza,royal paladin,2188,174143523418,Optional PvP,2026-01-20 22:59:57.042544
109,110,Murilon Hardtimes,collabra,elder druid,2188,174113356997,Optional PvP,2026-01-20 22:59:57.042544
110,111,Smka Corporation,issobra,master sorcerer,2179,172114308906,Optional PvP,2026-01-20 22:59:57.042544
111,112,Rickzher Tank,issobra,elite knight,2177,171549339960,Optional PvP,2026-01-20 22:59:57.042544
112,113,Arinth,monza,elite knight,2175,171096287516,Optional PvP,2026-01-20 22:59:57.042544
113,114,Fael Outlaw,quelibra,royal paladin,2173,170758142092,Open PvP,2026-01-20 22:59:57.042544
114,115,Ahameed,gentebra,elder druid,2170,169954478744,Optional PvP,2026-01-20 22:59:57.042544
115,116,Fernizx,luminera,master sorcerer,2170,169933971505,Optional PvP,2026-01-20 22:59:57.042544
116,117,Pedrin Orangepodi,jadebra,elite knight,2169,169667980486,Open PvP,2026-01-20 22:59:57.042544
117,118,Ximboka Primetime,descubra,elder druid,2168,169574014121,Optional PvP,2026-01-20 22:59:57.042544
118,119,Hiro Teensina,gentebra,elder druid,2167,169291792065,Optional PvP,2026-01-20 22:59:57.042544
119,120,Ximboka Primetime,venebra,elder druid,2166,168902999769,Optional PvP,2026-01-20 22:59:57.042544
120,121,Bratku Boy,secura,royal paladin,2164,168473668308,Optional PvP,2026-01-20 22:59:57.042544
121,122,Surufon,celebra,elder druid,2164,168536636832,Optional PvP,2026-01-20 22:59:57.042544
122,123,Shoxiez,kalibra,master sorcerer,2162,168181104632,Optional PvP,2026-01-20 22:59:57.042544
123,124,Caaok,belobra,royal paladin,2156,166735158148,Optional PvP,2026-01-20 22:59:57.042544
124,125,Waguinho The Legend,quelibra,elder druid,2156,166646668582,Open PvP,2026-01-20 22:59:57.042544
125,126,Arraya Hardtimes,collabra,master sorcerer,2153,166017914960,Optional PvP,2026-01-20 22:59:57.042544
126,127,Now,epoca,royal paladin,2152,165820845586,Retro Open PvP,2026-01-20 22:59:57.042544
127,128,He ellz,wintera,royal paladin,2151,165566720740,Open PvP,2026-01-20 22:59:57.042544
128,129,Turco Loko,inabra,royal paladin,2151,165531697663,Open PvP,2026-01-20 22:59:57.042544
129,130,Girl Selly,belobra,elder druid,2151,165573111838,Optional PvP,2026-01-20 22:59:57.042544
130,131,Mor Decai,gentebra,master sorcerer,2149,164979771692,Optional PvP,2026-01-20 22:59:57.042544
131,132,Yunden,secura,royal paladin,2148,164721761408,Optional PvP,2026-01-20 22:59:57.042544
132,133,Yunski,secura,royal paladin,2147,164516566436,Optional PvP,2026-01-20 22:59:57.042544
133,134,Lord Valeta,celebra,master sorcerer,2146,164393502479,Optional PvP,2026-01-20 22:59:57.042544
134,135,Boysorc,terribra,master sorcerer,2145,164184752440,Retro Hardcore PvP,2026-01-20 22:59:57.042544
135,136,Articuno Jiujitsu,ourobra,master sorcerer,2145,164084506671,Open PvP,2026-01-20 22:59:57.042544
136,137,Lutador Shivinha,gentebra,royal paladin,2143,163643701226,Optional PvP,2026-01-20 22:59:57.042544
137,138,Goa Santiago,ourobra,master sorcerer,2140,162934692257,Open PvP,2026-01-20 22:59:57.042544
138,139,Max Fleury,celebra,elite knight,2140,163066058491,Optional PvP,2026-01-20 22:59:57.042544
139,140,Vitiinn,belobra,royal paladin,2139,162798771204,Optional PvP,2026-01-20 22:59:57.042544
140,141,Tonim Sniper,jadebra,royal paladin,2138,162562984254,Open PvP,2026-01-20 22:59:57.042544
141,142,Seju Primetime,venebra,master sorcerer,2137,162423672043,Optional PvP,2026-01-20 22:59:57.042544
142,143,Ragnarr Vilao,ourobra,elite knight,2134,161635899943,Open PvP,2026-01-20 22:59:57.042544
143,144,Yamaanek,monza,elder druid,2133,161288002897,Optional PvP,2026-01-20 22:59:57.042544
144,145,Soiji,inabra,elite knight,2130,160641655906,Open PvP,2026-01-20 22:59:57.042544
145,146,Xenge Teensina,gentebra,elite knight,2130,160699840474,Optional PvP,2026-01-20 22:59:57.042544
146,147,Chris Zeroum,ombra,master sorcerer,2129,160498073386,Open PvP,2026-01-20 22:59:57.042544
147,148,Junzaao,belobra,master sorcerer,2129,160453528337,Optional PvP,2026-01-20 22:59:57.042544
148,149,Hecks Leads,luminera,elder druid,2129,160495944981,Optional PvP,2026-01-20 22:59:57.042544
149,150,Ja co,refugia,elite knight,2129,160559159963,Optional PvP,2026-01-20 22:59:57.042544
150,151,Szmuggy,thyria,royal paladin,2126,159826169459,Open PvP,2026-01-20 22:59:57.042544
151,152,Arkelogon,celebra,royal paladin,2125,159544428242,Optional PvP,2026-01-20 22:59:57.042544
152,153,Paulox Toxico,kalibra,royal paladin,2125,159660349356,Optional PvP,2026-01-20 22:59:57.042544
153,154,Lichtsz,inabra,master sorcerer,2124,159363603107,Open PvP,2026-01-20 22:59:57.042544
154,155,Neto Orangepodi,jadebra,master sorcerer,2123,159124596910,Open PvP,2026-01-20 22:59:57.042544
155,156,Estilo Trollzinho,rasteibra,elder druid,2122,158859565781,Open PvP,2026-01-20 22:59:57.042544
156,157,Pulga Doleiro,terribra,royal paladin,2118,158080993174,Retro Hardcore PvP,2026-01-20 22:59:57.042544
157,158,Ivene,celesta,royal paladin,2118,157909797222,Optional PvP,2026-01-20 22:59:57.042544
158,159,Fraanco,unebra,master sorcerer,2118,157928384015,Open PvP,2026-01-20 22:59:57.042544
159,160,Destemido Corporation,issobra,royal paladin,2117,157701798737,Optional PvP,2026-01-20 22:59:57.042544
160,161,Stefan Smakolysz,bona,elite knight,2115,157394844145,Optional PvP,2026-01-20 22:59:57.042544
161,162,Wrath Saga,gladera,elite knight,2113,156942227315,Optional PvP,2026-01-20 22:59:57.042544
162,163,Maarculino,unebra,royal paladin,2113,156806027695,Open PvP,2026-01-20 22:59:57.042544
163,164,Chris Donhodo Ombra,ombra,elite knight,2112,156671834301,Open PvP,2026-01-20 22:59:57.042544
164,165,Vomolu,celebra,elite knight,2111,156542351397,Optional PvP,2026-01-20 22:59:57.042544
165,166,Be xu,monza,elder druid,2110,156134445248,Optional PvP,2026-01-20 22:59:57.042544
166,167,Kalashnkov,rasteibra,royal paladin,2110,156266501682,Open PvP,2026-01-20 22:59:57.042544
167,168,Golden Eclypse,yonabra,royal paladin,2110,156203988891,Optional PvP,2026-01-20 22:59:57.042544
168,169,General Keyllor,gentebra,elder druid,2110,156258074608,Optional PvP,2026-01-20 22:59:57.042544
169,170,Fastshot,refugia,royal paladin,2108,155760556789,Optional PvP,2026-01-20 22:59:57.042544
170,171,Pato Zedrin,ourobra,royal paladin,2108,155715618493,Open PvP,2026-01-20 22:59:57.042544
171,172,Judgementdays,calmera,elder druid,2107,155488567014,Optional PvP,2026-01-20 22:59:57.042544
172,173,Sorin Enterpriise,ourobra,royal paladin,2107,155461608438,Open PvP,2026-01-20 22:59:57.042544
173,174,Pedrin Feliznatal,unebra,royal paladin,2103,154668025339,Open PvP,2026-01-20 22:59:57.042544
174,175,Rodrigaumd,inabra,elder druid,2100,154015831431,Open PvP,2026-01-20 22:59:57.042544
175,176,Rexiruz Zabojca,terribra,master sorcerer,2100,153967458914,Retro Hardcore PvP,2026-01-20 22:59:57.042544
176,177,Devzin,celesta,royal paladin,2099,153878260684,Optional PvP,2026-01-20 22:59:57.042544
177,178,Vyvy,calmera,master sorcerer,2098,153473001709,Optional PvP,2026-01-20 22:59:57.042544
178,179,Rdge,yonabra,master sorcerer,2098,153568959949,Optional PvP,2026-01-20 22:59:57.042544
179,180,Miichaszek,refugia,master sorcerer,2098,153536027959,Optional PvP,2026-01-20 22:59:57.042544
180,181,Jazh,venebra,elder druid,2097,153348262574,Optional PvP,2026-01-20 22:59:57.042544
181,182,Camiiss,kalibra,elder druid,2097,153356909689,Optional PvP,2026-01-20 22:59:57.042544
182,183,Lowdaz,monstera,royal paladin,2095,152980522823,Retro Hardcore PvP,2026-01-20 22:59:57.042544
183,184,Figolo,monza,elite knight,2093,152447731099,Optional PvP,2026-01-20 22:59:57.042544
184,185,Rafittzz,belobra,master sorcerer,2093,152561999554,Optional PvP,2026-01-20 22:59:57.042544
185,186,Icarus Cltcansado,ourobra,master sorcerer,2091,152081222050,Open PvP,2026-01-20 22:59:57.042544
186,187,Wakii Szef,celesta,elite knight,2090,151788341769,Optional PvP,2026-01-20 22:59:57.042544
187,188,Halzor Megalomaniaco,kalibra,elite knight,2089,151537933298,Optional PvP,2026-01-20 22:59:57.042544
188,189,Vyp Fox,gentebra,master sorcerer,2089,151592677447,Optional PvP,2026-01-20 22:59:57.042544
189,190,Verfix,ustebra,elder druid,2088,151478089112,Optional PvP,2026-01-20 22:59:57.042544
190,191,Owbapzera,descubra,royal paladin,2086,150982120242,Optional PvP,2026-01-20 22:59:57.042544
191,192,Czikita,refugia,elder druid,2085,150832295612,Optional PvP,2026-01-20 22:59:57.042544
192,193,Rei Tarik,terribra,elite knight,2083,150307594797,Retro Hardcore PvP,2026-01-20 22:59:57.042544
193,194,Toxic Ghost Esecee,havera,master sorcerer,2083,150242959400,Open PvP,2026-01-20 22:59:57.042544
194,195,Ranny Zolnierz Elder,antica,master sorcerer,2083,150334223498,Open PvP,2026-01-20 22:59:57.042544
195,196,Zezinho Eurofeer,ourobra,elite knight,2083,150330737337,Open PvP,2026-01-20 22:59:57.042544
196,197,Trullen,celesta,elder druid,2081,149806908235,Optional PvP,2026-01-20 22:59:57.042544
197,198,Destructive Kronun,talera,elite knight,2079,149458757713,Open PvP,2026-01-20 22:59:57.042544
198,199,Dzwoni Daro,monza,elder druid,2079,149522560929,Optional PvP,2026-01-20 22:59:57.042544
199,200,Ezudux,gentebra,royal paladin,2079,149339603643,Optional PvP,2026-01-20 22:59:57.042544
200,201,Kallashy,honbra,elite knight,2078,149327959761,Open PvP,2026-01-20 22:59:57.042544
201,202,Mattwin,venebra,elder druid,2078,149243479154,Optional PvP,2026-01-20 22:59:57.042544
202,203,Kewhyx Mythus,celebra,royal paladin,2078,149173698576,Optional PvP,2026-01-20 22:59:57.042544
203,204,Wykalaczked,monza,elder druid,2077,148913986551,Optional PvP,2026-01-20 22:59:57.042544
204,205,Alpha Charly,gentebra,royal paladin,2074,148368484484,Optional PvP,2026-01-20 22:59:57.042544
205,206,Duzy Brzuszek,nevia,master sorcerer,2073,148203687694,Optional PvP,2026-01-20 22:59:57.042544
206,207,Cloud Cronos,harmonia,elder druid,2072,148003502563,Optional PvP,2026-01-20 22:59:57.042544
207,208,Rodrigaaum,inabra,royal paladin,2070,147477896323,Open PvP,2026-01-20 22:59:57.042544
208,209,Mighty Peral,solidera,elder druid,2069,147293317765,Open PvP,2026-01-20 22:59:57.042544
209,210,Axbin,astera,master sorcerer,2068,147083209640,Optional PvP,2026-01-20 22:59:57.042544
210,211,Ginowi,monza,royal paladin,2068,147051619991,Optional PvP,2026-01-20 22:59:57.042544
211,212,Amora Enterprise,ourobra,elite knight,2067,146931172702,Open PvP,2026-01-20 22:59:57.042544
212,213,Zonaattokitou Poderoso,unebra,elder druid,2065,146462561749,Open PvP,2026-01-20 22:59:57.042544
213,214,Zwkidek,gentebra,elite knight,2065,146363485709,Optional PvP,2026-01-20 22:59:57.042544
214,215,Arc Mago Marujo,serdebra,master sorcerer,2063,145988088465,Open PvP,2026-01-20 22:59:57.042544
215,216,Zeeh Chinelo,celebra,master sorcerer,2062,145845711102,Optional PvP,2026-01-20 22:59:57.042544
216,217,Barao Relampejante,yonabra,elite knight,2060,145447911382,Optional PvP,2026-01-20 22:59:57.042544
217,218,Pedrin Aposentado,jadebra,master sorcerer,2060,145410316143,Open PvP,2026-01-20 22:59:57.042544
218,219,Thor Zynz,collabra,royal paladin,2059,145065444169,Optional PvP,2026-01-20 22:59:57.042544
219,220,Trakhinas,quelibra,royal paladin,2059,145241996731,Open PvP,2026-01-20 22:59:57.042544
220,221,Luidao Inevitavel,ourobra,elder druid,2057,144747224490,Open PvP,2026-01-20 22:59:57.042544
221,222,Vine Corporation,etebra,elder druid,2054,144163046071,Optional PvP,2026-01-20 22:59:57.042544
222,223,Intenzao Supreme Emex,havera,master sorcerer,2051,143379472246,Open PvP,2026-01-20 22:59:57.042544
223,224,Partyboost,vunira,royal paladin,2051,143532310358,Open PvP,2026-01-20 22:59:57.042544
224,225,Magnifik Danytank,quelibra,elite knight,2051,143573388952,Open PvP,2026-01-20 22:59:57.042544
225,226,Dan Senju,collabra,royal paladin,2050,143261536163,Optional PvP,2026-01-20 22:59:57.042544
226,227,Legends Of Dante,oceanis,elder druid,2049,143053806281,Optional PvP,2026-01-20 22:59:57.042544
227,228,Sinfronio Stark,rasteibra,elder druid,2049,143057331427,Open PvP,2026-01-20 22:59:57.042544
228,229,Lightbinder,secura,royal paladin,2048,142934105643,Optional PvP,2026-01-20 22:59:57.042544
229,230,Surkkaam,bona,elder druid,2047,142745686806,Optional PvP,2026-01-20 22:59:57.042544
230,231,Captain Gufi,refugia,elder druid,2047,142690143121,Optional PvP,2026-01-20 22:59:57.042544
231,232,Angel Pro Damage,yonabra,elder druid,2044,141988948563,Optional PvP,2026-01-20 22:59:57.042544
232,233,Maza lov,ourobra,master sorcerer,2044,142057949785,Open PvP,2026-01-20 22:59:57.042544
233,234,Yoasobi,yonabra,master sorcerer,2043,141779409701,Optional PvP,2026-01-20 22:59:57.042544
234,235,Luke no San,collabra,royal paladin,2043,141720463626,Optional PvP,2026-01-20 22:59:57.042544
235,236,Max Namikaze,collabra,elder druid,2043,141732132986,Optional PvP,2026-01-20 22:59:57.042544
236,237,Leozinnxd,rasteibra,master sorcerer,2041,141374837455,Open PvP,2026-01-20 22:59:57.042544
237,238,Dudu Stonecutter,unebra,elite knight,2041,141425936956,Open PvP,2026-01-20 22:59:57.042544
238,239,Evilnesz,venebra,royal paladin,2038,140787653381,Optional PvP,2026-01-20 22:59:57.042544
239,240,Kuubiq,thyria,royal paladin,2037,140616325053,Open PvP,2026-01-20 22:59:57.042544
240,241,Murillaoloko,quelibra,master sorcerer,2037,140548871961,Open PvP,2026-01-20 22:59:57.042544
241,242,Kairos Skylight,calmera,elite knight,2036,140306385766,Optional PvP,2026-01-20 22:59:57.042544
242,243,Heyz zerp,inabra,royal paladin,2035,140089773801,Open PvP,2026-01-20 22:59:57.042544
243,244,Naruciaczek,celesta,royal paladin,2035,140120999107,Optional PvP,2026-01-20 22:59:57.042544
244,245,Zezinho Ltda,ourobra,elder druid,2035,140074483281,Open PvP,2026-01-20 22:59:57.042544
245,246,Nyghtz,yonabra,royal paladin,2034,139840045590,Optional PvP,2026-01-20 22:59:57.042544
246,247,Mantessa,refugia,master sorcerer,2033,139653657342,Optional PvP,2026-01-20 22:59:57.042544
247,248,Lutador de Mace,gentebra,elite knight,2032,139626396350,Optional PvP,2026-01-20 22:59:57.042544
248,249,Marco letta,ourobra,elite knight,2029,138899061730,Open PvP,2026-01-20 22:59:57.042544
249,250,Deadmani,thyria,elite knight,2027,138412402470,Open PvP,2026-01-20 22:59:57.042544
250,251,Lutador Venancinho,gentebra,master sorcerer,2027,138459775706,Optional PvP,2026-01-20 22:59:57.042544
251,252,Mirotth,belobra,elite knight,2026,138389709364,Optional PvP,2026-01-20 22:59:57.042544
252,253,Carlinnnn,astera,master sorcerer,2026,138228274208,Optional PvP,2026-01-20 22:59:57.042544
253,254,Restlin,gentebra,elder druid,2026,138286352253,Optional PvP,2026-01-20 22:59:57.042544
254,255,Zedrin Ltda,jadebra,master sorcerer,2025,138019991351,Open PvP,2026-01-20 22:59:57.042544
255,256,Maarculino Relaxado,unebra,elite knight,2024,137885599910,Open PvP,2026-01-20 22:59:57.042544
256,257,Loli Insane,calmera,royal paladin,2023,137625262177,Optional PvP,2026-01-20 22:59:57.042544
257,258,Capetao Dehat Denovo,inabra,royal paladin,2023,137670309608,Open PvP,2026-01-20 22:59:57.042544
258,259,Ragha Healer,kalibra,elder druid,2023,137756959514,Optional PvP,2026-01-20 22:59:57.042544
259,260,Ma Ri Nhoo,yonabra,elite knight,2022,137500304112,Optional PvP,2026-01-20 22:59:57.042544
260,261,Lefay,honbra,master sorcerer,2021,137230172191,Open PvP,2026-01-20 22:59:57.042544
261,262,Sedrahil,oceanis,royal paladin,2021,137196356161,Optional PvP,2026-01-20 22:59:57.042544
262,263,Exorinho,thyria,elite knight,2021,137279544396,Open PvP,2026-01-20 22:59:57.042544
263,264,Kalixto Barao,collabra,elder druid,2021,137258280252,Optional PvP,2026-01-20 22:59:57.042544
