Rank,Name,Vocation,World,Level,Points,Category
86,Rayn Shus,Elite Knight,Celebra,1020,"23,964",Charm Points
87,Alphahorcrux,Elite Knight,Havera,1646,"23,913",Charm Points
88,Oalarea,Master Sorcerer,Celesta,1105,"23,839",Charm Points
88,Valiant Coseran,Royal Paladin,Yovera,1405,"23,839",Charm Points
90,Tomoho,Royal Paladin,Thyria,1714,"23,814",Charm Points
91,Savage Shadow,Elder Druid,Dia,1470,"23,759",Charm Points
92,Lady Tafuri,Elite Knight,Nefera,1844,"23,739",Charm Points
93,Hexed,Royal Paladin,Kalibra,1309,"23,724",Charm Points
94,Que Jin,Elder Druid,Serdebra,1587,"23,699",Charm Points
95,Rockstacker Cleve,Elder Druid,Nevia,1219,"23,689",Charm Points
95,Xivana,Elder Druid,Peloria,1567,"23,689",Charm Points
97,Neggich,Master Sorcerer,Havera,1494,"23,664",Charm Points
98,Nidro,Royal Paladin,Nevia,1282,"23,639",Charm Points
99,Mezobegi,Elder Druid,Belobra,1122,"23,614",Charm Points
100,Shay Jomyne,Elder Druid,Celebra,1394,"23,609",Charm Points
101,Ballin Zero,Royal Paladin,Dia,1475,"23,559",Charm Points
102,Darken wolf,Royal Paladin,Luminera,1287,"23,539",Charm Points
103,Sapin Rhasta,Royal Paladin,Gentebra,1568,"23,514",Charm Points
104,Bamandua,Elite Knight,Issobra,1804,"23,460",Charm Points
105,Spirall fall,Elite Knight,Quelibra,1209,"23,459",Charm Points
106,Fannrond,Elite Knight,Secura,1486,"23,439",Charm Points
106,Posseidon the Celestic,Elder Druid,Celebra,1127,"23,439",Charm Points
108,Downdolino,Royal Paladin,Nefera,1296,"23,414",Charm Points
109,Lucia Nidderiea,Elder Druid,Thyria,1188,"23,412",Charm Points
110,Quakkap,Master Sorcerer,Vunira,1293,"23,380",Charm Points
111,Edwarro,Elite Knight,Monza,1384,"23,339",Charm Points
112,Elvenor,Royal Paladin,Celesta,1348,"23,289",Charm Points
113,Chicofatman,Elder Druid,Nevia,1408,"23,284",Charm Points
114,Molinenko,Elder Druid,Secura,1426,"23,199",Charm Points
115,Ares Coldhands,Royal Paladin,Inabra,1379,"23,189",Charm Points
115,Ayeevi,Master Sorcerer,Refugia,864,"23,189",Charm Points
117,Vo Dee,Royal Paladin,Secura,1244,"23,184",Charm Points
118,Zamazzu,Royal Paladin,Ferobra,1342,"23,164",Charm Points
119,Caio Sama,Elite Knight,Nefera,1194,"23,109",Charm Points
120,Wsciekly Grzegorz,Master Sorcerer,Secura,1210,"23,089",Charm Points
121,Magnifik Danyveiosair,Royal Paladin,Quelibra,1832,"23,060",Charm Points
122,Toon Arma,Elder Druid,Secura,1178,"23,014",Charm Points
123,Golden Face,Master Sorcerer,Quidera,1139,"22,989",Charm Points
124,Watroba sorcerer,Master Sorcerer,Refugia,1115,"22,984",Charm Points
125,Turyan,Royal Paladin,Descubra,1015,"22,959",Charm Points
126,Quiet,Royal Paladin,Epoca,1136,"22,939",Charm Points
126,Salsa Agridoce,Royal Paladin,Oceanis,1398,"22,939",Charm Points
128,Theron guard,Royal Paladin,Astera,1318,"22,889",Charm Points
129,Markinhos fernandes,Royal Paladin,Yonabra,1637,"22,839",Charm Points
130,Dorivall,Elder Druid,Ombra,1874,"22,835",Charm Points
131,Ioo,Elder Druid,Astera,1234,"22,789",Charm Points
132,Nohni Ryan,Elder Druid,Astera,902,"22,709",Charm Points
133,Amazing Eric Legend,Elder Druid,Menera,1470,"22,689",Charm Points
134,Smka Corporation,Master Sorcerer,Issobra,2140,"22,635",Charm Points
135,Rekovni,Elder Druid,Secura,1283,"22,619",Charm Points
136,Alex Froggy,Royal Paladin,Vunira,1506,"22,609",Charm Points
137,Shidden,Royal Paladin,Gladibra,1300,"22,564",Charm Points
138,Kevash,Master Sorcerer,Collabra,1753,"22,530",Charm Points
139,Ayy Eff Kayy,Master Sorcerer,Astera,1227,"22,524",Charm Points
140,Modoreczek Waleczny,Elite Knight,Karmeya,1283,"22,474",Charm Points
141,Jan Zlote Serce,Royal Paladin,Refugia,1868,"22,454",Charm Points
142,Machinbear,Elite Knight,Celebra,1137,"22,439",Charm Points
143,King Infinytum,Elite Knight,Yonabra,2215,"22,424",Charm Points
144,Abbadinos,Royal Paladin,Kalanta,1506,"22,399",Charm Points
145,Royal Gotico,Royal Paladin,Monza,1728,"22,398",Charm Points
146,Distiano Roonaldo,Royal Paladin,Blumera,1293,"22,319",Charm Points
147,Fael Godlike,Elder Druid,Ourobra,1190,"22,309",Charm Points
148,Drops Pall,Royal Paladin,Peloria,1223,"22,289",Charm Points
149,Anti Druid,Elder Druid,Nevia,1140,"22,279",Charm Points
150,Selibess,Elite Knight,Dia,1931,"22,274",Charm Points
151,Figolo,Elite Knight,Monza,2063,"22,264",Charm Points
152,Craig the knight,Elite Knight,Lobera,934,"22,249",Charm Points
153,Zafis Cain,Elite Knight,Celesta,1670,"22,203",Charm Points
154,Cavaleiro Zyn,Royal Paladin,Gentebra,1222,"22,189",Charm Points
154,Olavoltz,Royal Paladin,Yonabra,1386,"22,189",Charm Points
156,Lord Valeta,Master Sorcerer,Celebra,2134,"22,185",Charm Points
157,Kairuz,Elite Knight,Lutabra,1630,"22,179",Charm Points
158,Mazter Chiief,Elder Druid,Astera,1146,"22,169",Charm Points
159,Trimid,Elite Knight,Vunira,1298,"22,089",Charm Points
160,Darkside the ghost,Elite Knight,Bona,1521,"22,074",Charm Points
160,Meatbow,Royal Paladin,Epoca,1745,"22,074",Charm Points
162,Celsiin,Elite Knight,Kalibra,1351,"22,064",Charm Points
162,Senior Amera,Elder Druid,Quidera,938,"22,064",Charm Points
164,Bholinha,Elder Druid,Yonabra,1212,"22,059",Charm Points
165,Giant the Ripper,Elder Druid,Secura,1307,"22,039",Charm Points
166,Terra Pitbulldo Manguin,Royal Paladin,Ombra,1621,"22,029",Charm Points
167,Guizz Nettdown,Elder Druid,Collabra,1142,"22,010",Charm Points
168,Bloodrunk Leech,Exalted Monk,Lobera,955,"21,989",Charm Points
169,Bigg Melon,Elite Knight,Bona,1330,"21,959",Charm Points
170,Puffic,Royal Paladin,Secura,1056,"21,925",Charm Points
171,Zyviik,Elder Druid,Thyria,1595,"21,908",Charm Points
172,Valakok Laz,Master Sorcerer,Wintera,1190,"21,889",Charm Points
173,Chronus Legacy,Elite Knight,Celebra,1632,"21,874",Charm Points
174,Chylek the Demonhunter,Elite Knight,Secura,1186,"21,854",Charm Points
175,Elrikto,Elite Knight,Premia,1490,"21,806",Charm Points
176,Palaz,Royal Paladin,Ourobra,1366,"21,804",Charm Points
177,Bapster,Master Sorcerer,Premia,1181,"21,789",Charm Points
177,Vinigod Prox,Master Sorcerer,Ferobra,1398,"21,789",Charm Points
179,Szymonicx,Elite Knight,Refugia,1399,"21,774",Charm Points
180,Yunski,Royal Paladin,Secura,2142,"21,773",Charm Points
181,Adamsz,Elite Knight,Citra,1410,"21,768",Charm Points
182,Jon Ragnarson,Elite Knight,Secura,1286,"21,764",Charm Points
183,Vannak Wrath,Elder Druid,Gentebra,1302,"21,705",Charm Points
184,Rayo,Royal Paladin,Gentebra,2389,"21,683",Charm Points
185,Sujazip,Elder Druid,Rasteibra,1175,"21,664",Charm Points
186,Nimchy,Royal Paladin,Citra,1123,"21,659",Charm Points
186,Simchy,Elder Druid,Citra,1123,"21,659",Charm Points
188,Smartguy,Royal Paladin,Secura,1190,"21,634",Charm Points
189,Kamastinx,Elite Knight,Antica,945,"21,614",Charm Points
189,Thee Hugod,Elite Knight,Honbra,1179,"21,614",Charm Points
191,Nozferato,Master Sorcerer,Quelibra,1544,"21,597",Charm Points
192,Kharsek,Elite Knight,Gladera,1992,"21,589",Charm Points
193,Warglaiven,Royal Paladin,Kalibra,1839,"21,565",Charm Points
194,Sioy,Master Sorcerer,Ustebra,1072,"21,539",Charm Points
195,Clownfiesta Primetime,Elite Knight,Zuna,1417,"21,515",Charm Points
196,Rogal Waleczny,Elder Druid,Karmeya,1321,"21,499",Charm Points
197,Juankz,Elite Knight,Lobera,1299,"21,414",Charm Points
198,Pan Wujek Dziadek,Elder Druid,Karmeya,1157,"21,409",Charm Points
199,Champion Souls,Royal Paladin,Refugia,1084,"21,399",Charm Points
200,Maxigashi,Elite Knight,Secura,1126,"21,389",Charm Points
200,Siness,Elite Knight,Secura,1133,"21,389",Charm Points
202,Ruthless Mateo,Elite Knight,Karmeya,1661,"21,362",Charm Points
203,Big Time,Elite Knight,Quidera,1048,"21,359",Charm Points
204,Thara Dore,Elite Knight,Refugia,1103,"21,344",Charm Points
205,Arphaxad,Elder Druid,Wintera,1022,"21,339",Charm Points
206,Elite Ktengo,Elite Knight,Ferobra,1086,"21,309",Charm Points
206,Endo Sid,Royal Paladin,Xyla,1155,"21,309",Charm Points
208,Annaa Bella,Elder Druid,Premia,1194,"21,289",Charm Points
209,Zaku Palladyn,Royal Paladin,Monza,1198,"21,283",Charm Points
210,Xmake,Master Sorcerer,Peloria,1008,"21,264",Charm Points
211,Marcus Eon,Elite Knight,Thyria,916,"21,259",Charm Points
211,Zipper Soul Shade,Master Sorcerer,Karmeya,749,"21,259",Charm Points
213,Grisam,Elite Knight,Monstera,1394,"21,249",Charm Points
214,Seymour Blood,Master Sorcerer,Nevia,1394,"21,248",Charm Points
215,Khamir,Elder Druid,Harmonia,1028,"21,239",Charm Points
216,Diego Royal,Royal Paladin,Celebra,1198,"21,214",Charm Points
216,Nasty Kasper,Royal Paladin,Antica,1262,"21,214",Charm Points
218,Berfor,Elder Druid,Celesta,1393,"21,213",Charm Points
219,Dellani,Elder Druid,Celebra,1801,"21,190",Charm Points
220,Boba Addon,Elite Knight,Harmonia,1169,"21,169",Charm Points
221,Miss Petetoo,Elite Knight,Nevia,1171,"21,164",Charm Points
222,Strong Dimox,Elder Druid,Secura,860,"21,123",Charm Points
223,Khilleron,Elite Knight,Refugia,1200,"21,109",Charm Points
223,Smaczniakus,Elder Druid,Secura,905,"21,109",Charm Points
225,Popolos Paladino,Royal Paladin,Secura,899,"21,089",Charm Points
225,Zdenerwowana Lokomotywa,Royal Paladin,Dia,1042,"21,089",Charm Points
227,Matt Paladiin,Royal Paladin,Gentebra,1385,"21,070",Charm Points
228,Zarakson,Royal Paladin,Secura,1312,"21,064",Charm Points
229,Just Lucifer,Master Sorcerer,Bona,1751,"21,060",Charm Points
230,Leonel Royalheart,Royal Paladin,Yonabra,980,"21,050",Charm Points
231,Ki Yo,Elite Knight,Serdebra,1111,"21,039",Charm Points
232,Theresa Fisher,Elder Druid,Kalibra,1438,"21,033",Charm Points
233,Inappropriate Soul,Master Sorcerer,Secura,1284,"21,014",Charm Points
233,Olooz Rhaio,Elite Knight,Collabra,1388,"21,014",Charm Points
235,Dera Drevonus,Elder Druid,Calmera,978,"21,009",Charm Points
235,Nyraz,Elite Knight,Collabra,1373,"21,009",Charm Points
235,Uriel Simacek,Elite Knight,Kalibra,925,"21,009",Charm Points
238,Garfield Cat,Elite Knight,Dia,1243,"21,004",Charm Points
238,Skum Rayon,Royal Paladin,Luminera,1566,"21,004",Charm Points
240,Letter Black,Royal Paladin,Descubra,1249,"20,994",Charm Points
241,Cavots,Elite Knight,Ustebra,1025,"20,989",Charm Points
242,Johny Olympia,Elite Knight,Nevia,1126,"20,964",Charm Points
243,Bogus Apocalypse,Elder Druid,Refugia,831,"20,959",Charm Points
243,Ilutin Shar,Master Sorcerer,Yonabra,1019,"20,959",Charm Points
245,Ghost of Chimera,Royal Paladin,Solidera,1731,"20,934",Charm Points
246,Dolaa,Elite Knight,Bona,835,"20,909",Charm Points
246,Magier kalinowa,Elder Druid,Bona,835,"20,909",Charm Points
248,Jackson Knight,Elite Knight,Kalibra,1910,"20,904",Charm Points
249,Thraphik,Elder Druid,Kalibra,1041,"20,889",Charm Points
250,Rubenos,Elite Knight,Nevia,1012,"20,884",Charm Points
251,Markelito,Elite Knight,Celesta,1650,"20,874",Charm Points
252,Shiddenzinho,Royal Paladin,Gladibra,1228,"20,854",Charm Points
253,Nimue Lanuin,Elite Knight,Gentebra,1846,"20,845",Charm Points
254,Emaneq,Elder Druid,Bona,1088,"20,804",Charm Points
255,Serby,Royal Paladin,Nevia,1165,"20,789",Charm Points
256,Paul of Refugia,Master Sorcerer,Refugia,1183,"20,769",Charm Points
257,Sir Iguela,Elite Knight,Bona,1102,"20,764",Charm Points
258,Laylina,Master Sorcerer,Xyla,1019,"20,759",Charm Points
259,Ki Naitao Olim,Elite Knight,Belobra,2479,"20,754",Charm Points
260,Silent Kishi,Elite Knight,Yovera,1264,"20,739",Charm Points
260,Sweaty Kamish,Elite Knight,Secura,964,"20,739",Charm Points
262,Guii,Elite Knight,Celebra,2419,"20,734",Charm Points
263,Krysson,Royal Paladin,Vunira,1006,"20,714",Charm Points
264,Closedfriends Tigresa,Elder Druid,Jadebra,1080,"20,689",Charm Points
265,Hersior,Elite Knight,Gladera,1106,"20,685",Charm Points
266,Sassa de Belobra,Elite Knight,Belobra,767,"20,684",Charm Points
266,Setkia,Elite Knight,Premia,881,"20,684",Charm Points
268,Kilogramik Elite,Elite Knight,Nevia,1458,"20,683",Charm Points
269,Gohanoski,Royal Paladin,Pacera,1988,"20,674",Charm Points
270,Knajt Alfa,Elite Knight,Karmeya,815,"20,659",Charm Points
270,Ori Xer,Royal Paladin,Secura,735,"20,659",Charm Points
272,Vilela Vilao,Royal Paladin,Serdebra,1552,"20,655",Charm Points
273,Kubul,Royal Paladin,Peloria,787,"20,639",Charm Points
274,Igor,Elite Knight,Venebra,1185,"20,614",Charm Points
274,Tio Cidinho,Royal Paladin,Venebra,875,"20,614",Charm Points
276,Fury Mauzier,Royal Paladin,Descubra,1727,"20,604",Charm Points
277,Judge,Royal Paladin,Celebra,1896,"20,599",Charm Points
278,Brawox,Exalted Monk,Serdebra,712,"20,589",Charm Points
279,Nawtscout,Royal Paladin,Lobera,1652,"20,567",Charm Points
280,Enduroman,Elite Knight,Harmonia,1240,"20,559",Charm Points
281,Sihid Drakell,Elite Knight,Kalibra,1671,"20,557",Charm Points
282,Parih,Elite Knight,Lobera,1266,"20,544",Charm Points
283,Krek Phin,Master Sorcerer,Secura,1098,"20,534",Charm Points
284,Xavier Eon,Elder Druid,Thyria,732,"20,509",Charm Points
285,Viny Xintrex,Royal Paladin,Havera,1280,"20,505",Charm Points
286,Gudii,Elite Knight,Blumera,1344,"20,490",Charm Points
287,Arqueira Bronzeada,Royal Paladin,Kalibra,1505,"20,489",Charm Points
287,Kisiel Grillowany,Elite Knight,Premia,1274,"20,489",Charm Points
289,Arysa Amiz,Elder Druid,Harmonia,1094,"20,459",Charm Points
290,Triiui Da Legend,Royal Paladin,Thyria,1518,"20,440",Charm Points
291,Brobanana,Elite Knight,Peloria,809,"20,414",Charm Points
292,Siwy Brokul,Elder Druid,Secura,1465,"20,403",Charm Points
293,Theron Darax,Elite Knight,Yonabra,1495,"20,389",Charm Points
294,Olecraww,Elite Knight,Jadebra,1045,"20,364",Charm Points
295,Konii Tuptii,Elder Druid,Secura,880,"20,359",Charm Points
296,Demon Joselita,Royal Paladin,Quelibra,1151,"20,339",Charm Points
296,The Sauron,Elite Knight,Serdebra,1255,"20,339",Charm Points
298,Pomocnik Oxera,Royal Paladin,Celesta,1022,"20,334",Charm Points
299,Zdzi Siek,Master Sorcerer,Peloria,1657,"20,325",Charm Points
300,Naom,Elder Druid,Secura,852,"20,314",Charm Points
300,Tophigh Charmpoints,Master Sorcerer,Jadebra,1213,"20,314",Charm Points
302,Neo Enterprise,Royal Paladin,Collabra,1829,"20,290",Charm Points
303,Lord Marshals,Royal Paladin,Peloria,1629,"20,289",Charm Points
304,Crixus Fearless,Royal Paladin,Gentebra,1574,"20,284",Charm Points
304,Felipe Montez,Royal Paladin,Secura,1163,"20,284",Charm Points
306,Voolgam,Elite Knight,Serdebra,1078,"20,269",Charm Points
307,Slodka Ulcia,Royal Paladin,Secura,825,"20,259",Charm Points
308,Brunin Supremo,Elder Druid,Tornabra,1155,"20,239",Charm Points
308,Divine Hallux,Elite Knight,Oceanis,1226,"20,239",Charm Points
308,Ek leo,Elite Knight,Serdebra,1151,"20,239",Charm Points
308,Zaran,Royal Paladin,Bona,1585,"20,239",Charm Points
312,Fire Draggon,Elite Knight,Quintera,1323,"20,238",Charm Points
313,Afryt,Elder Druid,Nevia,1036,"20,214",Charm Points
313,Otti Ek,Elite Knight,Xymera,1383,"20,214",Charm Points
315,Capetinha Veiu,Elite Knight,Serdebra,924,"20,209",Charm Points
316,Wladek Slawek,Druid,Celesta,839,"20,205",Charm Points
317,True Sio Man,Elder Druid,Citra,1287,"20,200",Charm Points
318,Phait,Royal Paladin,Secura,1009,"20,189",Charm Points
319,Sklejkovvy,Master Sorcerer,Peloria,1033,"20,185",Charm Points
320,Holy Jack,Royal Paladin,Belobra,1267,"20,184",Charm Points
321,Kokiris,Elder Druid,Kalibra,1383,"20,169",Charm Points
322,Legenden Kurre,Master Sorcerer,Monza,1430,"20,166",Charm Points
323,Kronek,Royal Paladin,Firmera,1789,"20,164",Charm Points
324,Mix Validomil'fire,Elite Knight,Secura,891,"20,159",Charm Points
325,Amiatha,Master Sorcerer,Peloria,988,"20,149",Charm Points
326,Neziar,Royal Paladin,Nefera,1172,"20,148",Charm Points
327,Alex Duenodefirmera,Royal Paladin,Firmera,1609,"20,130",Charm Points
328,Dcko,Master Sorcerer,Secura,942,"20,114",Charm Points
329,Druid Kamyk,Elder Druid,Secura,927,"20,099",Charm Points
330,Picture,Elite Knight,Antica,969,"20,094",Charm Points
331,Guirpe,Royal Paladin,Issobra,1169,"20,089",Charm Points
331,Itz Teuz,Royal Paladin,Issobra,838,"20,089",Charm Points
331,Sedukor,Elite Knight,Thyria,1010,"20,089",Charm Points
334,Bentrox,Elite Knight,Astera,816,"20,064",Charm Points
334,Primo Levi,Royal Paladin,Refugia,1404,"20,064",Charm Points
336,Magic Charllie,Master Sorcerer,Luminera,879,"20,059",Charm Points
337,Orphen,Royal Paladin,Secura,1042,"20,054",Charm Points
338,Grzes Zabujca Smokuw,Royal Paladin,Xyla,1316,"20,053",Charm Points
339,Drekalla,Elder Druid,Xyla,774,"20,049",Charm Points
340,Nietoperko,Elite Knight,Harmonia,1120,"20,039",Charm Points
341,Strikiz,Elite Knight,Yonabra,1367,"19,999",Charm Points
342,Szujin,Master Sorcerer,Pacera,1350,"19,995",Charm Points
343,Vicyous,Elite Knight,Calmera,1616,"19,993",Charm Points
344,Don Bobo,Royal Paladin,Nevia,1042,"19,984",Charm Points
345,Errahnte,Elite Knight,Jadebra,1209,"19,979",Charm Points
345,Tyroks,Elder Druid,Premia,1073,"19,979",Charm Points
347,Anndo,Royal Paladin,Harmonia,1072,"19,973",Charm Points
348,Exterminador,Sorcerer,Inabra,1124,"19,963",Charm Points
349,Bruxa Acris,Elite Knight,Celebra,1146,"19,934",Charm Points
350,Naapadzior,Elder Druid,Celesta,1801,"19,933",Charm Points
351,Devzin,Royal Paladin,Celesta,2079,"19,927",Charm Points
352,Skunerx,Elite Knight,Belobra,1948,"19,914",Charm Points
353,Popicii,Elder Druid,Bona,1144,"19,910",Charm Points
354,Ruge,Elite Knight,Thyria,1421,"19,898",Charm Points
355,Brown Wood,Elite Knight,Nefera,1370,"19,894",Charm Points
356,Badwollfs,Elite Knight,Gentebra,1036,"19,889",Charm Points
357,Tigrokey,Elite Knight,Calmera,798,"19,884",Charm Points
358,Dani van Kessel,Royal Paladin,Antica,679,"19,864",Charm Points
359,Svperstar,Master Sorcerer,Dia,1160,"19,849",Charm Points
360,Hardcor,Sorcerer,Vunira,1193,"19,839",Charm Points
360,Nisom,Royal Paladin,Premia,921,"19,839",Charm Points
362,Wo Orales,Elder Druid,Luminera,1025,"19,834",Charm Points
363,Snow Pall,Royal Paladin,Citra,1388,"19,829",Charm Points
364,Bombardino Krocodilo,Master Sorcerer,Refugia,1356,"19,828",Charm Points
365,Now,Royal Paladin,Epoca,2117,"19,823",Charm Points
366,Dark Acelon,Master Sorcerer,Astera,1170,"19,815",Charm Points
367,Zaporkovsky,Elite Knight,Karmeya,975,"19,794",Charm Points
368,Partyboost,Royal Paladin,Vunira,2036,"19,790",Charm Points
369,Werewolf Shorti,Elite Knight,Secura,1322,"19,789",Charm Points
370,Sir Knoxville Slayer,Elite Knight,Celesta,771,"19,784",Charm Points
371,Surskallen,Elite Knight,Secura,1184,"19,779",Charm Points
372,Korn,Royal Paladin,Antica,664,"19,774",Charm Points
373,Fah Oli,Elder Druid,Gladera,1021,"19,764",Charm Points
373,Pro Feta,Master Sorcerer,Luminera,1302,"19,764",Charm Points
375,Prizs,Royal Paladin,Kalibra,1319,"19,759",Charm Points
376,Mirunga,Elder Druid,Antica,1704,"19,755",Charm Points
377,Durnita,Elder Druid,Secura,808,"19,739",Charm Points
378,Gebe Danadinho,Royal Paladin,Rasteibra,1697,"19,729",Charm Points
379,Stugaan,Elite Knight,Monstera,1382,"19,728",Charm Points
380,Dffoz,Elite Knight,Blumera,1372,"19,719",Charm Points
381,Apthia,Royal Paladin,Descubra,1081,"19,714",Charm Points
381,Kareka on quelibra,Royal Paladin,Quelibra,858,"19,714",Charm Points
383,Popular Lukinha,Elite Knight,Ustebra,781,"19,709",Charm Points
384,Ddtannk,Elite Knight,Yonabra,1575,"19,696",Charm Points
385,Ezudux,Royal Paladin,Gentebra,2039,"19,689",Charm Points
385,Robaz,Elder Druid,Secura,1377,"19,689",Charm Points
387,Ram Dazs,Master Sorcerer,Menera,1303,"19,687",Charm Points
388,Dardar Zamoldimor,Royal Paladin,Celesta,982,"19,664",Charm Points
388,Sayhttam,Master Sorcerer,Calmera,816,"19,664",Charm Points
