Rank,Name,Vocation,World,Level,Points,category,vocation_id
117,Kohaminha,Elder Druid,Nevia,1648,"22,430",Boss Points,0
119,Rayo,Royal Paladin,Gentebra,2372,"22,400",Boss Points,0
120,Lito Maldito,Elite Knight,Antica,1053,"22,395",Boss Points,0
121,Mendanha,Master Sorcerer,Belobra,1365,"22,360",Boss Points,0
122,Johny Abruzzi,Royal Paladin,Peloria,1035,"22,345",Boss Points,0
123,Alyn Tauradmoon,Elder Druid,Serdebra,1127,"22,325",Boss Points,0
123,Blackfang,Royal Paladin,Jadebra,791,"22,325",Boss Points,0
125,Firmoz,Royal Paladin,Ustebra,1145,"22,300",Boss Points,0
125,Jon Ragnarson,Elite Knight,Secura,1264,"22,300",Boss Points,0
127,Skyllaw,Elite Knight,Honbra,1053,"22,275",Boss Points,0
128,Natth Morza,Elite Knight,Secura,881,"22,235",Boss Points,0
129,Semeghi,Elite Knight,Kalibra,765,"22,220",Boss Points,0
130,Sujazip,Elder Druid,Rasteibra,1170,"22,205",Boss Points,0
130,Vampiro Marc,Elder Druid,Yonabra,1211,"22,205",Boss Points,0
132,Ironhide,Master Sorcerer,Quintera,1205,"22,200",Boss Points,0
133,Sijundis Maliamwen,Master Sorcerer,Thyria,1193,"22,195",Boss Points,0
134,Paladino Monte,Royal Paladin,Gentebra,1573,"22,185",Boss Points,0
135,Kubul,Royal Paladin,Peloria,772,"22,165",Boss Points,0
136,Max Fleury,Elite Knight,Celebra,2087,"22,150",Boss Points,0
137,Kekw Kure,Elder Druid,Inabra,532,"22,135",Boss Points,0
137,Strong Dimox,Elder Druid,Secura,853,"22,135",Boss Points,0
139,Nakral,Elder Druid,Jadebra,390,"22,115",Boss Points,0
140,El Iguana,Elder Druid,Menera,1089,"22,105",Boss Points,0
141,Halloiv,Elite Knight,Gentebra,1462,"22,100",Boss Points,0
142,Bloodrunk Leech,Exalted Monk,Lobera,897,"22,090",Boss Points,0
143,Nikovka,Elder Druid,Secura,934,"22,070",Boss Points,0
144,Lady van Mave,Elder Druid,Antica,866,"22,060",Boss Points,0
145,Alba Troz,Royal Paladin,Celebra,893,"22,055",Boss Points,0
146,Atia Viejo,Master Sorcerer,Menera,1382,"22,040",Boss Points,0
146,Ronda Rush,Royal Paladin,Nefera,1461,"22,040",Boss Points,0
148,Lakohutt,Master Sorcerer,Calmera,902,"22,035",Boss Points,0
149,Cybres Jack,Master Sorcerer,Celebra,1650,"22,005",Boss Points,0
150,Bambaryla Witek,Elder Druid,Thyria,1895,"21,995",Boss Points,0
151,Lady Nefy,Elite Knight,Nefera,1184,"21,975",Boss Points,0
152,Kiwikator,Master Sorcerer,Monza,1471,"21,935",Boss Points,0
153,Laniboi,Royal Paladin,Nevia,1276,"21,910",Boss Points,0
154,Galloperaa,Elite Knight,Issobra,1206,"21,890",Boss Points,0
154,Sir Dryn,Royal Paladin,Bona,984,"21,890",Boss Points,0
156,Nocny Kruk,Royal Paladin,Secura,1090,"21,885",Boss Points,0
157,Elder Reno,Elder Druid,Celesta,2456,"21,880",Boss Points,0
157,Varoos,Royal Paladin,Antica,948,"21,880",Boss Points,0
159,Romper ek,Elite Knight,Harmonia,888,"21,865",Boss Points,0
160,Niquit,Master Sorcerer,Antica,1705,"21,850",Boss Points,0
160,Nozferato,Master Sorcerer,Quelibra,1536,"21,850",Boss Points,0
162,Sevok Thaord,Royal Paladin,Bona,733,"21,835",Boss Points,0
163,Curandeiro Loyal,Elder Druid,Celebra,981,"21,825",Boss Points,0
163,Marizinhahh'Dragon,Master Sorcerer,Celebra,1150,"21,825",Boss Points,0
165,Bekx Dragonborn,Elite Knight,Jadebra,604,"21,810",Boss Points,0
166,Mush Kito,Royal Paladin,Kalibra,902,"21,800",Boss Points,0
167,Kainne,Elite Knight,Gentebra,961,"21,780",Boss Points,0
168,Energy Puff,Master Sorcerer,Premia,1155,"21,775",Boss Points,0
168,Gilby,Elder Druid,Gentebra,1429,"21,775",Boss Points,0
170,Zalina Myth,Elite Knight,Vunira,1193,"21,765",Boss Points,0
171,Kafkacoli,Elite Knight,Nevia,1069,"21,760",Boss Points,0
172,Hans Klok,Elder Druid,Bona,840,"21,745",Boss Points,0
173,Ploft Pluft,Elder Druid,Celebra,1413,"21,735",Boss Points,0
174,Maashii,Elder Druid,Secura,1037,"21,725",Boss Points,0
175,Dash Deluxe,Master Sorcerer,Secura,1658,"21,715",Boss Points,0
176,Aluxi,Master Sorcerer,Kalibra,1760,"21,710",Boss Points,0
177,Utsuro,Master Sorcerer,Secura,1461,"21,700",Boss Points,0
178,Qoda,Elite Knight,Secura,1027,"21,690",Boss Points,0
178,Tsu Tsu,Elite Knight,Secura,442,"21,690",Boss Points,0
180,Darkz Leo,Master Sorcerer,Gentebra,1879,"21,685",Boss Points,0
180,Kyos Mosus,Royal Paladin,Collabra,1012,"21,685",Boss Points,0
182,Hell Shakao,Elite Knight,Yonabra,701,"21,680",Boss Points,0
183,Alfadur Druid,Elder Druid,Yonabra,869,"21,675",Boss Points,0
184,Walder Martz,Royal Paladin,Nefera,1193,"21,665",Boss Points,0
185,Sassa de Belobra,Elite Knight,Belobra,756,"21,655",Boss Points,0
185,Surskallen,Elite Knight,Secura,1169,"21,655",Boss Points,0
187,Konyzz,Royal Paladin,Vunira,664,"21,650",Boss Points,0
188,Turyan,Royal Paladin,Descubra,1014,"21,645",Boss Points,0
189,Durahhh,Royal Paladin,Kalibra,1031,"21,635",Boss Points,0
190,Mallowana Ksiezniczka,Elite Knight,Celesta,1295,"21,625",Boss Points,0
191,Zaku Palladyn,Royal Paladin,Monza,1182,"21,615",Boss Points,0
192,Acabyh,Elder Druid,Celebra,1071,"21,610",Boss Points,0
193,Cropper Phale,Royal Paladin,Nevia,1638,"21,605",Boss Points,0
194,Theron guard,Royal Paladin,Astera,1316,"21,600",Boss Points,0
195,Brighid Grand Explorateur,Elite Knight,Yonabra,889,"21,585",Boss Points,0
195,Vicaor,Elder Druid,Honbra,607,"21,585",Boss Points,0
197,Kik Firmot,Master Sorcerer,Menera,1317,"21,580",Boss Points,0
197,Oswaldo Toxico,Royal Paladin,Kalibra,2035,"21,580",Boss Points,0
199,Bruno Abrasax,Elder Druid,Collabra,1398,"21,575",Boss Points,0
200,Aeranthir,Royal Paladin,Lobera,853,"21,560",Boss Points,0
200,Armin the Turtle,Elite Knight,Karmeya,916,"21,560",Boss Points,0
200,Distancehunter,Royal Paladin,Antica,634,"21,560",Boss Points,0
203,Javac,Royal Paladin,Nefera,853,"21,525",Boss Points,0
204,Ney Lucifer,Elder Druid,Pacera,824,"21,510",Boss Points,0
205,Nimue Lanuin,Elite Knight,Gentebra,1827,"21,500",Boss Points,0
206,Thoris Seph,Royal Paladin,Bona,631,"21,490",Boss Points,0
207,Fael Godlike,Elder Druid,Ourobra,1158,"21,485",Boss Points,0
208,Skumbel Thorous,Royal Paladin,Honbra,909,"21,470",Boss Points,0
209,Suuper-Till,Elder Druid,Yonabra,952,"21,460",Boss Points,0
210,Borracho Bailarin,Master Sorcerer,Havera,788,"21,450",Boss Points,0
211,Xuexi,Royal Paladin,Nevia,874,"21,435",Boss Points,0
212,Voolgam,Elite Knight,Serdebra,1069,"21,420",Boss Points,0
213,Pan Pietrucha,Elite Knight,Nevia,672,"21,410",Boss Points,0
214,Giant the Ripper,Elder Druid,Secura,1296,"21,365",Boss Points,0
215,Aran Gala,Elder Druid,Karmeya,922,"21,360",Boss Points,0
216,Starsza Siostra Pietruchy,Royal Paladin,Nevia,461,"21,355",Boss Points,0
217,Mrufff,Royal Paladin,Karmeya,905,"21,350",Boss Points,0
217,Ramona Toledo,Royal Paladin,Serdebra,1012,"21,350",Boss Points,0
219,Diinoco,Elder Druid,Gentebra,1142,"21,340",Boss Points,0
220,Eriick Impossible,Elite Knight,Gentebra,1498,"21,310",Boss Points,0
221,Kalejann,Royal Paladin,Bona,962,"21,300",Boss Points,0
222,Berfor,Elder Druid,Celesta,1379,"21,285",Boss Points,0
223,Silent Sentinel,Royal Paladin,Kalibra,728,"21,280",Boss Points,0
224,Pan Wujek Dziadek,Elder Druid,Karmeya,1135,"21,275",Boss Points,0
225,Mareecki,Master Sorcerer,Harmonia,1308,"21,245",Boss Points,0
226,Aszur Askara,Royal Paladin,Antica,730,"21,235",Boss Points,0
227,Meliodasama,Elite Knight,Descubra,1091,"21,225",Boss Points,0
228,Tchaaa,Elder Druid,Gentebra,1915,"21,215",Boss Points,0
229,King Danter,Elite Knight,Celesta,2394,"21,175",Boss Points,0
230,Veldue,Royal Paladin,Monza,727,"21,170",Boss Points,0
231,Itz Skols,Royal Paladin,Thyria,613,"21,155",Boss Points,0
232,Garlek,Elite Knight,Calmera,782,"21,150",Boss Points,0
233,Fester Adams,Elite Knight,Belobra,811,"21,125",Boss Points,0
234,Ya Adik,Elite Knight,Collabra,1772,"21,120",Boss Points,0
235,Dagor Zomi,Royal Paladin,Premia,863,"21,090",Boss Points,0
236,Ka Rio Ka,Elite Knight,Descubra,568,"21,070",Boss Points,0
237,Maxigashi,Elite Knight,Secura,1114,"21,055",Boss Points,0
237,Padre Invierno,Elder Druid,Luminera,1791,"21,055",Boss Points,0
239,Boy Ousado,Elder Druid,Obscubra,1532,"21,050",Boss Points,0
240,Prizs,Royal Paladin,Kalibra,1315,"21,035",Boss Points,0
241,Haarin,Elder Druid,Monza,1720,"21,030",Boss Points,0
241,Pai Do Meufilhu,Royal Paladin,Honbra,1284,"21,030",Boss Points,0
243,Aritmancia,Elder Druid,Wintera,1433,"21,025",Boss Points,0
244,Czarujacyy,Master Sorcerer,Karmeya,1434,"21,015",Boss Points,0
244,Felipe Montez,Royal Paladin,Secura,1147,"21,015",Boss Points,0
246,Driftmoon,Royal Paladin,Secura,615,"21,010",Boss Points,0
246,Igok Sorceck,Master Sorcerer,Quelibra,1058,"21,010",Boss Points,0
248,Estireno,Royal Paladin,Solidera,730,"21,005",Boss Points,0
249,Toon Arma,Elder Druid,Secura,1169,"21,000",Boss Points,0
250,Eddison,Royal Paladin,Vunira,766,"20,995",Boss Points,0
250,Sir Pagnussatt,Royal Paladin,Issobra,888,"20,995",Boss Points,0
252,Archangel Elementalis,Master Sorcerer,Venebra,692,"20,985",Boss Points,0
253,Averlo,Elder Druid,Bona,1259,"20,955",Boss Points,0
254,Mithrandil,Royal Paladin,Antica,724,"20,935",Boss Points,0
255,Infernity Des Gunman,Elite Knight,Peloria,867,"20,920",Boss Points,0
256,Mente Brilhante,Royal Paladin,Gentebra,887,"20,910",Boss Points,0
257,Chinese Fighting,Elder Druid,Lobera,1261,"20,905",Boss Points,0
258,Tiroz,Elite Knight,Gentebra,871,"20,895",Boss Points,0
259,Lethalzinho Frost,Elder Druid,Etebra,1058,"20,890",Boss Points,0
259,Trapalhon,Master Sorcerer,Descubra,1158,"20,890",Boss Points,0
261,Knightis,Elite Knight,Karmeya,1192,"20,885",Boss Points,0
262,Tarmon Gai Don,Elder Druid,Peloria,1284,"20,875",Boss Points,0
263,Delirium Tremen,Royal Paladin,Astera,638,"20,845",Boss Points,0
263,Lombrado Rush,Royal Paladin,Ferobra,993,"20,845",Boss Points,0
265,Darkside the ghost,Elite Knight,Bona,1516,"20,830",Boss Points,0
265,Royal Raczkoo,Royal Paladin,Thyria,1063,"20,830",Boss Points,0
267,Albino the Insane,Elite Knight,Ustebra,782,"20,825",Boss Points,0
268,Trouble Moh Paz,Elder Druid,Issobra,1087,"20,815",Boss Points,0
269,Mitsuhashi Takashi,Elite Knight,Issobra,785,"20,810",Boss Points,0
270,Ar Rogante,Royal Paladin,Collabra,1280,"20,785",Boss Points,0
270,Libi,Elite Knight,Lobera,1268,"20,785",Boss Points,0
272,Dani van Kessel,Royal Paladin,Antica,679,"20,780",Boss Points,0
272,Dragon Higa,Royal Paladin,Issobra,1043,"20,780",Boss Points,0
274,Ricardao Prime,Royal Paladin,Gravitera,1146,"20,775",Boss Points,0
274,Shinai,Elite Knight,Refugia,840,"20,775",Boss Points,0
276,Tengil,Master Sorcerer,Secura,1311,"20,745",Boss Points,0
277,Avarr,Royal Paladin,Premia,1465,"20,720",Boss Points,0
277,Druid Anders,Elder Druid,Inabra,1266,"20,720",Boss Points,0
279,Kuubiq,Royal Paladin,Thyria,1952,"20,710",Boss Points,0
279,Queen Liss,Elder Druid,Lutabra,1461,"20,710",Boss Points,0
281,Enduroman,Elite Knight,Harmonia,1233,"20,705",Boss Points,0
281,Seth Gleim,Elite Knight,Ustebra,1198,"20,705",Boss Points,0
283,Defekt Muzgo,Elite Knight,Epoca,913,"20,695",Boss Points,0
283,Yalder,Royal Paladin,Bona,1062,"20,695",Boss Points,0
285,Royal Gotico,Royal Paladin,Monza,1707,"20,690",Boss Points,0
286,Axtkopf,Elite Knight,Antica,730,"20,680",Boss Points,0
287,Ivans Meraki,Master Sorcerer,Ourobra,1189,"20,675",Boss Points,0
288,Luke Lockdown,Master Sorcerer,Collabra,1272,"20,665",Boss Points,0
289,Jay Assassin,Elite Knight,Nevia,1346,"20,645",Boss Points,0
290,Paul Ed,Elder Druid,Secura,1385,"20,640",Boss Points,0
291,Paladiin Exodia,Royal Paladin,Celesta,1108,"20,630",Boss Points,0
292,Sio Rumak,Elder Druid,Xyla,1326,"20,615",Boss Points,0
293,Axnavar,Royal Paladin,Secura,604,"20,590",Boss Points,0
293,Neggich,Master Sorcerer,Havera,1493,"20,590",Boss Points,0
295,Xind Wizak,Royal Paladin,Karmeya,899,"20,585",Boss Points,0
296,Szymcajs,Royal Paladin,Bona,979,"20,575",Boss Points,0
297,Juar konfident,Elder Druid,Refugia,1000,"20,570",Boss Points,0
298,Askandar,Royal Paladin,Belobra,735,"20,560",Boss Points,0
299,Exona Elexa,Elite Knight,Kalibra,596,"20,555",Boss Points,0
299,Hans Klops Schiller,Elite Knight,Xyla,1110,"20,555",Boss Points,0
299,Lermadc,Royal Paladin,Lobera,807,"20,555",Boss Points,0
299,Thas Agria,Elite Knight,Rasteibra,969,"20,555",Boss Points,0
303,Bane Brate,Elite Knight,Karmeya,857,"20,550",Boss Points,0
304,Colombo,Elite Knight,Secura,1513,"20,535",Boss Points,0
305,Arwel Taura,Royal Paladin,Bona,1070,"20,530",Boss Points,0
306,Czterolistny Pajak,Elite Knight,Refugia,1164,"20,510",Boss Points,0
307,Zipper Soul Shade,Master Sorcerer,Karmeya,730,"20,505",Boss Points,0
308,Atmosphera,Royal Paladin,Menera,1131,"20,500",Boss Points,0
308,Drunkzzera,Elite Knight,Yonabra,1059,"20,500",Boss Points,0
308,Lalo heavy carrasco,Master Sorcerer,Pacera,728,"20,500",Boss Points,0
311,Ek leo,Elite Knight,Serdebra,1147,"20,490",Boss Points,0
312,Phoenix Kato,Royal Paladin,Yonabra,1214,"20,475",Boss Points,0
313,Lizard Racoon,Master Sorcerer,Quintera,805,"20,470",Boss Points,0
314,Trazker,Elite Knight,Celebra,1057,"20,465",Boss Points,0
315,Keirissa,Elite Knight,Secura,1210,"20,460",Boss Points,0
316,Kiikesz,Elite Knight,Wintera,1083,"20,450",Boss Points,0
316,Megell,Royal Paladin,Nefera,996,"20,450",Boss Points,0
318,Hat Tori,Master Sorcerer,Antica,891,"20,435",Boss Points,0
319,King Silverfeather,Elite Knight,Ferobra,902,"20,400",Boss Points,0
319,Krueger,Elite Knight,Kalibra,1446,"20,400",Boss Points,0
321,Alfonses,Royal Paladin,Vunira,779,"20,375",Boss Points,0
322,Cencik Druid,Elder Druid,Refugia,899,"20,365",Boss Points,0
323,Klopsztanga,Elite Knight,Secura,1114,"20,360",Boss Points,0
324,Zohry,Elite Knight,Belobra,836,"20,340",Boss Points,0
325,Torkel Ironman,Elite Knight,Issobra,738,"20,335",Boss Points,0
326,Mage Sunmi,Master Sorcerer,Venebra,1489,"20,330",Boss Points,0
327,Swiftcast Boy,Elder Druid,Quelibra,1066,"20,320",Boss Points,0
328,Pu,Elder Druid,Lobera,1680,"20,305",Boss Points,0
329,Danfuz,Royal Paladin,Celebra,900,"20,300",Boss Points,0
330,Amy Winehousse,Elite Knight,Celebra,867,"20,295",Boss Points,0
330,Siamix,Elite Knight,Quelibra,900,"20,295",Boss Points,0
330,Xedotto,Elder Druid,Karmeya,1420,"20,295",Boss Points,0
333,Sborr,Royal Paladin,Jadebra,704,"20,290",Boss Points,0
334,Luconn,Elite Knight,Secura,1171,"20,285",Boss Points,0
335,Bu uzz,Elder Druid,Serdebra,1905,"20,280",Boss Points,0
335,Shiddenzinho,Royal Paladin,Gladibra,1220,"20,280",Boss Points,0
337,Charlover Monty,Royal Paladin,Antica,966,"20,275",Boss Points,0
338,Atryan,Royal Paladin,Gentebra,1103,"20,270",Boss Points,0
338,Tintin Hulk,Elite Knight,Rasteibra,1802,"20,270",Boss Points,0
340,Ree Nan,Elder Druid,Inabra,996,"20,260",Boss Points,0
341,Mirotth,Elite Knight,Belobra,1969,"20,255",Boss Points,0
342,Kisiel Grillowany,Elite Knight,Premia,1268,"20,250",Boss Points,0
343,Mouhh,Elite Knight,Vunira,1317,"20,235",Boss Points,0
344,Aurora Lily,Elite Knight,Wintera,1177,"20,230",Boss Points,0
344,John Mcgyver,Elite Knight,Yonabra,978,"20,230",Boss Points,0
346,Lady Himiko,Royal Paladin,Karmeya,935,"20,225",Boss Points,0
346,Niallycl,Master Sorcerer,Belobra,467,"20,225",Boss Points,0
348,Ziib,Elder Druid,Vunira,726,"20,205",Boss Points,0
349,Darelo Palestrino,Royal Paladin,Gentebra,1189,"20,195",Boss Points,0
350,Baronkz,Royal Paladin,Bona,1049,"20,190",Boss Points,0
351,Puner,Master Sorcerer,Ustebra,916,"20,180",Boss Points,0
351,Quiet,Royal Paladin,Epoca,1133,"20,180",Boss Points,0
353,Kua Drado,Royal Paladin,Ferobra,1026,"20,160",Boss Points,0
353,Pecador do Sioo,Elder Druid,Jadebra,518,"20,160",Boss Points,0
355,Lord Lanister,Royal Paladin,Celebra,1036,"20,140",Boss Points,0
356,Atsuhike,Elder Druid,Belobra,968,"20,135",Boss Points,0
356,Tuxe Old,Elite Knight,Ombra,944,"20,135",Boss Points,0
358,Dark Lord Morpheu,Elite Knight,Yonabra,1044,"20,125",Boss Points,0
358,Princeps in Gladio,Elite Knight,Nevia,1105,"20,125",Boss Points,0
358,Seymour Blood,Master Sorcerer,Nevia,1375,"20,125",Boss Points,0
361,Kaszinho,Royal Paladin,Tornabra,1170,"20,120",Boss Points,0
362,Khilleron,Elite Knight,Refugia,1193,"20,115",Boss Points,0
363,Quakkap,Master Sorcerer,Vunira,1293,"20,110",Boss Points,0
364,Xag The Archer,Royal Paladin,Calmera,955,"20,105",Boss Points,0
365,Corsus Brate,Royal Paladin,Karmeya,726,"20,100",Boss Points,0
366,Njorn,Master Sorcerer,Yonabra,1765,"20,090",Boss Points,0
367,Ginowi,Royal Paladin,Monza,2010,"20,085",Boss Points,0
368,Aarais,Elder Druid,Refugia,1157,"20,080",Boss Points,0
368,Dad Glon,Royal Paladin,Karmeya,1496,"20,080",Boss Points,0
