Rank,Name,Vocation,World,Level,Score,category,vocation_id
79,Lukas,Elder Druid,Inabra,1642,"9,713",Drome Score,0
80,Nimue Lanuin,Elite Knight,Gentebra,1827,"9,710",Drome Score,0
81,Caaok,Royal Paladin,Belobra,2093,"9,693",Drome Score,0
82,Venoox,Royal Paladin,Celesta,2272,"9,671",Drome Score,0
83,Lady Venganza,Master Sorcerer,Calmera,1927,"9,645",Drome Score,0
84,Paperhouse,Elite Knight,Pacera,1570,"9,644",Drome Score,0
85,Bullistic,Royal Paladin,Lobera,1401,"9,635",Drome Score,0
86,Guii,Elite Knight,Celebra,2403,"9,565",Drome Score,0
87,King Infinytum,Elite Knight,Yonabra,2202,"9,560",Drome Score,0
88,Radizao,Elite Knight,Collabra,2162,"9,551",Drome Score,0
89,Melxaar,Royal Paladin,Bona,1807,"9,543",Drome Score,0
90,Thor Fin Camisadez,Master Sorcerer,Honbra,1765,"9,540",Drome Score,0
91,Magiczny,Master Sorcerer,Refugia,2206,"9,538",Drome Score,0
91,Medicaux,Elder Druid,Celesta,2290,"9,538",Drome Score,0
93,Mirunga,Elder Druid,Antica,1704,"9,525",Drome Score,0
94,Antony Everdash,Royal Paladin,Quintera,1640,"9,511",Drome Score,0
95,Royal Kado,Royal Paladin,Secura,1255,"9,507",Drome Score,0
96,Fastshot,Royal Paladin,Refugia,2057,"9,503",Drome Score,0
97,Altron Lijawyn,Elite Knight,Astera,1478,"9,471",Drome Score,0
98,Xivana,Elder Druid,Peloria,1554,"9,466",Drome Score,0
99,Stugaan,Elite Knight,Gravitera,1377,"9,450",Drome Score,0
100,Theron guard,Royal Paladin,Astera,1316,"9,445",Drome Score,0
101,Kazikk,Elder Druid,Peloria,1629,"9,438",Drome Score,0
102,Veyllor,Royal Paladin,Gentebra,2845,"9,415",Drome Score,0
103,Adomiro,Royal Paladin,Ferobra,1524,"9,408",Drome Score,0
104,Dakota,Elite Knight,Esmera,1621,"9,404",Drome Score,0
105,Sinsor,Royal Paladin,Vunira,1592,"9,399",Drome Score,0
106,Gesiian,Elite Knight,Kalibra,1742,"9,389",Drome Score,0
107,Zwrot Podatku,Royal Paladin,Xyla,1135,"9,370",Drome Score,0
108,Radraz,Royal Paladin,Vunira,1369,"9,367",Drome Score,0
109,Lemous Arargelf,Elder Druid,Quintera,1033,"9,359",Drome Score,0
110,Gugo Of Bolt,Royal Paladin,Astera,1500,"9,341",Drome Score,0
111,Slayer Prowler,Royal Paladin,Menera,1171,"9,331",Drome Score,0
112,Danilozs,Elder Druid,Issobra,2303,"9,319",Drome Score,0
113,Myrkz,Royal Paladin,Lobera,1513,"9,315",Drome Score,0
114,Druidek Mok,Elder Druid,Luminera,1489,"9,303",Drome Score,0
115,Skunerx,Elite Knight,Belobra,1933,"9,298",Drome Score,0
116,Ja co,Elite Knight,Refugia,2085,"9,297",Drome Score,0
117,Hulk Tacadordebolt,Royal Paladin,Venebra,2237,"9,286",Drome Score,0
118,Humble Victor,Elder Druid,Talera,1730,"9,273",Drome Score,0
119,Arterossy,Royal Paladin,Thyria,1498,"9,270",Drome Score,0
120,Meexi,Royal Paladin,Dia,1788,"9,256",Drome Score,0
121,Admiiral Gwiezdnej Floty,Royal Paladin,Zuna,1161,"9,248",Drome Score,0
122,Sorin Inevitavel,Elder Druid,Honbra,1574,"9,239",Drome Score,0
123,Zmuts,Master Sorcerer,Monza,1898,"9,232",Drome Score,0
124,Lord Marshals,Royal Paladin,Peloria,1612,"9,211",Drome Score,0
125,Josipano,Elite Knight,Inabra,1059,"9,207",Drome Score,0
126,Khilleron,Elite Knight,Refugia,1193,"9,171",Drome Score,0
127,Lily Doll,Elite Knight,Quintera,1072,"9,163",Drome Score,0
128,Sir All Migth,Royal Paladin,Yovera,1798,"9,161",Drome Score,0
129,Gakild,Royal Paladin,Yonabra,1604,"9,156",Drome Score,0
130,Dis Seb,Master Sorcerer,Firmera,1369,"9,138",Drome Score,0
131,Flanbers Penn,Royal Paladin,Yonabra,1849,"9,123",Drome Score,0
132,Magico Mago,Master Sorcerer,Nefera,1380,"9,121",Drome Score,0
133,Sir Yertxka,Elite Knight,Yovera,1132,"9,084",Drome Score,0
134,Nawtscout,Royal Paladin,Lobera,1647,"9,073",Drome Score,0
135,Ioo,Elder Druid,Astera,1225,"9,072",Drome Score,0
136,Kyru,Master Sorcerer,Venebra,1834,"9,068",Drome Score,0
137,Bambaryla Witek,Elder Druid,Thyria,1895,"9,041",Drome Score,0
138,Alosirb Nosduh,Elder Druid,Yovera,969,"9,001",Drome Score,0
139,Diabelski aniolek,Master Sorcerer,Harmonia,1350,"8,996",Drome Score,0
140,Alsa Himm,Elder Druid,Harmonia,1634,"8,974",Drome Score,0
141,Fireglass,Elite Knight,Menera,1241,"8,973",Drome Score,0
142,Sillnyy,Elder Druid,Bona,1805,"8,964",Drome Score,0
143,Slechvalk,Royal Paladin,Astera,1292,"8,962",Drome Score,0
144,Cellus,Elite Knight,Menera,977,"8,959",Drome Score,0
145,Mazzeriin,Royal Paladin,Karmeya,2371,"8,947",Drome Score,0
146,Bobolica,Master Sorcerer,Harmonia,919,"8,942",Drome Score,0
146,Kohaminha,Elder Druid,Nevia,1648,"8,942",Drome Score,0
148,Zyro'flame,Master Sorcerer,Secura,1411,"8,933",Drome Score,0
149,Ragha Healer,Elder Druid,Kalibra,1998,"8,928",Drome Score,0
150,Mah Theuzs,Elder Druid,Ombra,1153,"8,925",Drome Score,0
151,Cabelo Bawall,Royal Paladin,Ferobra,1442,"8,920",Drome Score,0
152,Maaziinha,Elder Druid,Pacera,1803,"8,906",Drome Score,0
153,Lady Caqui,Royal Paladin,Nefera,984,"8,904",Drome Score,0
154,Aritmancia,Elder Druid,Wintera,1433,"8,896",Drome Score,0
155,Orle Gniazdo,Elite Knight,Antica,1727,"8,892",Drome Score,0
156,Norbuss,Elite Knight,Malivora,1286,"8,874",Drome Score,0
157,Yamaanek,Elder Druid,Monza,2039,"8,871",Drome Score,0
158,Dukz Paladin,Royal Paladin,Kalibra,1512,"8,869",Drome Score,0
159,Verfix,Elder Druid,Ustebra,2019,"8,842",Drome Score,0
160,Alex Froggy,Royal Paladin,Vunira,1481,"8,840",Drome Score,0
161,Grzesio rasiak,Master Sorcerer,Vunira,914,"8,838",Drome Score,0
162,Jazhi,Royal Paladin,Venebra,1752,"8,805",Drome Score,0
163,Destemido Corporation,Royal Paladin,Issobra,2055,"8,803",Drome Score,0
164,Raul Locomia,Elite Knight,Quelibra,1571,"8,798",Drome Score,0
165,Boba Addon,Elite Knight,Harmonia,1153,"8,790",Drome Score,0
166,Jazh,Elder Druid,Venebra,2056,"8,780",Drome Score,0
167,Ginowi,Royal Paladin,Monza,2010,"8,776",Drome Score,0
167,Miki Greg,Royal Paladin,Descubra,1371,"8,776",Drome Score,0
169,Hikeppo,Royal Paladin,Menera,1514,"8,769",Drome Score,0
170,Elvenor,Royal Paladin,Celesta,1333,"8,764",Drome Score,0
171,Revealed,Royal Paladin,Epoca,2101,"8,762",Drome Score,0
172,Dragom Ball,Master Sorcerer,Talera,1764,"8,750",Drome Score,0
173,Bu uzz,Elder Druid,Serdebra,1905,"8,737",Drome Score,0
174,Enduroman,Elite Knight,Harmonia,1233,"8,735",Drome Score,0
175,Poppel the knight,Elite Knight,Peloria,1407,"8,729",Drome Score,0
176,Alko Popiool,Elite Knight,Malivora,1309,"8,707",Drome Score,0
176,Estrelynha,Royal Paladin,Celebra,1397,"8,707",Drome Score,0
178,Sir Iguela,Elite Knight,Bona,1103,"8,699",Drome Score,0
179,Andy Mustang,Royal Paladin,Belobra,1882,"8,692",Drome Score,0
180,Dash Deluxe,Master Sorcerer,Secura,1658,"8,690",Drome Score,0
180,Heller Strahl,Royal Paladin,Yovera,863,"8,690",Drome Score,0
182,Kazuya Maszyna,Royal Paladin,Secura,1351,"8,688",Drome Score,0
183,Errahnte,Elite Knight,Jadebra,1202,"8,681",Drome Score,0
184,Lancellotz,Elite Knight,Descubra,1705,"8,665",Drome Score,0
185,Remek Ajan,Elite Knight,Peloria,1588,"8,659",Drome Score,0
185,Shidden,Royal Paladin,Gladibra,1287,"8,659",Drome Score,0
187,Valiant Coseran,Royal Paladin,Yovera,1402,"8,653",Drome Score,0
188,Shay Jomyne,Elder Druid,Celebra,1384,"8,644",Drome Score,0
189,Rudi True Asura,Royal Paladin,Peloria,818,"8,638",Drome Score,0
190,Yunski,Royal Paladin,Secura,2142,"8,630",Drome Score,0
191,Patoled,Elder Druid,Bona,1319,"8,609",Drome Score,0
192,Catando Pata Urso,Elite Knight,Kalibra,1220,"8,605",Drome Score,0
193,Keruk,Elite Knight,Yonabra,1441,"8,601",Drome Score,0
194,Karrigaan,Elite Knight,Descubra,969,"8,572",Drome Score,0
195,Masterpali,Royal Paladin,Ferobra,1858,"8,570",Drome Score,0
196,Kratoz Dragon,Elite Knight,Havera,1139,"8,564",Drome Score,0
196,Tommy'Bolter,Royal Paladin,Thyria,1100,"8,564",Drome Score,0
198,Pava,Elder Druid,Monza,866,"8,550",Drome Score,0
199,Belintina,Master Sorcerer,Refugia,1624,"8,543",Drome Score,0
200,Izzy The Beast,Elder Druid,Celebra,2604,"8,522",Drome Score,0
201,Tiger Backwoods,Master Sorcerer,Quidera,1087,"8,521",Drome Score,0
202,Cruzader Of The Plains,Royal Paladin,Quintera,1219,"8,519",Drome Score,0
203,Demn,Royal Paladin,Luminera,1892,"8,517",Drome Score,0
204,Asmitank Friolla,Royal Paladin,Jadebra,1515,"8,514",Drome Score,0
204,Xtruh Venom,Elder Druid,Quintera,1617,"8,514",Drome Score,0
206,Vepem,Master Sorcerer,Lobera,1184,"8,504",Drome Score,0
207,Skye Rock,Master Sorcerer,Lobera,1045,"8,496",Drome Score,0
208,Kaszinho,Royal Paladin,Tornabra,1170,"8,490",Drome Score,0
209,Yoasobi,Master Sorcerer,Yonabra,1983,"8,483",Drome Score,0
210,Big Boss Revival,Elite Knight,Premia,1808,"8,482",Drome Score,0
211,Tiroz,Elite Knight,Gentebra,871,"8,474",Drome Score,0
212,Elv'en hunter,Royal Paladin,Menera,951,"8,463",Drome Score,0
212,Thol Feno,Elite Knight,Harmonia,876,"8,463",Drome Score,0
214,Huxy,Elite Knight,Secura,1244,"8,457",Drome Score,0
215,Muscurito Ki Insane,Royal Paladin,Menera,1418,"8,438",Drome Score,0
216,Zaku Palladyn,Royal Paladin,Monza,1182,"8,434",Drome Score,0
217,Krazy Rootz,Royal Paladin,Celebra,1618,"8,425",Drome Score,0
218,Dudopix Worldwide,Elite Knight,Ferobra,2364,"8,422",Drome Score,0
219,Jan Zlote Serce,Royal Paladin,Refugia,1858,"8,421",Drome Score,0
220,Ano Vix,Elder Druid,Gravitera,1103,"8,415",Drome Score,0
221,Creitiin,Elder Druid,Belobra,1745,"8,407",Drome Score,0
222,Na gash,Royal Paladin,Monza,1846,"8,406",Drome Score,0
223,Lady Nathii,Elite Knight,Yonabra,1373,"8,398",Drome Score,0
224,Lunatic Princess,Elite Knight,Celesta,2181,"8,396",Drome Score,0
224,Rekor,Royal Paladin,Secura,1649,"8,396",Drome Score,0
226,Dudu,Elder Druid,Belobra,1910,"8,395",Drome Score,0
227,Markelito,Elite Knight,Celesta,1634,"8,384",Drome Score,0
228,Nevropz Toxico,Elder Druid,Kalibra,2314,"8,383",Drome Score,0
229,Bilokasz,Elder Druid,Gladera,1756,"8,382",Drome Score,0
229,Cloud Cronos,Elder Druid,Harmonia,2026,"8,382",Drome Score,0
231,Larri,Royal Paladin,Gladera,1370,"8,381",Drome Score,0
232,Trullen,Elder Druid,Celesta,2025,"8,374",Drome Score,0
233,Dudopix Enterprise,Elder Druid,Ferobra,1956,"8,372",Drome Score,0
234,Paramagnetyk,Elite Knight,Monza,1168,"8,369",Drome Score,0
235,Nyge,Elite Knight,Antica,1632,"8,367",Drome Score,0
236,Madjo,Elite Knight,Malivora,1176,"8,357",Drome Score,0
237,Arknsz,Elite Knight,Venebra,2168,"8,356",Drome Score,0
238,Atere Sillio,Royal Paladin,Secura,1046,"8,355",Drome Score,0
239,Smooth Hardstyle,Master Sorcerer,Ferobra,1529,"8,351",Drome Score,0
240,Elder Fiera,Elder Druid,Secura,1200,"8,350",Drome Score,0
241,Shiddenzinho,Royal Paladin,Gladibra,1220,"8,345",Drome Score,0
242,Wells Dreyar,Master Sorcerer,Calmera,1100,"8,338",Drome Score,0
243,Daverlito,Royal Paladin,Bona,1815,"8,328",Drome Score,0
244,From the Sephi,Royal Paladin,Bona,1052,"8,325",Drome Score,0
245,Exidysz,Royal Paladin,Honbra,1940,"8,323",Drome Score,0
246,Mia Moonshine,Royal Paladin,Epoca,1360,"8,312",Drome Score,0
247,Cubbii,Royal Paladin,Celesta,1455,"8,311",Drome Score,0
248,Ares Coldhands,Royal Paladin,Inabra,1368,"8,309",Drome Score,0
249,Baudao,Master Sorcerer,Serdebra,1727,"8,302",Drome Score,0
250,Overaw,Master Sorcerer,Ferobra,1466,"8,300",Drome Score,0
251,Simus Siger,Elite Knight,Talera,1067,"8,296",Drome Score,0
252,Cirus Toxico,Master Sorcerer,Kalibra,2275,"8,290",Drome Score,0
253,Elder Pajji,Elder Druid,Thyria,1767,"8,286",Drome Score,0
254,Dextro Kogz,Master Sorcerer,Monza,2119,"8,281",Drome Score,0
255,Jackh,Elder Druid,Serdebra,1558,"8,278",Drome Score,0
256,Giant the Ripper,Elder Druid,Secura,1296,"8,275",Drome Score,0
257,Dark Blood Of Honera,Master Sorcerer,Nefera,1392,"8,267",Drome Score,0
258,Reo Light,Royal Paladin,Vunira,1366,"8,264",Drome Score,0
258,Zezinho Fallout,Royal Paladin,Ourobra,1952,"8,264",Drome Score,0
260,Biel Schneider,Elder Druid,Inabra,1989,"8,244",Drome Score,0
260,Tastdingo,Elder Druid,Solidera,1606,"8,244",Drome Score,0
262,Murilon Hardtimes,Elder Druid,Collabra,2104,"8,238",Drome Score,0
263,Baianera,Elite Knight,Solidera,675,"8,237",Drome Score,0
264,Mattwin Firma Forte,Elder Druid,Etebra,2051,"8,234",Drome Score,0
264,Nicki Nightflower,Elite Knight,Epoca,1157,"8,234",Drome Score,0
266,Artur Ble,Royal Paladin,Malivora,1248,"8,222",Drome Score,0
266,Lulatz,Elite Knight,Pacera,1069,"8,222",Drome Score,0
268,Captain Gufi,Elder Druid,Refugia,1997,"8,218",Drome Score,0
269,Nemphi,Royal Paladin,Xyla,1377,"8,216",Drome Score,0
270,Turion Templar,Elite Knight,Vunira,620,"8,215",Drome Score,0
271,Izene Asti,Elite Knight,Monza,1031,"8,209",Drome Score,0
272,Aervax,Elite Knight,Peloria,799,"8,204",Drome Score,0
273,Sir Zasolix,Elite Knight,Firmera,720,"8,201",Drome Score,0
274,Mazza Nohands,Royal Paladin,Thyria,1689,"8,198",Drome Score,0
275,Drackule,Elder Druid,Refugia,2399,"8,191",Drome Score,0
276,Tankes,Elite Knight,Premia,1407,"8,187",Drome Score,0
277,Vengelz,Elite Knight,Descubra,2310,"8,175",Drome Score,0
278,Mad Tobbe,Elder Druid,Quelibra,1097,"8,169",Drome Score,0
279,Fernizx,Master Sorcerer,Luminera,2142,"8,151",Drome Score,0
280,Dabam,Master Sorcerer,Refugia,1569,"8,146",Drome Score,0
281,Joelcio,Royal Paladin,Obscubra,1535,"8,144",Drome Score,0
282,Kafkacoli,Elite Knight,Nevia,1069,"8,143",Drome Score,0
283,Gear Five Whisp,Royal Paladin,Collabra,1713,"8,137",Drome Score,0
284,Lampiao Maotank,Royal Paladin,Tornabra,1498,"8,135",Drome Score,0
285,Palaz,Royal Paladin,Ourobra,1359,"8,131",Drome Score,0
286,Elgam'tcha,Elite Knight,Inabra,1220,"8,128",Drome Score,0
287,Jaokeb Demente,Master Sorcerer,Karmeya,645,"8,125",Drome Score,0
288,Johny Abruzzi,Royal Paladin,Peloria,1035,"8,122",Drome Score,0
289,Askrates,Elite Knight,Secura,1129,"8,115",Drome Score,0
290,Mocarz Kamsy,Elite Knight,Antica,1041,"8,107",Drome Score,0
291,Aurora Lily,Elite Knight,Wintera,1177,"8,106",Drome Score,0
292,Ritax,Royal Paladin,Bona,1106,"8,105",Drome Score,0
293,Mnihux,Royal Paladin,Premia,1358,"8,092",Drome Score,0
294,Caiio Acalix,Elder Druid,Gentebra,1723,"8,087",Drome Score,0
295,Lady Bonia,Elder Druid,Bona,1194,"8,082",Drome Score,0
296,Hroki,Royal Paladin,Antica,967,"8,077",Drome Score,0
297,Maximus the King,Royal Paladin,Celebra,1592,"8,074",Drome Score,0
298,Toxino,Elite Knight,Talera,1050,"8,072",Drome Score,0
299,Janni,Royal Paladin,Secura,1179,"8,069",Drome Score,0
300,Mi Sioo,Royal Paladin,Harmonia,1890,"8,065",Drome Score,0
301,Dowinixa,Elite Knight,Nefera,1033,"8,064",Drome Score,0
302,Vepeh,Royal Paladin,Celebra,2807,"8,062",Drome Score,0
303,Dofazi,Royal Paladin,Premia,1069,"8,051",Drome Score,0
304,Rullaren,Elite Knight,Bona,1228,"8,047",Drome Score,0
305,Craig the knight,Elite Knight,Lobera,931,"8,031",Drome Score,0
306,Shiax Alan,Elite Knight,Harmonia,1655,"8,029",Drome Score,0
307,Laura Hellstorm,Elite Knight,Vunira,1313,"8,013",Drome Score,0
308,Guttanas,Royal Paladin,Quidera,1384,"8,012",Drome Score,0
309,Battledroid,Elder Druid,Lobera,1638,"8,011",Drome Score,0
310,Knazed,Elder Druid,Secura,1138,"8,004",Drome Score,0
311,Kimbow Thor,Elite Knight,Ombra,1800,"8,003",Drome Score,0
312,Leferty,Elite Knight,Calmera,775,"7,997",Drome Score,0
313,Gwyn,Royal Paladin,Lobera,1498,"7,979",Drome Score,0
314,Nasty Kidifang,Elite Knight,Antica,718,"7,975",Drome Score,0
315,Kittyqueen,Elite Knight,Celesta,1119,"7,972",Drome Score,0
316,Boleight,Royal Paladin,Descubra,2441,"7,971",Drome Score,0
316,Modelo De Pasarela,Royal Paladin,Quintera,1277,"7,971",Drome Score,0
318,Brauba,Royal Paladin,Ustebra,2198,"7,957",Drome Score,0
318,Kagommia,Elder Druid,Celebra,1217,"7,957",Drome Score,0
320,Bobolocik,Master Sorcerer,Celesta,2152,"7,952",Drome Score,0
321,Mena The Knight,Elite Knight,Harmonia,1867,"7,943",Drome Score,0
322,Uchiha Chris,Elder Druid,Monza,1777,"7,942",Drome Score,0
323,Simply Rafcio,Royal Paladin,Xyla,1261,"7,936",Drome Score,0
324,Libarkwin,Elder Druid,Belobra,1153,"7,930",Drome Score,0
325,Zocsik,Elder Druid,Wintera,1122,"7,915",Drome Score,0
326,Yogihyst Obidoren,Elite Knight,Solidera,655,"7,910",Drome Score,0
327,Forseek,Elite Knight,Kalibra,1183,"7,905",Drome Score,0
328,Vallkadium,Elite Knight,Premia,1221,"7,904",Drome Score,0
329,Mfap,Elite Knight,Pacera,1065,"7,902",Drome Score,0
330,Dolerozs,Elder Druid,Collabra,2162,"7,888",Drome Score,0
330,Surskallen,Elite Knight,Secura,1169,"7,888",Drome Score,0
332,Laniboi,Royal Paladin,Nevia,1276,"7,885",Drome Score,0
333,Vardagszor,Elite Knight,Astera,1437,"7,883",Drome Score,0
334,Omel Quita Empleos,Royal Paladin,Vandera,1918,"7,882",Drome Score,0
335,Robaz,Elder Druid,Secura,1372,"7,878",Drome Score,0
336,Shermaneitor,Royal Paladin,Luminera,1789,"7,876",Drome Score,0
337,Senior Amera,Elder Druid,Quidera,931,"7,869",Drome Score,0
338,Vine Corporation,Elder Druid,Issobra,2032,"7,859",Drome Score,0
339,Cybres Jack,Master Sorcerer,Celebra,1650,"7,856",Drome Score,0
340,Tatariw,Elite Knight,Yovera,1252,"7,848",Drome Score,0
341,Bigodao Xulapa,Royal Paladin,Dia,1168,"7,846",Drome Score,0
342,Ra yo Legacy,Royal Paladin,Gentebra,595,"7,842",Drome Score,0
343,Hitman Zor,Master Sorcerer,Celebra,1923,"7,839",Drome Score,0
344,Be xu,Elder Druid,Monza,2060,"7,837",Drome Score,0
345,Lawdz,Master Sorcerer,Serdebra,1530,"7,831",Drome Score,0
346,Synyster Gaates,Master Sorcerer,Talera,1405,"7,821",Drome Score,0
347,Aquro Cacox,Royal Paladin,Descubra,1014,"7,814",Drome Score,0
347,Tezi Pro,Royal Paladin,Pacera,1405,"7,814",Drome Score,0
349,Epus,Master Sorcerer,Vunira,1831,"7,813",Drome Score,0
350,Naillowzin,Elite Knight,Inabra,1686,"7,806",Drome Score,0
351,Pomer,Elite Knight,Secura,990,"7,789",Drome Score,0
352,Jonas Bandidoo,Master Sorcerer,Inabra,1313,"7,788",Drome Score,0
353,Mighty Peral,Elder Druid,Solidera,2015,"7,783",Drome Score,0
354,King Roszi,Elder Druid,Harmonia,1520,"7,781",Drome Score,0
354,Marechal Yuri,Royal Paladin,Ferobra,965,"7,781",Drome Score,0
356,Guztoso,Elder Druid,Ustebra,1213,"7,780",Drome Score,0
357,Sioyou Later,Elder Druid,Esmera,1693,"7,779",Drome Score,0
358,Junzaao,Master Sorcerer,Belobra,2068,"7,777",Drome Score,0
359,Maskwuv Dragonwalt,Elite Knight,Inabra,1141,"7,775",Drome Score,0
360,Edi Paladino,Royal Paladin,Honbra,2134,"7,753",Drome Score,0
361,Magier kalinowa,Elder Druid,Bona,831,"7,749",Drome Score,0
362,Gezafoko Geza,Royal Paladin,Obscubra,1267,"7,741",Drome Score,0
362,Leozinsz Paramaxxz,Elder Druid,Honbra,2148,"7,741",Drome Score,0
364,Teev,Royal Paladin,Monza,1380,"7,736",Drome Score,0
365,Lynuux,Elder Druid,Celebra,2226,"7,732",Drome Score,0
365,Zous Oreal,Royal Paladin,Ferobra,1476,"7,732",Drome Score,0
367,Azyzz Trip,Elder Druid,Wintera,1275,"7,730",Drome Score,0
