,rank,name,world,vocation,level,experience,world_type,updated_at
21,22,Joseh Implacavel,kalibra,royal paladin,2530,269398231733,Optional PvP,2026-01-26 19:02:58.360767
22,23,Ki Naitao Olim,belobra,elite knight,2527,268415083140,Optional PvP,2026-01-26 19:02:58.360767
23,24,Boleight,descubra,royal paladin,2520,266330765798,Optional PvP,2026-01-26 19:02:58.360767
24,25,Sephan,celebra,elite knight,2518,265499480734,Optional PvP,2026-01-26 19:02:58.360767
25,26,Ma rkin,descubra,elder druid,2478,253233835342,Optional PvP,2026-01-26 19:02:58.360767
26,27,Mazzeriin,karmeya,royal paladin,2472,251273936551,Optional PvP,2026-01-26 19:02:58.360767
27,28,Poke Corporation,issobra,royal paladin,2467,249795654395,Optional PvP,2026-01-26 19:02:58.360767
28,29,Guii,celebra,elite knight,2464,248802273999,Optional PvP,2026-01-26 19:02:58.360767
29,30,King Danter,celesta,elite knight,2463,248642172113,Optional PvP,2026-01-26 19:02:58.360767
30,31,Machamp Jiujitsu,lobera,master sorcerer,2445,243130974534,Open PvP,2026-01-26 19:02:58.360767
31,32,Maqiczny,refugia,elite knight,2442,242327900915,Optional PvP,2026-01-26 19:02:58.360767
32,33,Gutierrezs,gentebra,elder druid,2438,241000662947,Optional PvP,2026-01-26 19:02:58.360767
33,34,Uhaacz,karmeya,elder druid,2435,240056961029,Optional PvP,2026-01-26 19:02:58.360767
34,35,Rayo,gentebra,royal paladin,2428,237971373900,Optional PvP,2026-01-26 19:02:58.360767
35,36,Caffeina Implacavel,kalibra,master sorcerer,2424,236939396518,Optional PvP,2026-01-26 19:02:58.360767
36,37,Dudopix Worldwide,ferobra,elite knight,2408,232162558777,Open PvP,2026-01-26 19:02:58.360767
37,38,Vinyzz,nefera,elite knight,2407,232011613526,Optional PvP,2026-01-26 19:02:58.360767
38,39,Drackule,refugia,elder druid,2407,231906322027,Optional PvP,2026-01-26 19:02:58.360767
39,40,Digao Implacavel,kalibra,elite knight,2400,229967735271,Optional PvP,2026-01-26 19:02:58.360767
40,41,Vengelz,descubra,elite knight,2397,229239021915,Optional PvP,2026-01-26 19:02:58.360767
41,42,Edinho Rancaprofit,serdebra,royal paladin,2395,228406742859,Open PvP,2026-01-26 19:02:58.360767
42,43,Nevropz Toxico,kalibra,elder druid,2391,227341092077,Optional PvP,2026-01-26 19:02:58.360767
43,44,Hero Reis,astera,royal paladin,2389,226921302922,Optional PvP,2026-01-26 19:02:58.360767
44,45,Pedrin Descongelou,jadebra,elder druid,2389,226746733046,Open PvP,2026-01-26 19:02:58.360767
45,46,Bruneli Wayne,serdebra,elite knight,2389,226694910225,Open PvP,2026-01-26 19:02:58.360767
46,47,Bomba Chapeleiro,honbra,elite knight,2386,226081874354,Open PvP,2026-01-26 19:02:58.360767
47,48,Daniloz Corporation,issobra,elder druid,2373,222348911059,Optional PvP,2026-01-26 19:02:58.360767
48,49,Chronos Poderoso,unebra,elder druid,2372,221872931448,Open PvP,2026-01-26 19:02:58.360767
49,50,Megazao Supreme Emex,havera,elder druid,2360,218573957756,Open PvP,2026-01-26 19:02:58.360767
50,51,Felix Hastalo Infierno,inabra,royal paladin,2355,217347900238,Open PvP,2026-01-26 19:02:58.360767
51,52,Chris Dictador,ombra,royal paladin,2355,217345302549,Open PvP,2026-01-26 19:02:58.360767
52,53,Venoox,celesta,royal paladin,2349,215616803713,Optional PvP,2026-01-26 19:02:58.360767
53,54,Matari,gentebra,master sorcerer,2338,212581823572,Optional PvP,2026-01-26 19:02:58.360767
54,55,Rift Duken,gentebra,master sorcerer,2337,212324481386,Optional PvP,2026-01-26 19:02:58.360767
55,56,Majorowa,karmeya,elite knight,2337,212196430208,Optional PvP,2026-01-26 19:02:58.360767
56,57,Sorinzinho,jadebra,elder druid,2334,211615963771,Open PvP,2026-01-26 19:02:58.360767
57,58,Alchemistzin,quelibra,elite knight,2327,209730091057,Open PvP,2026-01-26 19:02:58.360767
58,59,Smoothyz,kalibra,royal paladin,2318,207306197751,Optional PvP,2026-01-26 19:02:58.360767
59,60,Mo rgu,monza,elite knight,2315,206243045773,Optional PvP,2026-01-26 19:02:58.360767
60,61,Pedrin Impostor,jadebra,royal paladin,2306,203863243081,Open PvP,2026-01-26 19:02:58.360767
61,62,Treko,gentebra,royal paladin,2304,203550585480,Optional PvP,2026-01-26 19:02:58.360767
62,63,Lynuux,celebra,elder druid,2296,201258935465,Optional PvP,2026-01-26 19:02:58.360767
63,64,Zecrocz Knight,yonabra,elite knight,2295,201149941175,Optional PvP,2026-01-26 19:02:58.360767
64,65,Recall Poderoso,unebra,royal paladin,2294,200897411056,Open PvP,2026-01-26 19:02:58.360767
65,66,Medicaux,celesta,elder druid,2290,199870143551,Optional PvP,2026-01-26 19:02:58.360767
66,67,Sphere Da Doom,refugia,elite knight,2287,199072951270,Optional PvP,2026-01-26 19:02:58.360767
67,68,Hulk Tacadordebolt,venebra,royal paladin,2286,198772998409,Optional PvP,2026-01-26 19:02:58.360767
68,69,Ze Cueei,ourobra,elder druid,2278,196715043104,Open PvP,2026-01-26 19:02:58.360767
69,70,Ven Vi,refugia,royal paladin,2278,196662780358,Optional PvP,2026-01-26 19:02:58.360767
70,71,Brauba,ustebra,royal paladin,2266,193555481743,Optional PvP,2026-01-26 19:02:58.360767
71,72,Mit Iron,gentebra,elite knight,2258,191452963612,Optional PvP,2026-01-26 19:02:58.360767
72,73,Syriz,thyria,master sorcerer,2255,190653737325,Open PvP,2026-01-26 19:02:58.360767
73,74,Ninna Gil,celebra,master sorcerer,2254,190352999585,Optional PvP,2026-01-26 19:02:58.360767
74,75,Zainzao,collabra,elder druid,2252,189937118174,Optional PvP,2026-01-26 19:02:58.360767
75,76,Tonimm,jadebra,elder druid,2251,189645918754,Open PvP,2026-01-26 19:02:58.360767
76,77,Lunatic Princess,celesta,elite knight,2251,189622775726,Optional PvP,2026-01-26 19:02:58.360767
77,78,King Infinytum,yonabra,elite knight,2249,189156727572,Optional PvP,2026-01-26 19:02:58.360767
78,79,Dolerozs,collabra,elder druid,2247,188815416060,Optional PvP,2026-01-26 19:02:58.360767
79,80,Magiczny,refugia,master sorcerer,2247,188777385704,Optional PvP,2026-01-26 19:02:58.360767
80,81,Bobolocik,celesta,master sorcerer,2245,188148305234,Optional PvP,2026-01-26 19:02:58.360767
81,82,Lelezyn,yonabra,elder druid,2244,187990405746,Optional PvP,2026-01-26 19:02:58.360767
82,83,Greamir,celesta,master sorcerer,2243,187774691463,Optional PvP,2026-01-26 19:02:58.360767
83,84,Knighttt Poderoso,unebra,elite knight,2242,187563218089,Open PvP,2026-01-26 19:02:58.360767
84,85,Nightt Gaze,karmeya,master sorcerer,2242,187545292614,Optional PvP,2026-01-26 19:02:58.360767
85,86,Anakurawk Dafalasu,gentebra,elite knight,2242,187451389865,Optional PvP,2026-01-26 19:02:58.360767
86,87,Ndetarovasz,honbra,elder druid,2241,187105813741,Open PvP,2026-01-26 19:02:58.360767
87,88,Zapecao,collabra,master sorcerer,2234,185408406310,Optional PvP,2026-01-26 19:02:58.360767
88,89,Radizao,collabra,elite knight,2232,185041674515,Optional PvP,2026-01-26 19:02:58.360767
89,90,Rei Bibi,terribra,elder druid,2231,184812332014,Retro Hardcore PvP,2026-01-26 19:02:58.360767
90,91,Fael Fahurr,quelibra,royal paladin,2229,184237981658,Open PvP,2026-01-26 19:02:58.360767
91,92,Sorin Emperor,ourobra,elder druid,2228,183848864194,Open PvP,2026-01-26 19:02:58.360767
92,93,Sawano Hiroyuki,yonabra,royal paladin,2226,183531335386,Optional PvP,2026-01-26 19:02:58.360767
93,94,Almighty Nova,wintera,royal paladin,2225,183264841942,Open PvP,2026-01-26 19:02:58.360767
94,95,Dany Ellmagnifico,inabra,master sorcerer,2223,182705250034,Open PvP,2026-01-26 19:02:58.360767
95,96,Boy Ed,terribra,elder druid,2222,182546339804,Retro Hardcore PvP,2026-01-26 19:02:58.360767
96,97,Zonattookitou Poderoso,unebra,master sorcerer,2222,182481354954,Open PvP,2026-01-26 19:02:58.360767
97,98,Edi Paladino,honbra,royal paladin,2222,182351112803,Open PvP,2026-01-26 19:02:58.360767
98,99,Toxic Es Fiado,havera,elder druid,2218,181540355047,Open PvP,2026-01-26 19:02:58.360767
99,100,Arknesz,venebra,elite knight,2216,180915832007,Optional PvP,2026-01-26 19:02:58.360767
100,101,Nott Primetime,descubra,royal paladin,2215,180808529073,Optional PvP,2026-01-26 19:02:58.360767
101,102,Dextro Kogz,monza,master sorcerer,2211,179701218440,Optional PvP,2026-01-26 19:02:58.360767
102,103,Ellmagnifinho Danynho,inabra,royal paladin,2205,178221594206,Open PvP,2026-01-26 19:02:58.360767
103,104,Sheng,yonabra,elder druid,2204,178191016260,Optional PvP,2026-01-26 19:02:58.360767
104,105,Diones Machine,issobra,elite knight,2203,177734509417,Optional PvP,2026-01-26 19:02:58.360767
105,106,Coh en,yonabra,master sorcerer,2202,177592251396,Optional PvP,2026-01-26 19:02:58.360767
106,107,Sage Baw,belobra,elder druid,2200,177130595207,Optional PvP,2026-01-26 19:02:58.360767
107,108,Komandir Animozov,monza,royal paladin,2197,176455331179,Optional PvP,2026-01-26 19:02:58.360767
108,109,Murilon Hardtimes,collabra,elder druid,2195,175807723584,Optional PvP,2026-01-26 19:02:58.360767
109,110,Magnifik Danybruxo,inabra,elder druid,2194,175703168654,Open PvP,2026-01-26 19:02:58.360767
110,111,Conde Danimax,inabra,elite knight,2194,175610737324,Open PvP,2026-01-26 19:02:58.360767
111,112,Eksman,monza,master sorcerer,2192,175244833004,Optional PvP,2026-01-26 19:02:58.360767
112,113,Guczman,monza,royal paladin,2188,174143523418,Optional PvP,2026-01-26 19:02:58.360767
113,114,Junin Corporation,issobra,master sorcerer,2187,173904840500,Optional PvP,2026-01-26 19:02:58.360767
114,115,Rickzher Tank,issobra,elite knight,2181,172643469718,Optional PvP,2026-01-26 19:02:58.360767
115,116,Smka Corporation,issobra,master sorcerer,2179,172114308906,Optional PvP,2026-01-26 19:02:58.360767
116,117,Ximboka Primetime,descubra,elder druid,2178,171802797229,Optional PvP,2026-01-26 19:02:58.360767
117,118,Arinth,monza,elite knight,2178,171782492080,Optional PvP,2026-01-26 19:02:58.360767
118,119,Fael Outlaw,quelibra,royal paladin,2177,171711131890,Open PvP,2026-01-26 19:02:58.360767
119,120,Pedrin Orangepodi,jadebra,elite knight,2177,171572066047,Open PvP,2026-01-26 19:02:58.360767
120,121,Healedy,yonabra,elder druid,2173,170724549610,Optional PvP,2026-01-26 19:02:58.360767
121,122,Renary,celebra,master sorcerer,2172,170498007976,Optional PvP,2026-01-26 19:02:58.360767
122,123,Ahameed,gentebra,elder druid,2170,169954478744,Optional PvP,2026-01-26 19:02:58.360767
123,124,Fernizx,luminera,master sorcerer,2170,169933971505,Optional PvP,2026-01-26 19:02:58.360767
124,125,Hiro Teensina,gentebra,elder druid,2169,169729420272,Optional PvP,2026-01-26 19:02:58.360767
125,126,Surufon,celebra,elder druid,2169,169613059497,Optional PvP,2026-01-26 19:02:58.360767
126,127,Shoxiez,kalibra,master sorcerer,2166,168938018426,Optional PvP,2026-01-26 19:02:58.360767
127,128,Bratku Boy,secura,royal paladin,2166,168903257632,Optional PvP,2026-01-26 19:02:58.360767
128,129,Ximboka Primetime,venebra,elder druid,2166,168902999769,Optional PvP,2026-01-26 19:02:58.360767
129,130,Waguinho The Legend,quelibra,elder druid,2165,168667133507,Open PvP,2026-01-26 19:02:58.360767
130,131,Caaok,belobra,royal paladin,2162,168132054577,Optional PvP,2026-01-26 19:02:58.360767
131,132,Arraya,collabra,master sorcerer,2159,167476558272,Optional PvP,2026-01-26 19:02:58.360767
132,133,Now,epoca,royal paladin,2157,166998859628,Retro Open PvP,2026-01-26 19:02:58.360767
133,134,Girl Selly,belobra,elder druid,2155,166498193845,Optional PvP,2026-01-26 19:02:58.360767
134,135,Turco Loko,inabra,royal paladin,2154,166170317913,Open PvP,2026-01-26 19:02:58.360767
135,136,Arraya Hardtimes,collabra,master sorcerer,2153,166017914960,Optional PvP,2026-01-26 19:02:58.360767
136,137,Articuno Jiujitsu,ourobra,master sorcerer,2152,165829791866,Open PvP,2026-01-26 19:02:58.360767
137,138,He ellz,wintera,royal paladin,2152,165816907540,Open PvP,2026-01-26 19:02:58.360767
138,139,Mor Decai,gentebra,master sorcerer,2150,165325783472,Optional PvP,2026-01-26 19:02:58.360767
139,140,Lord Valeta,celebra,master sorcerer,2148,164908159239,Optional PvP,2026-01-26 19:02:58.360767
140,141,Yunden,secura,royal paladin,2148,164903098452,Optional PvP,2026-01-26 19:02:58.360767
141,142,Lutador Shivinha,gentebra,royal paladin,2148,164783349044,Optional PvP,2026-01-26 19:02:58.360767
142,143,Pulga Doleiro,terribra,royal paladin,2147,164575261363,Retro Hardcore PvP,2026-01-26 19:02:58.360767
143,144,Yunski,secura,royal paladin,2147,164516566436,Optional PvP,2026-01-26 19:02:58.360767
144,145,Tonim Sniper,jadebra,royal paladin,2144,163903352711,Open PvP,2026-01-26 19:02:58.360767
145,146,Vitiinn,belobra,royal paladin,2143,163733608265,Optional PvP,2026-01-26 19:02:58.360767
146,147,Max Fleury,celebra,elite knight,2142,163548124365,Optional PvP,2026-01-26 19:02:58.360767
147,148,Yamaanek,monza,elder druid,2142,163468408880,Optional PvP,2026-01-26 19:02:58.360767
148,149,Seju Primetime,venebra,master sorcerer,2141,163247601923,Optional PvP,2026-01-26 19:02:58.360767
149,150,Goa Santiago,ourobra,master sorcerer,2140,162934692257,Open PvP,2026-01-26 19:02:58.360767
150,151,Ragnarr Vilao,ourobra,elite knight,2139,162786041006,Open PvP,2026-01-26 19:02:58.360767
151,152,Soiji,inabra,elite knight,2138,162602394846,Open PvP,2026-01-26 19:02:58.360767
152,153,Chris Zeroum,ombra,master sorcerer,2138,162495184792,Open PvP,2026-01-26 19:02:58.360767
153,154,Hecks Leads,luminera,elder druid,2136,161972290197,Optional PvP,2026-01-26 19:02:58.360767
154,155,Xenge Teensina,gentebra,elite knight,2135,161858745795,Optional PvP,2026-01-26 19:02:58.360767
155,156,Junzaao,belobra,master sorcerer,2134,161583850917,Optional PvP,2026-01-26 19:02:58.360767
156,157,Paulox Toxico,kalibra,royal paladin,2133,161411318798,Optional PvP,2026-01-26 19:02:58.360767
157,158,Szmuggy,thyria,royal paladin,2133,161363592062,Open PvP,2026-01-26 19:02:58.360767
158,159,Ja co,refugia,elite knight,2133,161291779403,Optional PvP,2026-01-26 19:02:58.360767
159,160,Neto Orangepodi,jadebra,master sorcerer,2131,160932924731,Open PvP,2026-01-26 19:02:58.360767
160,161,Arkelogon,celebra,royal paladin,2130,160663273288,Optional PvP,2026-01-26 19:02:58.360767
161,162,Lichtsz,inabra,master sorcerer,2128,160272667802,Open PvP,2026-01-26 19:02:58.360767
162,163,Estilo Trollzinho,rasteibra,elder druid,2126,159923847128,Open PvP,2026-01-26 19:02:58.360767
163,164,Boysorc,terribra,master sorcerer,2126,159863310482,Retro Hardcore PvP,2026-01-26 19:02:58.360767
164,165,Ivene,celesta,royal paladin,2126,159725329529,Optional PvP,2026-01-26 19:02:58.360767
165,166,Fraanco,unebra,master sorcerer,2124,159304649721,Open PvP,2026-01-26 19:02:58.360767
166,167,Stefan Smakolysz,bona,elite knight,2123,159075302782,Optional PvP,2026-01-26 19:02:58.360767
167,168,Destemido Corporation,issobra,royal paladin,2122,158819174687,Optional PvP,2026-01-26 19:02:58.360767
168,169,Chris Donhodo Ombra,ombra,elite knight,2121,158627013013,Open PvP,2026-01-26 19:02:58.360767
169,170,Maarculino,unebra,royal paladin,2120,158372786284,Open PvP,2026-01-26 19:02:58.360767
170,171,Golden Eclypse,yonabra,royal paladin,2117,157767206085,Optional PvP,2026-01-26 19:02:58.360767
171,172,Wrath Saga,gladera,elite knight,2117,157759041711,Optional PvP,2026-01-26 19:02:58.360767
172,173,Kalashnkov,rasteibra,royal paladin,2116,157647629866,Open PvP,2026-01-26 19:02:58.360767
173,174,Pato Zedrin,ourobra,royal paladin,2115,157456233605,Open PvP,2026-01-26 19:02:58.360767
174,175,Be xu,monza,elder druid,2115,157361937775,Optional PvP,2026-01-26 19:02:58.360767
175,176,General Keyllor,gentebra,elder druid,2115,157357269293,Optional PvP,2026-01-26 19:02:58.360767
176,177,Vomolu,celebra,elite knight,2115,157333775305,Optional PvP,2026-01-26 19:02:58.360767
177,178,Judgementdays,calmera,elder druid,2114,157121439801,Optional PvP,2026-01-26 19:02:58.360767
178,179,Fastshot,refugia,royal paladin,2112,156772710053,Optional PvP,2026-01-26 19:02:58.360767
179,180,Sorin Enterpriise,ourobra,royal paladin,2112,156743585007,Open PvP,2026-01-26 19:02:58.360767
180,181,Pedrin Feliznatal,unebra,royal paladin,2107,155551396285,Open PvP,2026-01-26 19:02:58.360767
181,182,Rdge,yonabra,master sorcerer,2105,155181626298,Optional PvP,2026-01-26 19:02:58.360767
182,183,Vyvy,calmera,master sorcerer,2105,155157463655,Optional PvP,2026-01-26 19:02:58.360767
183,184,Rexiruz Zabojca,terribra,master sorcerer,2103,154703671767,Retro Hardcore PvP,2026-01-26 19:02:58.360767
184,185,Rodrigaumd,inabra,elder druid,2103,154680479213,Open PvP,2026-01-26 19:02:58.360767
185,186,Devzin,celesta,royal paladin,2102,154482521973,Optional PvP,2026-01-26 19:02:58.360767
186,187,Jazh,venebra,elder druid,2101,154342927359,Optional PvP,2026-01-26 19:02:58.360767
187,188,Miichaszek,refugia,master sorcerer,2100,154050869463,Optional PvP,2026-01-26 19:02:58.360767
188,189,Wakii Szef,celesta,elite knight,2099,153701868475,Optional PvP,2026-01-26 19:02:58.360767
189,190,Camiiss,kalibra,elder druid,2098,153500163078,Optional PvP,2026-01-26 19:02:58.360767
190,191,Icarus Cltcansado,ourobra,master sorcerer,2098,153473466851,Open PvP,2026-01-26 19:02:58.360767
191,192,Figolo,monza,elite knight,2097,153274434735,Optional PvP,2026-01-26 19:02:58.360767
192,193,Rafittzz,belobra,master sorcerer,2097,153273705424,Optional PvP,2026-01-26 19:02:58.360767
193,194,Verfix,ustebra,elder druid,2096,153035714717,Optional PvP,2026-01-26 19:02:58.360767
194,195,Vyp Fox,gentebra,master sorcerer,2094,152788086034,Optional PvP,2026-01-26 19:02:58.360767
195,196,Owbapzera,descubra,royal paladin,2094,152776052013,Optional PvP,2026-01-26 19:02:58.360767
196,197,Lowdaz,monstera,royal paladin,2092,152349360036,Retro Hardcore PvP,2026-01-26 19:02:58.360767
197,198,Zezinho Eurofeer,ourobra,elite knight,2091,151965658226,Open PvP,2026-01-26 19:02:58.360767
198,199,Czikita,refugia,elder druid,2089,151541043069,Optional PvP,2026-01-26 19:02:58.360767
199,200,Halzor Megalomaniaco,kalibra,elite knight,2089,151501902562,Optional PvP,2026-01-26 19:02:58.360767
200,201,Rei Tarik,terribra,elite knight,2088,151449133181,Retro Hardcore PvP,2026-01-26 19:02:58.360767
201,202,Ranny Zolnierz Elder,antica,master sorcerer,2088,151335508284,Open PvP,2026-01-26 19:02:58.360767
202,203,Toxic Ghost Esecee,havera,master sorcerer,2086,150982580235,Open PvP,2026-01-26 19:02:58.360767
203,204,Ezudux,gentebra,royal paladin,2084,150486994101,Optional PvP,2026-01-26 19:02:58.360767
204,205,Kallashy,honbra,elite knight,2082,150150845472,Open PvP,2026-01-26 19:02:58.360767
205,206,Trullen,celesta,elder druid,2082,150043894198,Optional PvP,2026-01-26 19:02:58.360767
206,207,Destructive Kronun,talera,elite knight,2081,149964246587,Open PvP,2026-01-26 19:02:58.360767
207,208,Kewhyx Mythus,celebra,royal paladin,2081,149948396835,Optional PvP,2026-01-26 19:02:58.360767
208,209,Doutor Aurelio,issobra,elder druid,2081,149840861028,Optional PvP,2026-01-26 19:02:58.360767
209,210,Wykalaczked,monza,elder druid,2080,149714062234,Optional PvP,2026-01-26 19:02:58.360767
210,211,Alpha Charly,gentebra,royal paladin,2080,149587292287,Optional PvP,2026-01-26 19:02:58.360767
211,212,Dzwoni Daro,monza,elder druid,2079,149522560929,Optional PvP,2026-01-26 19:02:58.360767
212,213,Mattwin,venebra,elder druid,2078,149243479154,Optional PvP,2026-01-26 19:02:58.360767
213,214,Duzy Brzuszek,nevia,master sorcerer,2076,148689731142,Optional PvP,2026-01-26 19:02:58.360767
214,215,Cloud Cronos,harmonia,elder druid,2075,148607507471,Optional PvP,2026-01-26 19:02:58.360767
215,216,Amora Enterprise,ourobra,elite knight,2074,148319029677,Open PvP,2026-01-26 19:02:58.360767
216,217,Mighty Peral,solidera,elder druid,2074,148264568900,Open PvP,2026-01-26 19:02:58.360767
217,218,Rodrigaaum,inabra,royal paladin,2073,148151860421,Open PvP,2026-01-26 19:02:58.360767
218,219,Ginowi,monza,royal paladin,2072,148043375130,Optional PvP,2026-01-26 19:02:58.360767
219,220,Zonaattokitou Poderoso,unebra,elder druid,2071,147810431288,Open PvP,2026-01-26 19:02:58.360767
220,221,Axbin,astera,master sorcerer,2068,147083209640,Optional PvP,2026-01-26 19:02:58.360767
221,222,Zwkidek,gentebra,elite knight,2067,146967133960,Optional PvP,2026-01-26 19:02:58.360767
222,223,Zeeh Chinelo,celebra,master sorcerer,2067,146781355818,Optional PvP,2026-01-26 19:02:58.360767
223,224,Arc Mago Marujo,serdebra,master sorcerer,2066,146699514187,Open PvP,2026-01-26 19:02:58.360767
224,225,Pedrin Aposentado,jadebra,master sorcerer,2066,146626417777,Open PvP,2026-01-26 19:02:58.360767
225,226,Trakhinas,quelibra,royal paladin,2065,146384042799,Open PvP,2026-01-26 19:02:58.360767
226,227,Luidao Inevitavel,ourobra,elder druid,2063,146073546052,Open PvP,2026-01-26 19:02:58.360767
227,228,Thor Zynz,collabra,royal paladin,2063,146051269399,Optional PvP,2026-01-26 19:02:58.360767
228,229,Barao Relampejante,yonabra,elite knight,2063,145930439981,Optional PvP,2026-01-26 19:02:58.360767
229,230,Intenzao Supreme Emex,havera,master sorcerer,2058,144898016555,Open PvP,2026-01-26 19:02:58.360767
230,231,Vine Corporation,etebra,elder druid,2056,144620429011,Optional PvP,2026-01-26 19:02:58.360767
231,232,Magnifik Danytank,quelibra,elite knight,2056,144510060550,Open PvP,2026-01-26 19:02:58.360767
232,233,Sinfronio Stark,rasteibra,elder druid,2053,143989840610,Open PvP,2026-01-26 19:02:58.360767
233,234,Partyboost,vunira,royal paladin,2053,143878423485,Open PvP,2026-01-26 19:02:58.360767
234,235,Surkkaam,bona,elder druid,2052,143717709784,Optional PvP,2026-01-26 19:02:58.360767
235,236,Lightbinder,secura,royal paladin,2051,143461905160,Optional PvP,2026-01-26 19:02:58.360767
236,237,Dan Senju,collabra,royal paladin,2051,143439050645,Optional PvP,2026-01-26 19:02:58.360767
237,238,Legends Of Dante,oceanis,elder druid,2051,143394188364,Optional PvP,2026-01-26 19:02:58.360767
238,239,Captain Gufi,refugia,elder druid,2050,143327220149,Optional PvP,2026-01-26 19:02:58.360767
239,240,Dudu Stonecutter,unebra,elite knight,2050,143166010351,Open PvP,2026-01-26 19:02:58.360767
240,241,Maza lov,ourobra,master sorcerer,2049,142959244581,Open PvP,2026-01-26 19:02:58.360767
241,242,Angel Pro Damage,yonabra,elder druid,2048,142818899853,Optional PvP,2026-01-26 19:02:58.360767
242,243,Yoasobi,yonabra,master sorcerer,2048,142770680234,Optional PvP,2026-01-26 19:02:58.360767
243,244,Murillaoloko,quelibra,master sorcerer,2047,142599242159,Open PvP,2026-01-26 19:02:58.360767
244,245,Leozinnxd,rasteibra,master sorcerer,2047,142578186734,Open PvP,2026-01-26 19:02:58.360767
245,246,Luke no San,collabra,royal paladin,2045,142247771712,Optional PvP,2026-01-26 19:02:58.360767
246,247,Kairos Skylight,calmera,elite knight,2044,142039947234,Optional PvP,2026-01-26 19:02:58.360767
247,248,Zezinho Ltda,ourobra,elder druid,2044,141979079865,Open PvP,2026-01-26 19:02:58.360767
248,249,Naruciaczek,celesta,royal paladin,2043,141835081618,Optional PvP,2026-01-26 19:02:58.360767
249,250,Heyz zerp,inabra,royal paladin,2042,141617796398,Open PvP,2026-01-26 19:02:58.360767
250,251,Kuubiq,thyria,royal paladin,2042,141601351165,Open PvP,2026-01-26 19:02:58.360767
251,252,Evilnesz,venebra,royal paladin,2041,141363508465,Optional PvP,2026-01-26 19:02:58.360767
252,253,Max Namikaze,collabra,elder druid,2040,141226893938,Optional PvP,2026-01-26 19:02:58.360767
253,254,Lutador de Mace,gentebra,elite knight,2039,141048467156,Optional PvP,2026-01-26 19:02:58.360767
254,255,Nyghtz,yonabra,royal paladin,2037,140577603404,Optional PvP,2026-01-26 19:02:58.360767
255,256,Mantessa,refugia,master sorcerer,2036,140308343099,Optional PvP,2026-01-26 19:02:58.360767
256,257,Marco letta,ourobra,elite knight,2035,140113250257,Open PvP,2026-01-26 19:02:58.360767
257,258,Restlin,gentebra,elder druid,2033,139681205990,Optional PvP,2026-01-26 19:02:58.360767
258,259,Lutador Venancinho,gentebra,master sorcerer,2032,139595139124,Optional PvP,2026-01-26 19:02:58.360767
259,260,Mirotth,belobra,elite knight,2032,139499842431,Optional PvP,2026-01-26 19:02:58.360767
260,261,Deadmani,thyria,elite knight,2031,139338318895,Open PvP,2026-01-26 19:02:58.360767
261,262,Zedrin Ltda,jadebra,master sorcerer,2031,139295430949,Open PvP,2026-01-26 19:02:58.360767
262,263,Capetao Dehat Denovo,inabra,royal paladin,2031,139268742474,Open PvP,2026-01-26 19:02:58.360767
263,264,Maarculino Relaxado,unebra,elite knight,2031,139226659705,Open PvP,2026-01-26 19:02:58.360767
