,name,world,skill_name,vocation,skill_level,updated_at
40,Jocke Drakdeder,zuna,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
41,King Volvolizard Lord,zuna,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
42,Kyle el Manipulador,zuna,Axe Fighting,knight,129,2026-01-26 19:04:26.054883
43,Maenith,zuna,Club Fighting,knight,126,2026-01-26 19:04:26.054883
44,Metrix,zuna,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
45,Nualita,zuna,Shielding,paladin,123,2026-01-26 19:04:26.054883
46,Nyanen,zuna,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
47,Paladin Monika,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
48,Pomson,zuna,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
49,Porr Danne,zuna,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
50,Queen Dull,zuna,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
51,Rokoczini,zuna,Axe Fighting,knight,130,2026-01-26 19:04:26.054883
52,Salexon Mita,zuna,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
53,Segov,zuna,Shielding,elite knight,123,2026-01-26 19:04:26.054883
54,Seleheo,zuna,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
55,Sir Knur,zuna,Club Fighting,knight,126,2026-01-26 19:04:26.054883
56,Tiran Sama,zuna,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
57,Trame Court,zuna,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
58,Unholy Stone Thrower,zuna,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
59,Unia Loth,zuna,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
60,Vollupia,zuna,Magic Level,master sorcerer,142,2026-01-26 19:04:26.054883
61,Wison,zuna,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
62,Yamalz,zuna,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
63,Zibiarra,zuna,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
64,Aly Lion,zuna,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
65,Arau,zuna,Shielding,paladin,124,2026-01-26 19:04:26.054883
66,Aurora Girl,zuna,Shielding,royal paladin,125,2026-01-26 19:04:26.054883
67,Daipaz Il,zuna,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
68,Dra Alucination,zuna,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
69,Feitizos,zuna,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
70,Gothrul,zuna,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
71,Jin Kanzaki,zuna,Shielding,paladin,124,2026-01-26 19:04:26.054883
72,Paladin Monika,zuna,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
73,Salexon Mita,zuna,Shielding,paladin,124,2026-01-26 19:04:26.054883
74,Trame Court,zuna,Shielding,royal paladin,125,2026-01-26 19:04:26.054883
75,Wison,zuna,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
76,Ahoky,solidera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
77,Aler Tius,solidera,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
78,Arcangel Miguelito,solidera,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
79,Asb'el,solidera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
80,Aspharoth,solidera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
81,Beltenebros,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
82,Benji maxs,solidera,Axe Fighting,elite knight,136,2026-01-26 19:04:26.054883
83,Bonkler,solidera,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
84,Broglio,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
85,Bryan Mort,solidera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
86,Buzzfreak,solidera,Shielding,knight,124,2026-01-26 19:04:26.054883
87,Chaparro Cuatroveinte,solidera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
88,Coatl,solidera,Axe Fighting,elite knight,139,2026-01-26 19:04:26.054883
89,Cocusama,solidera,Magic Level,master sorcerer,134,2026-01-26 19:04:26.054883
90,Corrupted Aly,solidera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
91,Corrupted Legolaf,solidera,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
92,Cyrion The Paladin,solidera,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
93,Damzek Arrogante,solidera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
94,Daryn Rider,solidera,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
95,Davidinator,solidera,Fist Fighting,elite knight,115,2026-01-26 19:04:26.054883
96,Don Saulinm,solidera,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
97,Drackken Shakalozo,solidera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
98,El Diez,solidera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
99,Elgyn Phoenix,solidera,Sword Fighting,elite knight,137,2026-01-26 19:04:26.054883
100,Eliasxd,solidera,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
101,Er Wings,solidera,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
102,Eylithz,solidera,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
103,Fe No,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
104,Firewalk,solidera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
105,Flo Ri Da,solidera,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
106,Gahmer,solidera,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
107,Ghost of Chimera,solidera,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
108,Goyosensei,solidera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
109,Grav Basher,solidera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
110,Grav Buddha,solidera,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
111,Gugazen,solidera,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
112,Gumis,solidera,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
113,Huguito Bhozs,solidera,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
114,Igualito,solidera,Axe Fighting,knight,128,2026-01-26 19:04:26.054883
115,Invalidin,solidera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
116,Itsmaka,solidera,Club Fighting,elite knight,131,2026-01-26 19:04:26.054883
117,Jamonsz,solidera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
118,Jerusman,solidera,Axe Fighting,knight,130,2026-01-26 19:04:26.054883
119,Johanz,solidera,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
120,Jordan Style,solidera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
121,Kakuzaiy,solidera,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
122,Kasey Rose,solidera,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
123,Khalordon,solidera,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
124,King hso,solidera,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
125,Lovexd,solidera,Axe Fighting,elite knight,133,2026-01-26 19:04:26.054883
126,Lovexd Bombinha,solidera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
127,Lula Petit,solidera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
128,Majowe,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
129,Mano The Great,solidera,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
130,Merlin Krash,solidera,Fist Fighting,exalted monk,115,2026-01-26 19:04:26.054883
131,Mighty Carlos,solidera,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
132,Miiguelito Monk,solidera,Fist Fighting,exalted monk,114,2026-01-26 19:04:26.054883
133,Miriya Parino,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
134,Monkii Donky,solidera,Fist Fighting,exalted monk,126,2026-01-26 19:04:26.054883
135,Monkqey,solidera,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
136,Monkshoo,solidera,Fist Fighting,monk,109,2026-01-26 19:04:26.054883
137,Murcielago Solitario,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
138,Murfnerf,solidera,Shielding,elite knight,125,2026-01-26 19:04:26.054883
139,Nickaplz,solidera,Club Fighting,knight,126,2026-01-26 19:04:26.054883
140,Norseck,solidera,Club Fighting,knight,129,2026-01-26 19:04:26.054883
141,Obesa,solidera,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
142,One Punchx,solidera,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
143,Onslaught Sorcerer,solidera,Magic Level,master sorcerer,140,2026-01-26 19:04:26.054883
144,Osten of Fire,solidera,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
145,Pabicatore,solidera,Axe Fighting,elite knight,132,2026-01-26 19:04:26.054883
146,Pajaro Piedra,solidera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
147,Perro Killshot,solidera,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
148,Plagueseal Rider,solidera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
149,Ratio Summa,solidera,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
150,Rilk,solidera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
151,Robeliito,solidera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
152,Rowen,solidera,Axe Fighting,elite knight,140,2026-01-26 19:04:26.054883
153,Roy Fokker,solidera,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
154,Sankywz,solidera,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
155,Sharkman lord,solidera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
156,Showmech,solidera,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
157,Silver Tempest,solidera,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
158,Silverwolf Monk,solidera,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
159,Sir Falarius,solidera,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
160,Smoking Killer,solidera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
161,Straw Hat Lufffy,solidera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
162,Takuso,solidera,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
163,Thee Caporal,solidera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
164,Thony Presiidioo,solidera,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
165,Trevo Galatico,solidera,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
166,Tricomon,solidera,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
167,Unholy Skyzen,solidera,Distance Fighting,royal paladin,140,2026-01-26 19:04:26.054883
168,Vames,solidera,Distance Fighting,paladin,137,2026-01-26 19:04:26.054883
169,Veloursmaee,solidera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
170,Volkiz Emex,solidera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
171,Wozigot,solidera,Club Fighting,elite knight,131,2026-01-26 19:04:26.054883
172,Za Po,solidera,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
173,Zek ek Bombinha,solidera,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
174,Zekanabraba,solidera,Shielding,elite knight,123,2026-01-26 19:04:26.054883
175,Zonalix Mallaymon,solidera,Shielding,elite knight,123,2026-01-26 19:04:26.054883
176,Astromeliaa,solidera,Fist Fighting,exalted monk,129,2026-01-26 19:04:26.054883
177,Cyrion The Paladin,solidera,Shielding,paladin,123,2026-01-26 19:04:26.054883
178,Deudor,solidera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
179,Khalordon,solidera,Shielding,paladin,123,2026-01-26 19:04:26.054883
180,Kingpetare,solidera,Axe Fighting,elite knight,133,2026-01-26 19:04:26.054883
181,Lucraiin,solidera,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
182,Malandroxo,solidera,Fist Fighting,exalted monk,118,2026-01-26 19:04:26.054883
183,Nachebriio,solidera,Fist Fighting,exalted monk,120,2026-01-26 19:04:26.054883
184,Paaulinaa,solidera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
185,Takuso,solidera,Shielding,paladin,123,2026-01-26 19:04:26.054883
186,Acertus,lobera,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
187,Ackeem,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
188,Adversity,lobera,Axe Fighting,elite knight,132,2026-01-26 19:04:26.054883
189,Aik,lobera,Shielding,knight,124,2026-01-26 19:04:26.054883
190,Aiken Rush,lobera,Distance Fighting,royal paladin,137,2026-01-26 19:04:26.054883
191,Aldayah,lobera,Distance Fighting,paladin,133,2026-01-26 19:04:26.054883
192,Alebaba,lobera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
193,Alexuh,lobera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
194,Als Bundy,lobera,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
195,Anardy,lobera,Sword Fighting,knight,130,2026-01-26 19:04:26.054883
196,Andrea Juszczyk,lobera,Magic Level,sorcerer,129,2026-01-26 19:04:26.054883
197,Archemorus,lobera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
198,Aryasvit,lobera,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
199,Atomics,lobera,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
200,Banjo King,lobera,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
201,Barkiyo,lobera,Shielding,knight,123,2026-01-26 19:04:26.054883
202,Big Mike,lobera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
203,Bittar,lobera,Sword Fighting,elite knight,135,2026-01-26 19:04:26.054883
204,Bloodmoon,lobera,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
205,Bloodrunk Leech,lobera,Fist Fighting,exalted monk,130,2026-01-26 19:04:26.054883
206,Blur Oblivion,lobera,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
207,Boogii,lobera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
208,Brall,lobera,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
209,Brandon Godlike,lobera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
210,Brayanz,lobera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
211,Broku,lobera,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
212,Bruno Batman,lobera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
213,Buckzs,lobera,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
214,Budd Bundy,lobera,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
215,Bullistic,lobera,Distance Fighting,royal paladin,139,2026-01-26 19:04:26.054883
216,Capitan no marinero,lobera,Fist Fighting,exalted monk,119,2026-01-26 19:04:26.054883
217,Caragana,lobera,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
218,Carlosbh,lobera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
219,Chaparro Mecanico,lobera,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
220,Charly Henceforth,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
221,Chedda Mike,lobera,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
222,Chiefin Berg,lobera,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
223,Craig the knight,lobera,Fist Fighting,elite knight,120,2026-01-26 19:04:26.054883
224,Crincion,lobera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
225,Dalai Karma,lobera,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
226,Dalia Kiuss,lobera,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
227,Danglez,lobera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
228,Darkener,lobera,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
229,Deezuz,lobera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
230,Delderz,lobera,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
231,Dieb Ze Drunkurd,lobera,Magic Level,master sorcerer,139,2026-01-26 19:04:26.054883
232,Dwooid,lobera,Magic Level,master sorcerer,136,2026-01-26 19:04:26.054883
233,Enigma Echo,lobera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
234,Etel Grig,lobera,Sword Fighting,elite knight,141,2026-01-26 19:04:26.054883
235,Ezio Shion,lobera,Club Fighting,elite knight,131,2026-01-26 19:04:26.054883
236,Fabius Maximus,lobera,Axe Fighting,elite knight,132,2026-01-26 19:04:26.054883
237,Falcons,lobera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
238,Farmer No Hands,lobera,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
239,Flor do Mar,lobera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
240,Franknitro,lobera,Magic Level,master sorcerer,137,2026-01-26 19:04:26.054883
241,Fujiyaro,lobera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
242,Full Exclusive Achievements,lobera,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
243,Funky Marc,lobera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
244,Gero Drunk,lobera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
245,Giftmacher,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
246,Glexael,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
247,Goodnight,lobera,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
248,Goonch,lobera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
249,Guma Mata Pato,lobera,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
250,Habibit,lobera,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
251,Halcon of trimera,lobera,Club Fighting,knight,129,2026-01-26 19:04:26.054883
252,Hifey Scott,lobera,Shielding,knight,123,2026-01-26 19:04:26.054883
253,Imperiious,lobera,Magic Level,master sorcerer,136,2026-01-26 19:04:26.054883
254,Incredible Akus,lobera,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
255,Ironward,lobera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
256,Istripulia,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
257,Itsme Caroo,lobera,Axe Fighting,knight,128,2026-01-26 19:04:26.054883
258,Jagerrr,lobera,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
259,Jerminator,lobera,Distance Fighting,royal paladin,137,2026-01-26 19:04:26.054883
260,Jettie,lobera,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
261,Joker Knight,lobera,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
262,Juankz,lobera,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
263,Kidmatador,lobera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
264,Killz,lobera,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
265,King Emiliaoo,lobera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
266,Kiriuz Kser,lobera,Magic Level,master sorcerer,137,2026-01-26 19:04:26.054883
267,Kriten,lobera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
268,Lady Rainha,lobera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
269,Lady of Saxnot,lobera,Club Fighting,knight,131,2026-01-26 19:04:26.054883
270,Laraaa,lobera,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
271,Ledrax Castono,lobera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
272,Leechiano,lobera,Club Fighting,elite knight,131,2026-01-26 19:04:26.054883
273,Leel Fufi,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
274,Lewiis Bronx,lobera,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
275,Libi,lobera,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
276,Lone Leech,lobera,Magic Level,master sorcerer,136,2026-01-26 19:04:26.054883
277,Lonwolf Monk,lobera,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
278,Lord Barnaby,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
279,Lord Chongs,lobera,Club Fighting,elite knight,131,2026-01-26 19:04:26.054883
280,Lord Xilase,lobera,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
281,Machamp Jiujitsu,lobera,Magic Level,master sorcerer,136,2026-01-26 19:04:26.054883
282,Mackdee,lobera,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
283,Mad Maddy,lobera,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
284,Marola brenfador,lobera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
285,Mcrib,lobera,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
286,Meyerz,lobera,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
287,Modiel Adia,lobera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
288,Monkee Madness,lobera,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
289,Mortainter,lobera,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
290,Muylloco,lobera,Axe Fighting,elite knight,133,2026-01-26 19:04:26.054883
291,Mykai,lobera,Fist Fighting,exalted monk,120,2026-01-26 19:04:26.054883
292,Myrkz,lobera,Distance Fighting,royal paladin,141,2026-01-26 19:04:26.054883
293,Nawtscout,lobera,Distance Fighting,royal paladin,137,2026-01-26 19:04:26.054883
294,Necro Dragonheart,lobera,Axe Fighting,elite knight,135,2026-01-26 19:04:26.054883
295,Noze Buble,lobera,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
296,Odd Henceforth,lobera,Club Fighting,elite knight,135,2026-01-26 19:04:26.054883
297,Olish,lobera,Distance Fighting,royal paladin,137,2026-01-26 19:04:26.054883
298,Orangeona,lobera,Sword Fighting,elite knight,146,2026-01-26 19:04:26.054883
299,Osmano,lobera,Sword Fighting,elite knight,137,2026-01-26 19:04:26.054883
300,Pai xao,lobera,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
301,Parih,lobera,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
302,Pee Byrd,lobera,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
303,Perishing Pete,lobera,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
304,Pivetin Doidao,lobera,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
305,Prismow,lobera,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
306,Red Flagg,lobera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
307,Roges Dowbt,lobera,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
308,Rolkins,lobera,Club Fighting,elite knight,133,2026-01-26 19:04:26.054883
309,Roswaall,lobera,Fist Fighting,exalted monk,120,2026-01-26 19:04:26.054883
310,Royal Skorbuto,lobera,Club Fighting,knight,127,2026-01-26 19:04:26.054883
311,Ruslex,lobera,Distance Fighting,royal paladin,142,2026-01-26 19:04:26.054883
312,Sam Legend,lobera,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
313,Shim Dyrax,lobera,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
314,Shun of cozumel,lobera,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
315,Silent-Murderer,lobera,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
316,Silhas,lobera,Shielding,elite knight,124,2026-01-26 19:04:26.054883
